Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Hauraki-Waikato 66,Botany,"Botany Library, Level 1, Sunset Terrace",0,0,0,1,0,5,1,2,0,1,0,0,0,0,0,0,0,10,0
Hauraki-Waikato 66,Coromandel,"Coromandel Citizen's Hall, 455 Kapanga Road",0,4,0,10,0,95,24,6,0,3,1,0,0,0,0,1,0,144,3
Hauraki-Waikato 66,Kaiaua,"Kaiaua School, 1061 East Coast Road",0,0,0,0,0,12,3,2,0,1,0,0,0,0,0,1,0,19,0
Hauraki-Waikato 66,Ngatea,"Ngatea War Memorial Hall, 66 Orchard West Road",1,2,0,4,0,37,10,4,0,1,0,0,0,0,0,3,0,62,0
Hauraki-Waikato 66,Paeroa,"Paeroa Memorial Hall, 144 Normanby Road",3,10,3,19,0,204,25,6,1,17,0,1,0,0,0,3,1,293,7
Hauraki-Waikato 66,Tairua,"Tairua Community Hall, 210 Main Road",0,0,0,2,0,13,2,2,0,2,0,0,0,0,0,0,0,21,2
Hauraki-Waikato 66,Thames,"Thames Civic Centre Auditorium, 200 Mary Street",1,6,6,16,0,166,13,12,0,13,0,0,0,0,0,2,0,235,11
Hauraki-Waikato 66,,"Thames High School, 300 Sealy Street",1,1,0,2,0,17,1,2,0,1,0,0,0,0,0,0,0,25,1
Hauraki-Waikato 66,,"Thames South School, Corner Grey & Rolleston Streets",0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,7,0
Hauraki-Waikato 66,,"Waihi Memorial Hall, 41 Seddon Street",1,1,2,13,0,139,12,9,2,8,2,1,0,0,0,3,1,194,4
Hauraki-Waikato 66,Waihi Beach,"Waihi Beach Community Centre, 102 Beach Road",0,1,1,2,0,10,3,1,0,0,0,0,0,0,0,0,0,18,0
Hauraki-Waikato 66,Whangamatā,"Whangamata Rugby & Sports Club, 135 Aicken Road",1,0,1,9,0,67,9,5,0,2,0,0,0,0,0,1,0,95,2
Hauraki-Waikato 66,Whitianga,"Crossroads Encounter Fellowship, 36 Cook Drive",1,3,0,2,0,34,4,5,0,3,0,0,0,0,0,0,0,52,2
Hauraki-Waikato 66,,"Thames Coromandel District Council Conference Room, 10 Monk Street",2,3,0,10,0,21,2,2,0,3,0,0,0,0,0,0,0,43,1
Hauraki-Waikato 66,Chartwell,"Chartwell Shopping Centre, Second Floor, opposite customer services desk, 201 Hukanui Road",4,10,2,33,0,264,57,14,0,12,0,1,0,0,0,4,6,407,6
Hauraki-Waikato 66,,"Fairfield College, 25 Bankwood Road",0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,1,9,0
Hauraki-Waikato 66,,"Life & Light Community Centre, 703 Wairere Drive",0,0,0,5,0,18,1,0,0,0,0,0,0,0,0,3,0,27,0
Hauraki-Waikato 66,,"Lynden Court, 7/13 Lynden Court",0,9,6,19,0,263,34,8,1,10,0,5,0,0,0,4,4,363,10
Hauraki-Waikato 66,Claudelands,"Claudelands, The Grandstand, Gate 2, 800 Heaphy Terrace",2,14,6,43,0,255,60,12,1,18,0,0,0,0,0,4,4,419,2
