Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Ōtaki 34,Non-place,Mana Mobile Team,2,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,14,0
Ōtaki 34,Non-place,Rest Homes-Taken in Otaki,5,0,0,9,0,122,0,55,1,9,0,0,0,0,0,0,0,201,9
Ōtaki 34,Foxton,"Coley Street School Hall, 53 Coley Street",7,2,0,1,0,39,0,22,3,1,1,0,0,0,0,0,0,76,0
Ōtaki 34,,"Foxton Primary School Hall, 5 Park Street",23,4,4,22,0,283,3,89,4,14,1,0,0,0,0,1,0,448,5
Ōtaki 34,,"Te Awahou Nieuwe Stroom, 92 Main Street",86,10,3,64,0,662,5,285,21,46,3,8,3,0,0,9,0,1205,9
Ōtaki 34,,"Te Waiora Community Health Services, 10 Ladys Mile",34,7,4,12,0,242,1,124,1,17,0,1,0,0,0,1,0,444,3
Ōtaki 34,Foxton Beach,"Foxton Beach Primary School Hall, 10 Carthew Terrace",7,0,2,0,0,50,1,23,0,1,0,0,0,0,0,0,0,84,1
Ōtaki 34,Ihakara,"Ihakara Hall, Corner Tavistock Road & State Highway 57",13,2,0,4,0,35,0,37,3,4,0,0,0,0,0,0,0,98,0
Ōtaki 34,Kelburn,"Victoria University, Student Union Building Memorial Theatre Foyer, 1 Kelburn Parade",2,1,0,16,0,13,1,6,0,0,0,0,0,0,0,0,0,39,0
Ōtaki 34,Levin,"Arohamai Literacy Centre, 19 Bristol Street",3,0,0,2,0,45,1,19,1,0,1,0,0,0,0,1,1,74,0
Ōtaki 34,,"Fairfield School Hall, 89 MacArthur Street",16,6,0,13,0,160,0,84,3,9,0,2,1,0,0,5,1,300,0
Ōtaki 34,,"Horowhenua District Council, 126 Oxford Street",108,8,2,52,0,638,2,377,17,47,1,1,2,2,0,7,0,1264,6
Ōtaki 34,,"Horowhenua Learning Centre, 102 Liverpool Street",5,1,0,9,0,114,0,34,2,4,0,3,2,0,0,1,0,175,2
Ōtaki 34,,"Levin Baptist Church, 19 Rugby Street",8,0,0,1,0,38,1,20,5,5,0,0,0,0,0,0,0,78,0
Ōtaki 34,,"Levin East School Hall, 90 Bartholomew Road",18,1,1,5,0,219,1,65,5,11,0,4,0,0,0,2,0,332,4
Ōtaki 34,,"Levin Intermediate School Hall, 20 Collingwood Street",16,5,1,8,0,245,1,87,9,9,0,0,0,0,0,3,1,385,0
Ōtaki 34,,"Levin North School Hall, 148 Weraroa Road",22,2,1,8,0,195,1,71,7,8,2,0,0,0,0,1,0,318,2
Ōtaki 34,,"Muaupoko Tribal Authority Inc, 306 Oxford Street",4,0,0,2,0,38,1,16,0,4,1,0,0,0,0,0,0,66,0
