Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Waitaki 59,Non-place,Rest home 2 - taken in Waitaki,1,0,0,1,0,11,0,16,0,0,0,0,0,0,0,0,0,29,2
Waitaki 59,Non-place,Rest home 3 - taken in Waitaki,3,0,0,1,0,22,0,14,0,1,0,0,0,1,0,0,0,42,1
Waitaki 59,Non-place,Timaru Hospital & Rest Homes Team - Taken in Rangitata,0,0,0,0,0,6,0,3,0,1,1,0,0,0,0,0,0,11,0
Waitaki 59,Alexandra,"Alexandra Primary School, Ventry Street",6,0,0,3,0,7,0,2,0,0,0,0,0,0,0,0,0,18,0
Waitaki 59,,"St Enoch's Church Lounge, 12 Centennial Avenue",37,2,2,11,0,67,0,83,1,6,2,1,0,0,0,0,0,212,3
Waitaki 59,Cattle Creek,"Cattle Creek Hall, Hakataramea Valley Road",6,0,0,0,0,2,0,25,1,2,0,0,0,0,0,0,0,36,0
Waitaki 59,Cromwell,"Cromwell Presbyterian Church, 10 Elspeth Street",40,2,0,15,0,155,0,96,4,5,0,3,0,0,0,0,0,320,2
Waitaki 59,,"Harvest Hotel, 6 Barry Avenue",404,32,9,111,0,1172,3,909,21,41,0,3,0,5,1,24,0,2735,8
Waitaki 59,Dunedin,"Meridian Mall (ex Factorie Shop), 285 George Street",7,0,1,8,0,34,0,24,1,1,0,0,0,0,0,2,0,78,0
Waitaki 59,,"Municipal Chambers, The Octagon",3,0,1,3,0,11,0,8,0,0,0,0,0,0,0,3,0,29,0
Waitaki 59,,"Otago Polytechnic, The Hub, 95 Forth Street (corner Forth Street & Union Street East)",2,0,0,1,0,21,0,8,1,0,1,0,0,0,0,0,0,34,0
Waitaki 59,,"University of Otago, ISB Link East, 660 Cumberland Street",7,1,0,12,0,31,0,21,1,0,0,1,0,1,1,3,0,79,0
Waitaki 59,Fairlie,"Fairlie Primary School, 21 School Road",7,1,0,11,0,62,0,39,8,1,0,1,0,0,0,1,0,131,1
Waitaki 59,,"Mackenzie Community Centre, 53 Main Street",40,0,1,10,0,117,0,143,5,6,0,0,0,0,0,4,0,326,0
Waitaki 59,Frankton,"Queenstown Central Shopping Centre, Building A Office Entrance, Central Street",13,1,1,4,0,26,0,23,1,1,1,0,0,0,0,1,0,72,0
