Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
New Lynn 28,Non-place,Rest Homes Team - Taken in New Lynn,41,0,0,14,0,299,0,205,4,14,1,2,2,0,0,1,0,583,12
New Lynn 28,Auckland City,"Pioneer Women's Hall, Ellen Melville Centre, 2 Freyberg Place",14,0,0,23,0,38,0,9,0,0,0,0,0,0,0,1,0,85,0
New Lynn 28,Avondale,"Avondale Baptist Church Lounge, 156 Blockhouse Bay Road entrance",42,6,2,138,0,525,3,168,14,24,1,2,0,2,2,19,1,949,10
New Lynn 28,,"Avondale Community Centre, 99 Rosebank Road",24,1,0,141,0,607,4,168,7,16,0,1,0,0,1,3,2,975,7
New Lynn 28,,"Avondale Intermediate School, 12 Holly Street",1,1,0,8,0,24,0,9,0,0,0,0,0,0,0,0,0,43,0
New Lynn 28,,"Avondale Primary School, 4 Crayford Street West",7,0,1,31,0,121,0,42,1,6,0,3,0,0,0,4,0,216,1
New Lynn 28,,"Rosebank Peninsula Church, 212 Rosebank Road (corner Orchard Street)",8,0,0,14,0,47,0,22,1,2,0,1,0,0,0,5,0,100,0
New Lynn 28,,"Rosebank School, 217 Rosebank Road",1,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,9,0
New Lynn 28,Blockhouse Bay,"Blockhouse Bay Baptist Church, 504 Blockhouse Bay Road",123,8,2,163,0,1127,2,522,42,51,1,7,2,4,10,20,0,2084,11
New Lynn 28,,"Blockhouse Bay Community Church, 76 Dundale Avenue",22,5,2,44,0,318,1,143,13,8,0,1,0,0,1,1,2,561,6
New Lynn 28,,"Blockhouse Bay Primary School, 584 Blockhouse Bay Road",29,0,1,41,0,251,0,137,6,8,0,0,0,0,2,5,0,480,0
New Lynn 28,,"Chaucer School, 2 Chaucer Place",9,0,0,24,0,128,1,50,3,1,0,0,0,0,0,2,0,218,2
New Lynn 28,,"Glenavon School, 340 Blockhouse Bay Road",4,2,1,8,0,137,1,29,3,3,0,2,0,0,3,2,0,195,1
New Lynn 28,,"St Dominic's Catholic Primary School, 32 Bolton Street",18,0,0,16,0,136,1,91,0,4,0,0,0,0,2,0,2,270,0
New Lynn 28,Glen Eden,"Glen Eden Primary School, 3 Glenview Road",1,0,0,3,0,14,0,5,0,1,0,0,0,0,1,2,0,27,0
New Lynn 28,,"Methodist Centre of the West, 302 West Coast Road",19,2,3,33,0,118,2,61,5,13,0,2,0,0,0,5,0,263,4
New Lynn 28,,"Our Lady of Lourdes Catholic Church, 7 Glendale Road",49,8,1,80,0,307,6,106,3,18,1,1,0,1,0,11,0,592,2
New Lynn 28,Green Bay,"Green Bay Primary School, 131 Godley Road",66,5,0,64,0,413,1,150,8,25,0,4,0,0,1,7,0,744,2
New Lynn 28,Henderson,"Henderson Valley Primary School, 389 Henderson Valley Road",18,4,1,29,0,120,0,50,4,10,0,0,0,0,0,6,0,242,0
New Lynn 28,,"Te Pai Centre Waitākere Netball, 31-35 Te Pai Place",18,1,0,33,0,92,0,35,3,5,0,0,0,0,1,1,0,189,0
New Lynn 28,,"Waitākere Central Library, 3 Ratanui Street",9,3,0,36,0,70,1,20,1,3,0,0,0,0,0,3,0,146,0
New Lynn 28,,"West City Mall, Level 1 (former Life Pharmacy shop), 7 Catherine Street",32,4,1,65,0,296,3,154,7,14,0,1,2,0,3,5,0,587,1
