Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Northland 32,Non-place,Rest Homes Team - Taken in Northland,7,1,2,7,1,76,1,62,1,12,1,0,0,0,0,1,0,172,5
Northland 32,Ahipara,"Ahipara School, Main Road",0,1,0,3,0,17,0,5,0,6,0,1,0,0,0,2,0,35,1
Northland 32,Dargaville,"Dargaville Baptist Church Hall, 187 Victoria Street",189,42,7,94,0,963,4,633,79,145,5,22,10,1,0,19,0,2213,16
Northland 32,,"Northern Wairoa Memorial Hall, Conference Room, 37 Hokianga Road",94,12,4,48,0,357,2,239,25,69,3,4,3,1,0,11,0,872,6
Northland 32,,"The Lighthouse Church Hall, 78 Normanby Street",7,2,0,8,0,72,0,34,5,9,0,0,1,0,0,0,0,138,0
Northland 32,Hikurangi,"Hikurangi Hall, 24 King Street",33,10,3,22,0,112,0,56,11,20,0,1,1,1,0,4,0,274,1
Northland 32,Houhora,"Pukenui School, 35 Lamb Road",14,1,0,1,0,36,0,30,1,6,1,0,0,0,0,0,0,90,0
Northland 32,Kaeo,"Whangaroa Memorial Hall, Leigh Street, State Highway 10",15,16,3,27,0,170,2,71,4,28,1,5,1,1,0,6,1,351,3
Northland 32,Kaikohe,"Kaikohe Baptist Church, 32 Broadway",62,16,7,38,0,342,6,137,8,49,0,20,1,0,0,1,2,689,17
Northland 32,,"Kaikohe War Memorial Hall, Supper Room, Memorial Ave",33,21,8,46,0,360,6,145,6,68,3,6,1,0,0,1,0,704,12
Northland 32,,"Northland Region Correctional Facilities, Ohaeawai Road State Highway 12",0,0,0,0,0,15,1,1,0,1,0,0,0,0,0,0,0,18,0
Northland 32,Kaitaia,"Far North REAP Centre, 33 Puckey Avenue",61,12,6,45,0,449,4,204,20,64,4,1,0,1,0,5,0,876,19
Northland 32,,"Kaitaia Intermediate School, 45 North Road",5,2,1,3,0,23,0,10,1,2,0,0,0,0,0,0,0,47,0
Northland 32,,"Te Ahu, Corner South Road & Matthews Avenue",174,56,18,133,0,984,15,491,55,131,3,9,4,2,0,19,1,2095,21
Northland 32,Kaiwaka,"Kaiwaka War Memorial Hall, 4 Kaiwaka-Mangawhai Road",18,3,0,25,0,105,0,73,7,9,0,2,1,0,0,3,0,246,1
Northland 32,Kamo,"Kamo Bowling Club, 15 Three Mile Bush Road",11,3,1,8,0,62,0,42,1,7,0,1,1,0,0,0,0,137,1
Northland 32,Kawakawa,"Kawakawa Baptist Church, Level 1/19 Gillies Street",43,8,4,52,0,392,1,106,9,61,2,8,1,0,0,4,0,691,8
Northland 32,Kensington,"Northland Table Tennis Centre, ASB Sports Complex, 193 Western Hills Drive",6,1,0,1,0,17,0,16,0,1,0,0,0,0,0,0,0,42,1
Northland 32,Kerikeri,"Kerikeri Baptist Church, 41 Hobson Avenue",278,51,7,163,0,1207,4,855,50,119,3,15,2,1,0,27,1,2783,12
Northland 32,,"Riverview School, 23 Riverview Road",14,0,0,13,0,57,0,35,1,5,0,0,0,0,0,2,0,127,0
Northland 32,,"Turner Centre, 43 Cobham Road",320,33,8,217,0,1373,6,904,24,109,5,12,3,3,0,15,1,3033,23
Northland 32,Mangamuka,"Mangamuka Tautoko FM Radio Building, 4137 State Highway 1 (corner SH1 & Mangamuka Road)",0,0,1,1,0,6,0,2,0,0,0,0,0,0,0,1,0,11,0
Northland 32,Mangawhai,"Mangawhai Public Library Hall, 45 Moir Street",129,29,1,76,0,473,1,246,18,47,0,2,0,1,0,11,0,1034,10
Northland 32,Mangawhai Heads,"Mangawhai Community Centre, Fagan Place",5,0,0,6,0,33,0,10,0,1,0,0,0,0,0,0,0,55,1
Northland 32,,"Mangawhai Museum, Tara Schoolhouse, Corner of Molesworth Drive and Thelma Road",218,35,3,98,0,788,3,644,39,61,1,1,2,2,0,10,0,1905,14
Northland 32,Mangōnui,"St John Ambulance Service, 7 St Johns Road, Coopers Beach",123,15,4,55,0,592,2,401,10,90,2,2,3,2,0,13,0,1314,7
Northland 32,Maungatapere,"Maungatapere School Hall, Mangakahia Road",33,4,1,4,0,72,1,61,1,6,1,0,0,0,0,2,0,186,0
Northland 32,Maungaturoto,"Maungaturoto Centennial Community Hall, 44 View Street",79,15,2,33,0,357,1,214,29,33,5,7,2,0,0,8,0,785,4
Northland 32,,"Northland Vintage Car Clubrooms - Kiwi North, Gate 2 , 500 SH14",26,3,1,10,0,80,0,93,5,8,0,0,1,0,0,6,0,233,0
Northland 32,Moerewa,"Moerewa School, 70 Otiria Road",1,0,1,1,0,35,1,2,1,1,0,1,0,0,0,0,0,44,0
Northland 32,Ngunguru,"Ngunguru Community Hall, 1879 Ngunguru Road",0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,1,0,7,0
Northland 32,Okara,"Northland Cricket Association Clubrooms Upstairs Lounge, 79 Okara Drive",27,5,0,9,0,59,0,45,1,7,1,0,0,0,0,2,0,156,1
Northland 32,Ōmāpere,"Opononi Area School, 263 State Highway 12",4,4,1,13,0,57,1,13,0,5,0,0,0,0,0,0,0,98,0
Northland 32,Paihia,"Paihia Memorial & Community Hall, 8 Williams Road",180,34,8,131,0,864,5,533,13,77,0,10,1,1,0,18,0,1875,14
Northland 32,,"Northtec, Future Trades Building, Classroom, 19 Dyer Street",0,1,0,0,0,5,0,2,2,3,0,0,0,0,0,0,0,13,0
Northland 32,,"Raumanga Te Ora Hou (The Pulse), 89 Raumanga Valley Road",6,0,0,2,0,9,0,4,2,1,0,0,0,0,0,0,0,24,0
Northland 32,Rawene,"Rawene Town Hall, 9 Parnell St",10,5,0,35,0,98,1,18,1,10,0,0,0,0,0,2,0,180,2
Northland 32,Regent,"Anglican Parish Hall, 2A Kamo Road",5,0,0,3,0,16,0,14,0,8,0,1,1,0,0,1,0,49,0
Northland 32,Ruawai,"Ruawai Primary School, 4376 State Highway 12",8,2,0,0,0,48,0,37,1,6,0,0,0,0,0,0,0,102,2
Northland 32,Russell,"Russell School, 8 Baker Street",34,7,1,46,0,161,1,66,2,18,1,1,0,0,0,4,1,343,2
Northland 32,Snells Beach,"Mahurangi East Community Centre, 21 Hamatana Road",0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,6,0
Northland 32,Taipa,"Doubtless Bay Squash Club, 10 East Street",15,3,0,10,0,54,0,33,2,5,1,0,0,0,0,0,1,124,0
Northland 32,Te Hana,"Te Hana Community Hall, 12 Whakapirau Road",4,5,0,3,0,23,0,27,4,3,1,0,0,0,0,2,0,72,0
Northland 32,Te Kao,"Whakawhiti Ora Pai, 6652 Far North Road",1,0,0,0,0,9,0,2,4,1,1,0,0,0,0,0,0,18,0
Northland 32,Tikipunga,"Tikipunga Shopping Centre, Shop by roundabout, 165 Kiripaka Road",5,1,1,4,0,30,1,16,4,4,0,0,0,0,0,1,2,69,0
Northland 32,Waipapa,"Broadway Health, 5 Klinac Lane",29,1,0,22,0,147,0,83,5,13,1,1,0,0,0,3,1,306,2
Northland 32,,"Waipapa Baysport, Pavilion, Harmony Lane",95,16,3,35,0,303,0,262,6,34,0,1,2,0,0,8,0,765,2
Northland 32,Waipu,"Waipu Coronation Hall, 47 The Centre",3,1,0,5,0,34,0,13,1,2,0,0,1,1,0,1,0,62,0
Northland 32,Warkworth,"Unit 7, 1/9 The Grange Warkworth, Fairwater Road",1,1,0,2,0,20,0,7,0,1,0,1,0,0,0,1,0,34,0
Northland 32,,"Warkworth Masonic Lodge (above Westpac Bank), 12 Baxter Street",2,0,1,3,0,6,0,5,0,1,0,0,0,0,0,0,0,18,1
Northland 32,,"Warkworth Old Masonic Hall, 3 Baxter Street",1,0,0,0,0,9,0,3,0,2,0,0,0,0,0,0,0,15,0
Northland 32,Wellsford,"Wellsford District Community Centre, 1 Matheson Road",5,0,0,0,0,48,0,25,0,2,0,0,0,0,0,0,0,80,0
Northland 32,,"Forum North Exhibition Hall, 5 Rust Avenue",43,7,3,45,0,187,3,133,10,34,0,0,2,0,0,9,2,478,3
Northland 32,,"The Strand Arcade, 41 Cameron Street",27,5,1,12,0,93,3,56,7,10,0,2,0,1,0,8,2,227,3
Northland 32,Non-place,Rest Homes Team - Taken in Whangārei,1,0,0,0,1,3,0,2,1,0,0,0,0,0,0,0,0,8,0
Northland 32,Ahipara,"Ahipara School, Main Road",5,2,0,7,0,93,0,43,2,11,3,0,0,0,0,2,0,168,1
Northland 32,Arapohue,"Arapohue School, 3248 Mititai Road",13,2,0,1,0,19,1,41,3,5,0,0,0,0,0,1,0,86,0
Northland 32,Awanui,"Awanui School, 172 Far North Road (State Highway 1)",22,2,0,3,0,46,1,40,3,17,2,0,0,0,0,2,0,138,2
Northland 32,Broadwood,"Broadwood Area School, 1041 Broadwood Road",7,1,0,3,0,15,0,24,0,5,0,0,0,0,0,0,0,55,0
Northland 32,Dargaville,"Dargaville Baptist Church Hall, 187 Victoria Street",19,0,3,6,0,86,2,77,5,16,0,0,0,0,0,0,0,214,1
Northland 32,,"Northern Wairoa Memorial Hall, Conference Room, 37 Hokianga Road",31,6,0,9,0,95,4,74,4,31,2,0,1,0,0,1,0,258,0
Northland 32,,"The Lighthouse Church Hall, 78 Normanby Street",16,3,0,11,0,92,0,82,9,17,0,1,0,1,0,1,0,233,0
Northland 32,Fairburn,"Fairburn Kaiaka Community Hall, 813 Fairburn Road",2,2,0,0,0,22,0,10,1,11,0,0,1,0,0,0,0,49,0
Northland 32,Herekino,"Herekino School, 2529 Kaitaia-Awaroa Road",5,0,1,2,0,26,2,11,4,8,0,0,3,0,0,1,0,63,0
Northland 32,Hihi,"Hihi Fire Station, 13 Marchant Road",4,0,0,2,0,30,0,9,0,1,0,0,0,0,0,0,0,46,1
Northland 32,Hikurangi,"Hikurangi Hall, 24 King Street",12,0,0,3,0,27,0,21,1,5,0,0,1,0,0,0,0,70,2
Northland 32,Horeke,"Horeke School, 2230 Horeke Road",0,1,0,1,0,13,0,2,0,3,1,1,0,0,0,1,0,23,1
Northland 32,Houhora,"Pukenui School, 35 Lamb Road",24,0,0,3,0,78,1,120,5,20,3,1,1,0,0,0,0,256,2
Northland 32,Hūkerenui,"Hukerenui School, Technology Centre, 9 Crows Nest Road",23,4,0,5,0,40,0,74,2,10,0,0,1,0,0,0,0,159,0
Northland 32,Kaeo,"Kaeo Primary School, 4139 State Highway 10",26,15,1,4,0,85,2,43,1,11,1,2,0,0,0,2,0,193,0
Northland 32,Kaihu,"Kaihu Hall, 43 Kaihu Wood Road",6,1,2,3,0,33,0,37,2,13,0,0,0,0,0,1,0,98,0
Northland 32,Kaikohe,"Kaikohe Baptist Church, 32 Broadway",9,2,2,9,0,65,4,32,3,11,0,1,0,0,0,2,0,140,0
Northland 32,,"Kaikohe East School, 36 Mangakahia Road",1,3,0,3,0,31,2,17,0,9,0,1,0,0,0,1,1,69,1
Northland 32,,"Kaikohe West School, 23 Tawanui Road",2,0,1,2,0,7,0,5,2,7,0,2,0,0,0,0,0,28,0
Northland 32,Kaingaroa,"Kaingaroa School, 5328 State Highway 10",14,0,0,2,0,28,0,40,1,10,0,0,0,0,0,0,0,95,1
Northland 32,Kaitaia,"Far North REAP Centre, 33 Puckey Avenue",5,2,1,5,0,42,0,18,3,13,0,2,0,0,0,0,0,91,1
Northland 32,,"Kaitaia Intermediate School, 45 North Road",15,1,3,4,0,78,0,27,1,6,0,1,0,0,0,0,0,136,0
Northland 32,,"Te Ahu, Corner South Road & Matthews Avenue",23,6,4,13,0,108,1,56,15,15,0,1,0,0,1,7,1,251,2
Northland 32,Kaiwaka,"Kaiwaka War Memorial Hall, 4 Kaiwaka-Mangawhai Road",40,14,1,33,0,148,0,149,6,8,2,0,0,1,1,4,0,407,4
Northland 32,,"Kamo Bowling Club, 15 Three Mile Bush Road",1,0,0,0,0,12,1,4,0,1,0,0,0,0,0,0,0,19,0
Northland 32,Karetu,"Karetu School, 40 Kura Road",4,0,0,1,0,12,0,10,1,3,0,0,0,0,0,0,0,31,0
Northland 32,Kauri,"Kaurihohore Hall, 24 Apotu Road",1,1,0,0,0,8,0,3,0,2,0,0,0,0,0,0,0,15,0
Northland 32,Kawakawa,"Kawakawa Baptist Church, Level 1/19 Gillies Street",8,2,0,4,0,54,0,17,4,12,0,5,0,0,0,2,0,108,2
Northland 32,,"Kawakawa Primary School, Hall, 31-39 Albert Street",3,0,0,5,0,21,0,9,0,3,0,0,0,0,0,0,0,41,1
Northland 32,Kensington,"Northland Table Tennis Centre, ASB Sports Complex, 193 Western Hills Drive",1,0,0,1,0,5,0,1,0,2,0,0,0,0,0,0,0,10,0
Northland 32,Kerikeri,"Kerikeri Baptist Church, 41 Hobson Avenue",38,16,0,17,0,105,1,109,9,17,0,6,0,0,0,5,0,323,2
Northland 32,,"Kerikeri Primary School, 39 Hone Heke Road",20,4,1,14,0,78,0,58,5,9,0,4,0,0,0,2,0,195,1
Northland 32,,"Riverview School, 23 Riverview Road",44,3,1,18,0,139,0,93,1,20,0,4,0,0,0,4,0,327,2
Northland 32,,"Turner Centre, 43 Cobham Road",53,4,0,23,0,146,3,104,3,16,1,4,0,1,0,7,0,365,1
Northland 32,Kohukohu,"Kohukohu Town Hall, 25 Beach Road",4,6,1,24,0,72,2,17,0,9,1,0,0,0,0,2,0,138,0
Northland 32,Kokopu,"Kokopu School Classroom 5, 921 Kokopu Road",6,1,0,0,0,13,0,34,2,1,0,0,0,0,0,0,0,57,0
Northland 32,Mangamuka,"Mangamuka Tautoko FM Radio Building, 4137 State Highway 1 (corner SH1 & Mangamuka Road)",0,0,0,3,0,17,0,3,0,3,0,0,0,0,0,0,0,26,1
Northland 32,Mangawhai,"Mangawhai Public Library Hall, 45 Moir Street",21,7,1,18,0,83,0,78,7,20,0,0,0,0,0,6,0,241,0
Northland 32,Mangawhai Heads,"Mangawhai Community Centre, Fagan Place",8,1,0,3,0,29,0,26,2,4,1,0,0,0,0,0,0,74,0
Northland 32,,"Mangawhai Museum, Tara Schoolhouse, Corner of Molesworth Drive and Thelma Road",33,9,4,10,0,82,0,60,10,12,2,0,0,0,0,1,0,223,0
Northland 32,Mangōnui,"Mangonui School, 19 Colonel Mould Drive",15,4,0,6,1,70,2,54,2,18,0,0,0,2,0,5,0,179,1
Northland 32,,"St John Ambulance Service, 7 St Johns Road, Coopers Beach",17,4,3,8,0,79,0,43,2,8,0,0,0,0,0,1,0,165,0
Northland 32,Marua,"Marua Hall, 752 Marua Road",6,0,0,0,0,20,0,33,0,13,0,0,1,0,0,2,0,75,1
Northland 32,Matakohe,"Matakohe School, 117 Matakohe East Road",26,2,0,8,0,36,0,60,3,2,1,0,0,0,0,0,0,138,0
Northland 32,Matauri Bay,"Matauri Bay School, 2223 Whakarara Road",8,0,0,3,0,31,1,7,0,6,0,0,0,0,0,0,0,56,3
Northland 32,Maungakaramea,"Maungakaramea School Library, Tangihua Road",50,4,1,8,0,118,0,153,9,25,0,4,2,0,0,4,0,378,4
Northland 32,Maungatapere,"Maungatapere School Hall, Mangakahia Road",13,2,1,7,0,72,0,105,6,14,0,0,0,0,0,3,0,223,0
Northland 32,Maungaturoto,"Maungaturoto Centennial Community Hall, 44 View Street",24,11,1,8,0,113,0,87,15,18,0,7,0,0,0,4,0,288,0
Northland 32,Maunu,"Maunu Primary School Hall, 13 Austin Road",4,1,0,0,0,4,0,5,0,0,0,0,0,0,0,1,0,15,0
Northland 32,,"Northland Vintage Car Clubrooms - Kiwi North, Gate 2 , 500 SH14",5,0,0,0,0,7,0,6,0,1,0,0,0,0,0,1,0,20,0
Northland 32,Moerewa,"Moerewa School, 70 Otiria Road",4,3,0,3,0,44,3,4,2,6,0,3,1,0,0,1,0,74,1
Northland 32,Morningside,"Morningside School Staffroom, 53A Morningside Road",1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,6,0
Northland 32,Ngararatunua,"Regent Training Centre Ngararatunua, Dining Room, 370 Pipiwai Road",2,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,7,0
Northland 32,Ngataki,"Ngataki School, 5265 Far North Road",4,2,0,2,0,8,0,7,2,2,0,0,0,0,0,1,0,28,1
Northland 32,Ōakura,"Oakura Hall, 153 Oakura Road",8,1,0,2,0,41,1,29,0,8,0,0,0,0,0,0,0,90,1
Northland 32,Ōhaeawai,"Ohaeawai School, 22 Tennyson Street",7,0,0,5,0,38,0,25,0,5,0,0,0,0,0,1,0,81,0
Northland 32,Ōkaihau,"Okaihau Primary School, 77 Settlers Way",29,4,1,3,0,79,1,78,5,15,0,1,1,0,0,1,0,218,2
