Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Hamilton East 12,Chartwell,"Chartwell Shopping Centre, Second Floor, opposite customer services desk, 201 Hukanui Road",262,14,5,229,0,2120,12,1387,97,87,1,19,1,3,3,77,7,4324,33
Hamilton East 12,,"Fairfield College, 25 Bankwood Road",4,0,1,2,0,21,0,12,1,2,0,0,0,0,0,1,0,44,1
Hamilton East 12,,"Hukanui School, Corner Hukanui Road & Pickering Crescent",4,0,0,5,0,29,0,15,0,1,0,0,0,0,0,2,0,56,0
Hamilton East 12,,"Life & Light Community Centre, 703 Wairere Drive",45,2,0,25,0,151,1,128,12,8,1,3,0,0,0,7,1,384,1
Hamilton East 12,,"Lynden Court, 7/13 Lynden Court",207,24,5,142,0,1377,6,812,68,69,0,5,2,0,1,33,3,2754,33
Hamilton East 12,Claudelands,"Claudelands, The Grandstand, Gate 2, 800 Heaphy Terrace",169,21,1,275,1,1508,15,578,54,50,2,4,2,0,0,87,2,2769,22
Hamilton East 12,,"Peachgrove Intermediate School, 72 Peachgrove Road",8,1,0,14,0,61,1,41,0,4,0,0,0,0,0,0,0,130,2
Hamilton East 12,Enderley,"Insoll Avenue School, 95 Insoll Avenue",3,0,1,12,0,61,1,23,3,3,0,0,0,1,0,2,0,110,0
Hamilton East 12,,"Te Kura Kaupapa Māori O Te Ara Rima School, 33 Fifth Avenue",2,0,0,3,0,36,0,16,1,2,0,0,0,0,0,0,0,60,1
Hamilton East 12,Fairfield,"Fairfield Intermediate School, 261 Clarkin Road",9,0,0,7,0,45,2,27,2,1,0,1,0,0,0,1,0,95,1
Hamilton East 12,Flagstaff,"Endeavour School, 86 Endeavour Avenue",11,0,0,6,0,67,0,42,0,6,0,1,0,0,0,2,0,135,1
Hamilton East 12,,"Suburbs Community Sports Club, 18 Commodore Avenue",105,7,3,37,1,481,3,441,29,12,0,0,0,0,1,10,0,1130,6
Hamilton East 12,,"Te Ao Mārama, 33 Hare Puke Drive",0,0,0,3,0,15,0,15,1,1,0,0,0,0,0,1,0,36,0
Hamilton East 12,Frankton,"Forlongs Building (entry from Kent Street), Corner of Hall & Kent Streets",20,1,2,18,0,106,4,69,3,3,0,0,0,0,1,7,1,235,3
Hamilton East 12,Glenview,"Glenview Community Centre, 12 Tomin Road",0,0,0,4,0,13,1,3,0,1,0,0,0,0,0,0,0,22,0
Hamilton East 12,Hamilton Central,"311 Victoria Street, (formerly WINZ Community Hub)",48,3,0,120,0,307,6,152,10,9,0,1,1,0,0,34,2,693,1
Hamilton East 12,,"Wintec City Campus, Gallagher Hub, Lounge Area, Corner Anglesea & Ward Streets",2,0,0,7,0,37,2,7,0,2,0,0,0,0,0,0,0,57,0
Hamilton East 12,Hamilton East,"Hamilton East Primary School, 7 Dawson Street",8,0,0,11,0,50,2,20,0,0,0,0,0,0,0,1,0,92,0
Hamilton East 12,,"Kirikiriroa Marae, 951 Wairere Drive",48,11,2,65,0,334,5,130,13,14,1,1,0,1,2,17,3,647,9
Hamilton East 12,,"Marian Catholic School, 119 Firth Street",2,0,0,14,0,79,0,29,1,5,0,0,0,0,0,3,0,133,2
Hamilton East 12,,"St John's Methodist Church Centre, 20 Wellington Street",130,15,6,268,0,1147,5,461,36,40,2,6,1,0,0,29,2,2148,22
Hamilton East 12,Hamilton Lake,"Meade Clinical Centre, Waikato Hospital, Pembroke Street",3,0,0,1,0,18,0,5,0,0,0,0,0,0,0,0,0,27,0
Hamilton East 12,,"The Verandah, Lake Domain Drive",15,2,1,14,0,77,0,47,6,3,0,0,0,0,0,5,0,170,1
Hamilton East 12,Hillcrest,"Hillcrest Baptist Church Hall, Corner Knighton Road & Clyde Street",66,10,7,132,0,834,11,356,51,32,1,5,0,0,0,34,0,1539,9
Hamilton East 12,,"Hillcrest Normal School, 218 Cambridge Road",12,0,0,26,0,113,0,68,2,9,0,1,0,0,0,4,0,235,0
Hamilton East 12,,"Knighton Normal School, 45 Knighton Road",5,1,0,16,1,54,0,17,2,3,0,0,0,0,0,2,0,101,0
Hamilton East 12,,"St John's College, 85 Hillcrest Road",4,0,0,11,0,34,0,8,1,2,0,0,0,0,0,3,0,63,1
Hamilton East 12,,"University of Waikato, Gate 1, Knighton Road",57,0,0,306,0,672,5,193,13,25,1,6,0,3,0,70,0,1351,3
Hamilton East 12,Ngāruawāhia,"Ngāruawāhia War Memorial Hall, 5 Galileo Street",3,0,0,0,0,6,0,5,0,1,0,0,0,0,0,1,0,16,0
Hamilton East 12,Rototuna,"Rototuna Primary School, 23 Strathmore Drive",9,0,0,4,0,45,0,40,1,5,0,0,0,0,0,1,0,105,1
Hamilton East 12,,"Rototuna Shopping Centre, helloworld, 12/44 Horsham Downs Road",349,27,4,178,0,1924,5,1713,88,73,1,7,2,1,6,51,5,4434,25
Hamilton East 12,Rototuna North,"Te Totara Primary School, 31 Hector Drive",21,0,0,6,0,39,0,33,3,2,0,0,0,0,0,2,0,106,0
Hamilton East 12,Silverdale,"Hillcrest High School, 141 Masters Avenue",8,0,0,22,0,93,1,27,4,6,0,0,0,0,0,3,0,164,3
Hamilton East 12,Te Rapa,"Te Awa, The Base (beside children's playground in main car park area), Maahanga Drive",61,7,4,61,0,421,2,248,8,5,2,1,0,0,0,25,5,850,5
Hamilton East 12,,"Wintec Rotokauri Campus, S Block Foyer, Gilchrist Street",0,0,0,1,0,9,0,5,0,0,0,0,0,0,0,1,0,16,0
Hamilton East 12,Whitiora,"Waikato Table Tennis Centre, Edgecumbe Street",5,0,0,5,0,43,1,14,2,1,0,1,0,0,0,0,0,72,0
Hamilton East 12,Cambridge,"Cambridge Primary School, 3 Wilson Street",1,0,0,1,0,10,0,3,0,0,0,0,0,0,0,0,0,15,0
Hamilton East 12,Chartwell,"Chartwell Cooperating Parish Hall, Corner Comries Road & Belmont Avenue",19,0,0,17,0,99,0,59,7,5,2,2,1,0,0,4,0,215,1
Hamilton East 12,,"Chartwell Shopping Centre, Second Floor, opposite customer services desk, 201 Hukanui Road",24,2,2,14,0,135,1,81,6,6,0,2,0,0,0,5,0,278,3
Hamilton East 12,,"Fairfield College, 25 Bankwood Road",12,0,0,10,0,55,0,33,2,2,0,0,0,0,0,4,0,118,0
Hamilton East 12,,"Hukanui School, Corner Hukanui Road & Pickering Crescent",38,4,0,14,0,110,1,98,3,5,0,2,0,0,0,4,1,280,0
Hamilton East 12,,"Life & Light Community Centre, 703 Wairere Drive",15,0,0,7,0,68,1,58,4,5,0,0,0,0,0,5,0,163,0
Hamilton East 12,,"Lynden Court, 7/13 Lynden Court",27,5,1,9,0,110,3,80,8,6,0,3,0,1,0,7,0,260,1
Hamilton East 12,Claudelands,"Peachgrove Intermediate School, 72 Peachgrove Road",15,5,1,26,0,142,0,57,9,10,2,1,0,0,0,9,1,278,2
Hamilton East 12,Enderley,"Insoll Avenue School, 95 Insoll Avenue",11,2,0,6,0,131,2,31,3,12,0,0,0,1,0,3,0,202,5
Hamilton East 12,,"Te Kura Kaupapa Māori O Te Ara Rima School, 33 Fifth Avenue",8,0,0,8,0,77,2,28,1,8,0,0,0,0,0,3,0,135,1
Hamilton East 12,Fairfield,"Fairfield Baptist Church, 1101 Heaphy Terrace",6,1,1,8,0,51,0,25,8,4,0,0,0,0,0,1,0,105,2
Hamilton East 12,,"Fairfield Intermediate School, 261 Clarkin Road",11,3,0,3,0,68,0,24,3,7,0,0,1,0,0,4,0,124,3
Hamilton East 12,,"Wesley Methodist Hall, 955 Heaphy Terrace",20,2,1,19,0,119,3,34,2,15,0,0,0,0,0,5,0,220,3
Hamilton East 12,,"Woodstock Primary School Library, 21 Woodstock Road",28,2,0,16,0,79,2,101,4,3,0,1,0,0,0,4,1,241,0
Hamilton East 12,Flagstaff,"Endeavour School, 86 Endeavour Avenue",33,0,0,18,1,115,1,123,8,5,0,0,0,0,0,7,0,311,0
Hamilton East 12,,"Te Ao Mārama, 33 Hare Puke Drive",4,0,0,1,0,20,2,19,2,0,0,0,0,0,0,1,0,49,0
Hamilton East 12,Frankton,"Forlongs Building (entry from Kent Street), Corner of Hall & Kent Streets",0,0,0,0,0,8,2,8,0,2,0,1,0,0,0,1,0,22,0
Hamilton East 12,,"Frankton School Hall, 206 Massey Street",0,0,0,2,0,7,0,3,0,0,0,0,0,0,0,1,0,13,0
Hamilton East 12,Hamilton Central,"311 Victoria Street, (formerly WINZ Community Hub)",2,0,0,9,0,16,0,16,0,1,0,0,0,0,0,1,0,45,0
Hamilton East 12,Hamilton East,"Graceway Church, 69 Grey Street",17,4,0,28,1,119,0,60,10,8,0,2,0,0,1,6,0,256,1
Hamilton East 12,,"Hamilton East Primary School, 7 Dawson Street",12,2,2,21,0,97,1,42,1,6,1,0,0,0,0,1,0,186,0
Hamilton East 12,,"Marian Catholic School, 119 Firth Street",24,2,0,15,0,91,0,51,5,6,0,1,0,0,0,6,0,201,3
Hamilton East 12,,"St John's Methodist Church Centre, 20 Wellington Street",23,3,0,24,0,185,3,70,1,7,0,1,0,0,0,13,0,330,5
Hamilton East 12,,"The Link Community & Business Centre, 4 Te Aroha Street",8,0,1,16,0,60,2,56,2,5,0,1,0,0,1,3,0,155,0
Hamilton East 12,Hamilton Lake,"The Verandah, Lake Domain Drive",3,0,0,3,0,16,0,6,1,0,0,0,0,0,0,0,0,29,0
Hamilton East 12,Hillcrest,"Hillcrest Baptist Church Hall, Corner Knighton Road & Clyde Street",17,0,1,28,0,126,3,59,2,5,0,0,1,0,0,16,0,258,2
Hamilton East 12,,"Hillcrest Normal School, 218 Cambridge Road",33,0,0,40,0,187,0,104,2,13,0,3,1,3,0,10,0,396,6
Hamilton East 12,,"Knighton Normal School, 45 Knighton Road",15,0,1,19,0,90,3,46,3,6,0,0,0,0,0,6,0,189,0
Hamilton East 12,,"St John's College, 85 Hillcrest Road",15,1,0,15,0,62,3,39,4,4,0,1,0,0,0,8,0,152,1
Hamilton East 12,Pukete,"Pukete School, 110 Pukete Road",1,0,0,1,0,6,0,5,0,0,0,0,0,0,0,2,0,15,0
Hamilton East 12,Rototuna,"Chapel Hill Community Church, 2 Cate Road",39,2,0,15,0,134,0,156,15,16,0,1,1,0,0,6,0,385,2
Hamilton East 12,,"Rototuna Primary School, 23 Strathmore Drive",29,4,0,3,0,88,0,125,0,11,0,1,0,0,0,7,0,268,3
Hamilton East 12,,"Rototuna Shopping Centre, helloworld, 12/44 Horsham Downs Road",41,2,1,23,0,174,3,174,16,13,1,1,0,0,0,6,0,455,6
Hamilton East 12,,"Waikato Waldorf School, 85 Barrington Drive",14,1,0,7,0,46,1,52,7,1,0,0,0,0,0,1,0,130,0
Hamilton East 12,Rototuna North,"Te Totara Primary School, 31 Hector Drive",15,3,0,4,0,92,1,67,5,2,1,2,0,0,0,1,1,194,1
Hamilton East 12,Silverdale,"Hillcrest High School, 141 Masters Avenue",23,3,0,40,0,172,0,66,12,14,0,1,0,0,0,6,0,337,2
Hamilton East 12,St Andrews,"All Saints Church Hall, 191 Sandwich Road",1,0,0,2,0,2,0,5,0,0,0,0,0,0,0,0,0,10,0
Hamilton East 12,Te Rapa,"Te Awa, The Base (beside children's playground in main car park area), Maahanga Drive",9,0,1,4,0,41,0,50,0,4,0,2,0,0,0,3,1,115,0
Hamilton East 12,Whangamatā,"Whangamatā Memorial Hall, 328 Port Road",0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,7,0
Hamilton East 12,Whitiora,"Waikato Table Tennis Centre, Edgecumbe Street",5,0,0,3,0,4,0,6,0,1,0,0,0,0,0,0,0,19,0
Hamilton East 12,,"Whitiora School, 38 Willoughby Street",1,0,0,2,0,4,0,1,0,0,0,0,0,0,0,1,0,9,0
Hamilton East 12,Non-place,Overseas Special Votes Including Defence Force - Hamilton East,38,14,0,157,0,427,2,102,12,10,0,0,0,0,0,30,2,794,0
Hamilton East 12,Non-place,Overseas Votes Allowed for Party Only - Hamilton East,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Hamilton East 12,Non-place,Special Votes BEFORE Polling Day - Hamilton East,218,37,38,316,1,2111,31,893,64,65,4,11,0,1,3,87,13,3893,45
Hamilton East 12,Non-place,Special Votes ON Polling Day - Hamilton East,140,30,21,126,0,1038,13,496,45,47,4,9,0,2,0,53,5,2029,29
Hamilton East 12,Non-place,Votes Allowed for Party Only - Hamilton East,21,11,12,20,1,245,16,69,7,9,0,2,0,0,1,10,1,425,7
Hamilton East 12,Non-place,Voting places where less than 6 votes were taken,3,0,0,1,0,4,0,2,0,0,0,0,0,0,0,1,0,11,0
Hamilton East 12,Non-place,Hamilton East Total,2744,291,126,3171,7,19471,193,10875,796,836,27,113,14,17,20,868,57,39626,320
