Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Manurewa 22,Botany,"Botany Library, Level 1, Sunset Terrace",1,0,0,3,0,26,1,6,1,0,0,0,0,0,0,0,0,38,0
Manurewa 22,Botany Downs,"Botany Downs Secondary College, 575 Chapel Road",0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,6,0
Manurewa 22,Burswood,"China Town, 262 Ti Rakau Drive",0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,21,1
Manurewa 22,Clendon Park,"St Elizabeth's Anglican Church Hall, 182 Finlayson Avenue",10,13,2,11,0,694,6,75,7,23,0,4,0,0,0,2,8,855,23
Manurewa 22,,"Te Matariki Clendon Community Centre & Library, 17 Palmers Road",6,13,7,39,0,1517,15,138,24,40,0,5,0,0,1,2,8,1815,27
Manurewa 22,,"Te Matauranga School Hall, 206 Finlayson Avenue",3,1,0,7,0,78,0,13,4,2,0,1,0,0,0,0,2,111,3
Manurewa 22,,"Tupu Youth Library, 102 Dawson Road",0,0,0,0,0,48,0,3,0,2,0,0,0,0,0,1,0,54,1
Manurewa 22,East Tāmaki,"Tongan Methodist Church, 3 Ormiston Road",0,0,1,0,0,10,0,1,0,0,0,0,0,0,0,0,0,12,0
Manurewa 22,Goodwood Heights,"Connect Baptist Church, 75 Everglade Drive",2,3,0,2,0,46,0,12,3,3,0,1,0,0,1,2,0,75,1
Manurewa 22,,"Everglade School Hall, 64 Everglade Drive",0,1,0,1,0,12,0,9,1,0,0,0,0,0,0,1,0,25,1
Manurewa 22,,"Māngere Arts & Events Centre, Corner Orly Avenue & Bader Drive",0,0,0,4,0,37,0,4,1,2,0,1,0,0,0,0,0,49,1
Manurewa 22,,"Southern Cross Campus, 253 Buckland Road West",0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,7,0
Manurewa 22,Māngere East,"Metro Theatre, 362 Massey Road",1,3,0,1,0,34,0,5,0,1,0,0,0,0,0,0,0,45,0
Manurewa 22,Manukau,"Westfield Manukau Mall (Open Space), Corner Great South & Manukau Station Roads",10,4,4,7,0,307,4,57,6,4,0,0,0,0,0,1,4,408,5
Manurewa 22,,"Westfield Manukau Mall (Shop), Corner Great South & Manukau Station Roads",23,6,2,50,0,926,4,191,20,29,0,1,0,3,2,6,5,1268,12
Manurewa 22,,"Wiri Community Hall, 15 Inverell Avenue",21,2,0,23,0,529,3,64,17,23,0,3,0,0,0,1,16,702,16
Manurewa 22,Manurewa,"Hillpark School Hall, 57 Grande Vue Road",9,0,0,12,0,222,1,66,5,6,0,0,0,0,1,2,1,325,3
Manurewa 22,,"Manurewa Library, 7 Hill Road",72,10,4,83,0,1310,14,341,47,77,2,1,1,1,1,6,13,1983,38
Manurewa 22,,"Rowandale School Hall, 73 Rowandale Avenue",3,1,0,1,0,138,0,24,5,2,0,0,0,0,2,1,1,178,4
Manurewa 22,,"St Anne's Catholic Church, 126 Russell Road",24,2,3,39,1,1109,5,144,21,28,0,4,0,0,0,4,10,1394,21
Manurewa 22,,"St John's Hall, 10 Weymouth Road",1,1,0,8,0,126,0,37,5,3,0,1,0,0,2,1,1,186,6
Manurewa 22,,"St Luke's Anglican Church Hall, 3 Russell Road",13,14,1,17,0,622,6,115,16,47,0,1,0,0,0,7,8,867,19
Manurewa 22,Manurewa East,"Alfriston College, KTK Foyer, Alfriston Road entrance",0,0,0,2,0,29,0,5,0,4,0,0,0,1,0,0,0,41,0
Manurewa 22,,"Manurewa Scout Hall, 23 Alfriston Road",3,1,2,3,0,80,1,22,5,5,0,1,0,0,0,2,0,125,1
Manurewa 22,Ōtara,"Te Puke o Tara Community Hall, 20 Newbury Street",0,0,0,2,0,19,0,4,0,0,0,1,0,0,0,0,0,26,1
Manurewa 22,Papatoetoe,"Holy Cross Church School Hall, 21 Carruth Road",24,5,1,37,0,713,2,237,22,31,0,2,0,0,0,4,1,1079,17
Manurewa 22,,"Hunters Plaza Shopping Centre, Pop Up Shop, 217 Great South Road",8,3,2,20,0,809,4,138,4,20,0,1,0,1,2,4,5,1021,14
Manurewa 22,,"Papatoetoe Central Primary School, Corner Great South Road & Saint George Street",1,0,0,1,0,24,0,7,0,0,0,0,0,0,0,0,0,33,3
Manurewa 22,,"Papatoetoe East Primary School, 138 Tui Road",0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,11,2
Manurewa 22,,"Papatoetoe South School, 58 Milan Road",6,2,0,10,0,201,1,39,0,7,0,0,0,0,0,4,0,270,5
Manurewa 22,,"Papatoetoe Town Hall, 35 Saint George Street",32,3,4,45,0,1154,8,179,24,42,0,2,1,2,1,3,6,1506,20
Manurewa 22,,"Papatoetoe West School, 1-3 Hillcrest Road",4,1,0,9,0,186,0,19,1,3,0,3,0,0,0,1,0,227,3
Manurewa 22,,"Puhinui Primary School Hall, 116 Puhinui Road",5,1,0,6,0,204,1,46,3,6,0,3,0,0,0,0,0,275,3
Manurewa 22,Takanini,"Gateway Shopping Centre, Shop C1, Corner Great South Road & Manuroa Road",1,0,0,2,0,21,0,6,2,1,0,0,0,0,0,0,0,33,0
Manurewa 22,Wattle Downs,"Clayton Park School Hall, Wattle Farm Road entrance",0,0,1,1,0,12,0,4,1,0,0,0,0,0,0,0,0,19,0
Manurewa 22,Weymouth,"Weymouth Community Hall, 11 Beihlers Road",38,5,7,35,0,725,4,152,18,36,1,1,0,0,2,7,3,1034,6
Manurewa 22,Chapel Downs,"Chapel Downs Primary School, 170 Dawson Road",0,0,0,1,0,5,0,2,0,1,0,0,0,0,0,0,0,9,1
Manurewa 22,Clendon Park,"Roscommon School Hall, 23 Burundi Avenue",4,4,1,9,0,204,4,16,8,8,0,2,0,0,0,0,1,261,1
Manurewa 22,,"St Elizabeth's Anglican Church Hall, 182 Finlayson Avenue",0,3,1,4,0,109,2,14,9,3,0,0,0,0,0,0,2,147,4
Manurewa 22,,"Te Matauranga School Hall, 206 Finlayson Avenue",3,1,1,6,0,214,4,23,5,7,0,1,0,0,0,1,2,268,5
Manurewa 22,Clover Park,"Redoubt North Wesleyan Methodist Church, 51 Diorella Drive",0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,7,0
Manurewa 22,Flat Bush,"Dawson Primary School, 15 Haumia Way",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,1
Manurewa 22,Goodwood Heights,"Everglade School Hall, 64 Everglade Drive",1,2,0,2,0,25,0,7,3,1,0,0,0,0,0,0,0,41,0
Manurewa 22,Māngere,"EFKS Magele i Sisifo Congregational Church, 43 Thomas Road",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,7,0
Manurewa 22,,"Māngere Arts & Events Centre, Corner Orly Avenue & Bader Drive",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0
Manurewa 22,,"Nga Iwi School, 60 Mascot Avenue",0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,11,0
Manurewa 22,Manukau,"Westfield Manukau Mall (Shop), Corner Great South & Manukau Station Roads",3,0,0,10,0,84,2,41,3,2,0,0,0,0,1,2,0,148,1
Manurewa 22,,"Wiri Community Hall, 15 Inverell Avenue",2,4,0,7,0,139,0,11,5,12,0,3,0,0,0,0,1,184,1
Manurewa 22,Manurewa,"Clendon Park School Hall, 145 Rowandale Avenue",0,2,3,3,0,133,0,23,5,4,0,0,0,0,0,1,0,174,1
Manurewa 22,,"Finlayson Park School Hall, 87 John Walker Drive",2,2,0,4,0,286,5,24,2,11,0,1,0,0,0,1,4,342,7
Manurewa 22,,"Hillpark School Hall, 57 Grande Vue Road",32,5,3,34,0,337,6,206,21,35,1,2,1,1,4,14,5,707,4
Manurewa 22,,"Homai Primary School Hall, 89 Browns Road",4,3,1,8,0,151,1,28,6,5,0,0,0,0,1,2,3,213,5
Manurewa 22,,"James Cook High School Hall, 12 Dr Pickering Avenue",4,3,0,5,0,140,3,16,6,6,0,0,0,0,0,2,0,185,0
Manurewa 22,,"Manurewa South School Hall, 39 Tawa Crescent",0,0,2,0,0,21,0,3,1,1,0,1,0,0,0,0,0,29,0
Manurewa 22,,"Rowandale School Hall, 73 Rowandale Avenue",8,5,1,5,0,196,1,37,5,9,0,0,1,0,0,2,1,271,5
Manurewa 22,,"St Anne's Catholic Church, 126 Russell Road",3,4,0,8,0,220,4,36,5,16,0,0,0,0,0,1,3,300,3
Manurewa 22,,"St Luke's Anglican Church Hall, 3 Russell Road",2,1,1,7,1,155,7,30,3,10,0,1,0,0,1,2,1,222,1
Manurewa 22,Manurewa East,"Alfriston College, KTK Foyer, Alfriston Road entrance",1,0,0,3,0,15,0,6,3,1,0,1,0,0,0,0,3,33,0
Manurewa 22,,"Manurewa East School Hall, 10 Scotts Road",1,0,0,2,0,13,0,4,0,1,0,0,0,0,0,1,0,22,0
Manurewa 22,Ōtara,"Te Puke o Tara Community Hall, 20 Newbury Street",0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,8,0
Manurewa 22,Papatoetoe,"Aorere College, 2 Selfs Road",1,2,0,3,0,61,0,14,1,7,0,1,0,0,0,0,0,90,1
Manurewa 22,,"Holy Cross Church School Hall, 21 Carruth Road",10,2,0,8,0,170,0,56,6,4,1,1,0,1,1,1,1,262,4
Manurewa 22,,"Hunters Plaza Shopping Centre, Pop Up Shop, 217 Great South Road",2,0,0,1,0,77,1,21,0,0,0,0,0,0,0,0,1,103,2
Manurewa 22,,"Papatoetoe Central Primary School, Corner Great South Road & Saint George Street",0,1,0,1,0,30,0,6,0,2,0,0,0,0,0,1,0,41,2
Manurewa 22,,"Papatoetoe East Primary School, 138 Tui Road",0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,7,0
Manurewa 22,,"Papatoetoe High School, 19 Nicholson Avenue",2,0,0,5,0,49,2,12,0,3,1,0,0,0,2,0,0,76,4
Manurewa 22,,"Papatoetoe South School, 58 Milan Road",5,2,0,9,2,173,3,37,2,12,0,0,0,0,0,3,2,250,4
Manurewa 22,,"Papatoetoe Town Hall, 35 Saint George Street",4,0,0,9,0,131,1,20,3,8,1,0,0,0,0,4,0,181,2
Manurewa 22,,"Papatoetoe West School, 1-3 Hillcrest Road",5,0,0,5,0,152,3,40,4,17,0,1,0,0,0,0,0,227,6
Manurewa 22,,"Puhinui Primary School Hall, 116 Puhinui Road",15,5,1,4,0,197,1,66,4,12,0,0,0,0,0,2,1,308,3
Manurewa 22,,"Wesley Methodist Church Hall, 37 Kolmar Road",0,0,0,0,0,9,0,3,0,1,0,1,0,0,0,0,0,14,0
Manurewa 22,Takanini,"Takanini School Hall, Old Park Place entrance",0,1,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,9,0
Manurewa 22,Wattle Downs,"Clayton Park School Hall, Wattle Farm Road entrance",0,0,1,1,0,17,0,5,5,0,0,0,0,0,0,0,0,29,2
Manurewa 22,Weymouth,"Weymouth Community Hall, 11 Beihlers Road",2,0,0,3,0,77,1,12,1,4,0,0,0,0,0,1,1,102,2
Manurewa 22,,"Weymouth Primary School Hall, 23 Evans Road",7,3,0,6,0,111,6,42,5,12,0,2,0,0,0,0,0,194,1
Manurewa 22,Wiri,"Vodafone Events Centre, 770 Great South Road",0,0,0,0,0,33,0,14,1,1,0,0,0,0,1,0,0,50,0
Manurewa 22,Non-place,Overseas Special Votes Including Defence Force - Manurewa,3,10,0,35,0,237,2,36,8,6,0,0,0,0,0,4,8,349,1
Manurewa 22,Non-place,Overseas Votes Allowed for Party Only - Manurewa,0,0,0,0,0,10,0,1,0,1,0,0,0,0,0,0,0,12,0
Manurewa 22,Non-place,Special Votes BEFORE Polling Day - Manurewa,46,44,38,116,2,3266,45,456,53,94,2,11,0,4,4,17,27,4225,98
