Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Mt Albert 24,Auckland City,"Aotea Centre, Limelight Rooms, 50 Mayoral Drive, Auckland CBD",5,0,0,49,0,31,2,11,0,2,0,0,0,2,0,3,0,105,0
Mt Albert 24,,"ASB Waterfront Theatre, 138 Halsey Street",5,0,0,12,0,24,0,16,0,1,0,0,0,0,0,5,0,63,0
Mt Albert 24,,"Liston Hall, 30-32 Hobson Street",4,0,1,24,0,38,0,27,1,1,0,0,0,0,0,4,0,100,0
Mt Albert 24,,"Pioneer Women's Hall, Ellen Melville Centre, 2 Freyberg Place",18,0,0,84,0,68,1,46,0,3,0,0,0,0,0,8,0,228,0
Mt Albert 24,,"Rosebank Peninsula Church, 212 Rosebank Road (corner Orchard Street)",3,0,0,4,0,3,0,2,2,0,0,0,0,0,0,0,0,14,0
Mt Albert 24,Balmoral,"Mt Eden War Memorial Hall, 487-489 Dominion Road",62,3,2,214,0,607,3,224,4,19,0,1,0,0,5,27,1,1172,5
Mt Albert 24,Grey Lynn,"Grey Lynn Community Centre, 510 Richmond Road",177,9,2,761,1,1425,11,475,11,41,2,1,0,0,0,67,0,2983,12
Mt Albert 24,,"Grey Lynn Library Hall, 474 Great North Road",98,7,2,701,0,1128,16,281,6,34,1,0,0,0,0,57,0,2331,17
Mt Albert 24,,"Newton Central School, 15-19 Monmouth Street",2,0,0,28,0,27,0,7,0,1,0,0,0,0,0,4,0,69,0
Mt Albert 24,,"Richmond Road School, 113 Richmond Road",11,0,0,63,0,88,0,44,0,2,0,0,0,0,0,8,0,216,0
Mt Albert 24,Herne Bay,"Bayfield School, 2 Clifton Road",8,0,0,21,0,37,1,29,0,0,0,0,0,0,0,3,0,99,0
Mt Albert 24,Kingsland,"Congregational Christian Church of Samoa, 50 Bond Street",31,2,0,223,0,350,6,110,2,11,0,0,0,2,0,20,0,757,1
Mt Albert 24,,"Kowhai Intermediate School, 26 Onslow Road",26,0,1,128,0,167,1,39,1,7,0,0,0,0,0,16,0,386,1
