Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Kelston 19,Auckland City,"Pioneer Women's Hall, Ellen Melville Centre, 2 Freyberg Place",1,0,0,13,0,19,1,7,0,0,0,0,0,0,0,2,0,43,0
Kelston 19,Avondale,"Avondale Community Centre, 99 Rosebank Road",32,4,2,71,0,689,4,147,16,24,0,1,0,0,3,10,1,1004,7
Kelston 19,,"Avondale Intermediate School, 12 Holly Street",10,0,0,35,0,128,1,44,1,4,0,0,0,0,0,4,0,227,2
Kelston 19,,"Avondale Primary School, 4 Crayford Street West",0,0,0,1,0,14,0,1,1,0,0,0,0,0,0,0,0,17,0
Kelston 19,,"Rosebank Peninsula Church, 212 Rosebank Road (corner Orchard Street)",22,9,1,103,0,741,9,125,24,32,0,2,0,0,5,7,1,1081,14
Kelston 19,,"Rosebank School, 217 Rosebank Road",1,0,0,13,0,75,0,14,1,1,0,3,0,0,0,3,0,111,0
Kelston 19,Glendene,"Glendene School, 60 Barrys Road",7,2,1,15,0,181,0,30,2,5,0,1,1,0,0,3,0,248,1
Kelston 19,Glen Eden,"Glen Eden Primary School, 3 Glenview Road",4,1,2,32,0,185,1,48,3,2,0,0,0,0,0,5,1,284,3
Kelston 19,,"Konini School, 44 Withers Road",23,5,1,64,0,232,2,61,8,8,0,1,0,0,0,5,0,410,1
Kelston 19,,"Methodist Centre of the West, 302 West Coast Road",42,14,2,68,0,581,6,155,23,19,0,2,0,2,0,6,1,921,10
Kelston 19,,"Our Lady of Lourdes Catholic Church, 7 Glendale Road",156,26,9,295,0,1867,16,532,37,99,1,9,0,1,3,25,2,3078,25
Kelston 19,,"Prospect School, 76 Rosier Road",27,3,2,44,0,324,1,76,4,13,0,1,0,0,0,6,0,501,3
Kelston 19,Henderson,"Holy Cross Catholic School, 8 Lavelle Road",1,3,0,4,0,29,1,16,0,0,0,0,0,0,1,1,0,56,0
Kelston 19,,"Te Pai Centre Waitākere Netball, 31-35 Te Pai Place",10,0,1,13,0,79,1,25,1,4,0,0,0,0,0,2,0,136,0
Kelston 19,,"Waitākere Central Library, 3 Ratanui Street",8,3,1,31,0,175,1,42,5,6,1,0,0,1,1,0,0,275,4
Kelston 19,,"West City Mall, Level 1 (former Life Pharmacy shop), 7 Catherine Street",75,7,5,86,0,1315,11,324,27,36,0,7,1,1,6,10,0,1911,25
Kelston 19,Kelston,"Grace Community Church, 28 Rimu Street",106,24,9,185,0,1760,4,501,34,65,1,6,1,0,10,22,3,2731,28
Kelston 19,,"Kelston Boys' High School, Corner Archibald & St Leonards Roads",2,0,0,4,0,81,0,10,1,1,0,0,0,0,2,0,0,101,1
Kelston 19,,"Kelston Girls' College, 1 Archibald Road",16,3,2,17,0,249,1,58,4,4,0,3,0,0,2,3,0,362,5
Kelston 19,,"St Leonards Road School, 15 St Leonards Road",8,4,0,15,0,208,0,48,2,12,0,1,0,0,0,0,0,298,2
Kelston 19,Massey,"Massey Community Hub Massey Matters, Massey West, 385 Don Buck Road",0,0,0,3,0,7,0,4,0,0,0,0,0,0,0,0,0,14,0
Kelston 19,,"Massey High School, Massey West, 274 Don Buck Road",1,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,14,0
Kelston 19,,"Westgate Shopping Centre, Shop F18 (former Sierra Cafe), 6 Maki Street",2,2,0,3,0,39,0,7,0,0,1,0,0,0,0,2,0,56,2
Kelston 19,Mt Albert,"UNITEC, Te Puna, Building 180, 139 Carrington Road",1,0,0,16,0,31,0,9,1,0,0,0,0,0,0,0,0,58,0
Kelston 19,New Lynn,"Lynn Mall (former House of Travel shop), 3058 Great North Road",39,5,4,76,0,738,4,226,8,26,0,4,0,0,1,9,0,1140,16
Kelston 19,,"Salvation Army Church Hall, 32 Delta Avenue",11,1,0,24,1,212,2,68,3,5,0,1,0,0,2,1,0,331,3
Kelston 19,Newmarket,"Newmarket Mall, S212, Level 2, 309 Broadway",8,3,1,9,0,47,1,21,1,1,0,1,0,0,0,2,0,95,0
Kelston 19,Point Chevalier,"Church@onetwosix Hall, 126 Point Chevalier Road",3,0,0,4,0,36,0,4,0,2,0,1,0,0,0,2,0,52,0
Kelston 19,Sunnyvale,"Kelston Community Centre, 126 Awaroa Road",123,23,13,188,0,1842,10,489,38,81,0,16,0,1,3,22,2,2851,39
Kelston 19,,"Sunnyvale Primary School, 34 Ribblesdale Road",11,2,1,8,0,98,0,21,4,1,1,0,1,1,1,3,0,153,1
Kelston 19,Te Atatū South,"Tirimoana School, 34 Kokiri Street",5,1,0,3,0,20,0,11,0,2,0,0,0,0,0,0,0,42,0
Kelston 19,Titirangi,"Glen Eden Intermediate School, 23 Kaurilands Road",10,0,0,20,0,59,1,25,0,0,0,0,0,0,0,0,0,115,0
Kelston 19,,"Kaurilands School, 109 Atkinson Road",7,0,0,23,0,73,1,42,1,2,0,0,0,0,0,1,0,150,0
