Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Wairarapa 58,Non-place,Mobile AVP1,24,3,0,13,0,144,1,97,3,17,1,1,0,0,0,4,0,308,0
Wairarapa 58,Carterton,"Carterton Memorial Club, 35-37 Broadway",45,2,3,30,0,272,0,200,4,38,2,4,0,0,0,6,0,606,6
Wairarapa 58,,"Carterton School Hall, Corner Holloway & Dixon Streets",20,1,2,11,0,132,0,57,3,6,0,1,0,0,0,2,0,235,1
Wairarapa 58,,"'Number 23' Gallery, 23 Holloway Street (opposite Carterton District Council)",186,16,3,179,0,1266,1,536,27,84,2,5,0,1,0,31,0,2337,14
Wairarapa 58,,"South End School Hall, 275 High Street South",24,0,0,5,0,129,1,43,3,4,0,0,1,0,0,1,0,211,1
Wairarapa 58,Dannevirke,"Dannevirke South School Hall, Corner Stairs & Hunter Streets",14,3,2,6,0,74,0,48,0,5,0,0,0,0,0,2,0,154,3
Wairarapa 58,,"Dannevirke Sports Club Lounge, 298 High Street",17,0,0,4,0,49,0,28,1,5,0,0,0,0,0,1,0,105,2
Wairarapa 58,,"The Hub (access from Allardice Street carpark), 23 Gordon Street",302,37,5,58,0,1321,7,991,58,103,2,3,0,0,0,20,0,2907,17
Wairarapa 58,Eketāhuna,"Eketāhuna Community Centre, 4 Haswell Street",41,3,1,17,0,137,2,100,3,20,0,0,0,0,0,1,0,325,4
Wairarapa 58,Featherston,"Anzac Hall Supper Room, 62-64 Bell Street",85,14,3,120,0,644,4,191,17,47,1,2,0,1,0,15,0,1144,7
Wairarapa 58,,"Featherston School Hall, Corner Lyons & Revans Streets",12,3,0,17,0,149,0,38,6,4,0,1,0,0,0,4,0,234,1
Wairarapa 58,Gladstone,"Gladstone School Hall, Te Whiti Road",3,0,0,4,0,27,0,24,0,2,0,0,0,0,0,0,0,60,0
Wairarapa 58,Greytown,"Greytown School Hall, 73 East Street",11,1,1,11,0,84,0,25,1,2,0,0,0,0,0,0,0,136,1
Wairarapa 58,,"Greytown Town Centre, The Forum, 89-91 Main Street",172,8,0,160,0,870,1,474,13,36,4,3,0,0,0,25,0,1766,11
Wairarapa 58,,"Kuranui College Student Centre, Bidwells Cutting Road",4,0,0,0,0,17,0,13,1,0,0,0,0,0,0,0,0,35,0
Wairarapa 58,Martinborough,"Martinborough School Hall, 14 Dublin Street",91,6,0,65,0,417,1,217,3,13,1,0,0,0,0,5,0,819,3
Wairarapa 58,,"Saint Andrew's Church Hall, 41 Dublin Street",79,5,1,49,0,256,1,226,0,20,0,1,0,0,0,13,0,651,4
Wairarapa 58,Masterton,"38 Queen Street, between ASB and the Library, 38 Queen Street",290,25,6,202,1,1863,8,1058,42,125,3,13,1,0,0,34,2,3673,20
Wairarapa 58,,"Fernridge School Hall, 264 Upper Plain Road",18,1,0,19,0,107,0,87,2,4,0,0,0,0,0,1,0,239,1
Wairarapa 58,,"Lakeview School Hall, Corner Te Ore Ore & Colombo Roads",23,3,2,18,0,206,1,92,4,8,0,1,0,0,0,4,0,362,4
Wairarapa 58,,"Masterton Intermediate School Hall, 38 Intermediate Street",29,6,0,23,0,277,0,109,4,21,1,3,0,0,0,4,0,477,3
Wairarapa 58,,"REAP 'The Spot', opposite The Warehouse, 367 Queen Street",142,19,7,115,0,1262,7,456,26,68,1,12,0,0,0,29,1,2145,11
