Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
North Shore 30,Albany,"Westfield Mall, 219 Don McKinnon Drive",36,0,1,34,0,190,0,141,1,6,1,0,0,0,2,6,0,418,2
North Shore 30,Auckland City,"Aotea Centre, Limelight Rooms, 50 Mayoral Drive, Auckland CBD",1,0,0,6,0,18,0,7,0,1,0,0,0,0,0,0,0,33,0
North Shore 30,,"ASB Waterfront Theatre, 138 Halsey Street",6,0,0,7,0,11,0,13,0,0,0,0,0,0,0,2,0,39,0
North Shore 30,,"Liston Hall, 30-32 Hobson Street",8,0,0,7,0,12,0,14,0,0,0,0,0,0,0,4,0,45,0
North Shore 30,,"Pioneer Women's Hall, Ellen Melville Centre, 2 Freyberg Place",10,0,0,19,0,38,1,27,1,0,0,0,0,0,0,6,0,102,0
North Shore 30,Bayswater,"Bayswater School, 181 Bayswater Avenue",53,1,1,75,0,327,0,170,3,10,1,0,0,0,0,12,0,653,3
North Shore 30,Belmont,"Belmont Intermediate School, 10 Winscombe Street (Gate 2)",31,3,0,40,0,163,0,118,8,5,0,1,0,0,0,4,0,373,0
North Shore 30,Browns Bay,"East Coast Bays Service Centre, 2 Glen Road",6,2,1,8,0,34,0,37,2,5,0,0,0,0,0,2,0,97,1
North Shore 30,Campbells Bay,"Campbells Bay School, 77 Aberdeen Road",45,0,0,42,0,169,0,192,7,4,0,1,0,2,4,2,0,468,1
North Shore 30,Devonport,"North Shore Rugby Club, Cambridge Terrace",366,31,4,507,0,2047,5,992,29,77,2,1,1,2,1,78,0,4143,12
North Shore 30,Forrest Hill,"Forrest Hill Presbyterian Church Hall, 151 Forrest Hill Road",29,2,1,15,0,146,2,105,13,2,0,0,0,0,3,7,0,325,0
North Shore 30,,"Westlake Boys High School, 30 Forrest Hill Road",15,0,0,16,0,59,0,39,4,1,0,0,0,1,0,4,0,139,3
North Shore 30,,"Meadowood Community House, Unsworth Heights, 55 Meadowood Drive",4,1,1,2,0,26,0,21,4,3,0,0,0,0,0,1,0,63,1
North Shore 30,,"St Thomas More Catholic Church Hall, Glenfield, 4 St Thomas More Lane",3,1,1,2,0,16,1,10,3,1,0,0,0,0,0,4,0,42,0
North Shore 30,,"The Salvation Army Glenfield, 430 Glenfield Road (corner Glenfield & Kaipatiki Roads)",6,2,0,11,0,41,1,22,2,2,0,0,0,0,0,1,0,88,1
North Shore 30,Hauraki,"Hauraki School, 82 Jutland Road",72,0,0,33,0,253,1,162,2,13,0,3,0,1,2,11,0,553,0
North Shore 30,Mairangi Bay,"Mairangi Bay Community Church, 49 Maxwelton Drive",130,6,0,81,0,348,2,497,37,14,0,7,0,0,2,21,0,1145,2
North Shore 30,,"Mairangi Bay Presbyterian Church Hall, 10 Penzance Road",24,2,0,15,0,74,0,79,2,5,0,0,0,0,1,3,0,205,1
North Shore 30,,"Mairangi Bay School, Galaxy Drive",10,0,0,6,0,53,2,43,4,0,0,0,0,0,0,1,0,119,0
North Shore 30,,"Rangitoto College, 564 East Coast Road",59,0,0,40,0,223,1,206,7,8,1,0,0,1,3,11,0,560,3
North Shore 30,,"Windsor Park Baptist Church, 550 East Coast Road",76,2,1,46,0,336,2,291,10,8,1,1,0,0,2,19,1,796,0
North Shore 30,Milford,"Milford School, 34 Shakespeare Road",22,0,1,6,0,78,1,66,1,1,0,1,1,0,2,1,0,181,2
North Shore 30,,"Milford Shopping Centre, Shop next to Whitcoulls, 24 Milford Road",810,42,7,428,0,2894,10,3199,73,136,1,5,0,5,7,92,3,7712,30
North Shore 30,Murrays Bay,"Murrays Bay Intermediate School, 37 Sunrise Avenue",16,0,0,6,0,35,0,42,3,1,0,0,0,0,0,2,0,105,1
North Shore 30,N/A,"Rest Homes-Taken in North Shore, N/A",1,1,0,2,0,19,0,24,0,2,0,0,0,0,0,0,0,49,2
North Shore 30,Narrow Neck,"Vauxhall School, Morrison Avenue",43,1,0,48,0,193,1,74,2,8,1,1,0,0,0,9,0,381,1
North Shore 30,Newmarket,"Newmarket Mall, S212, Level 2, 309 Broadway",10,0,0,8,0,35,0,30,0,0,0,0,0,0,1,1,0,85,1
North Shore 30,Northcote,"AUT North Campus, AF113A, 90 Akoranga Drive",6,1,0,15,0,46,1,30,1,1,0,0,0,0,0,1,0,102,0
North Shore 30,,"Northcote Citizens Centre Hall, Corner Ernie Mays Street & College Road",14,0,0,7,0,98,0,87,6,2,0,0,0,0,7,4,0,225,5
North Shore 30,Ponsonby,"All Saints Anglican Church, 284 Ponsonby Road",4,0,0,5,0,23,0,9,0,0,0,0,0,0,0,1,0,42,1
North Shore 30,Stanley Bay,"Stanley Bay School, 15 Russell Street",8,0,0,20,0,100,0,35,0,2,0,0,0,0,0,3,0,168,0
North Shore 30,Sunnynook,"Sunnynook Baptist Church, 138 Sunnynook Road",85,11,1,78,1,651,3,447,33,25,1,1,1,1,9,20,0,1368,11
North Shore 30,,"Sunnynook School, 27 Lyford Crescent",23,2,1,22,0,142,1,97,5,0,0,0,0,1,0,3,0,297,0
North Shore 30,,"Wairau Intermediate School, 113 Becroft Drive",33,2,0,27,0,224,0,173,5,10,0,0,0,1,0,5,0,480,3
North Shore 30,Takapuna,"St Joseph's School, 10 Dominion Street",19,0,0,20,0,105,0,82,4,7,0,0,0,0,0,2,0,239,1
North Shore 30,,"Takapuna School, 23 Auburn Street (access from Anzac Street entrance)",37,0,0,13,0,105,1,108,6,2,0,0,0,1,2,2,0,277,3
North Shore 30,,"Takapuna War Memorial Hall, 7 The Strand",400,7,4,334,0,1290,6,1117,14,63,0,0,0,4,1,65,0,3305,16
North Shore 30,Albany,"Westfield Mall, 219 Don McKinnon Drive",3,0,0,3,0,21,0,25,0,1,0,0,0,0,0,1,0,54,0
North Shore 30,Bayswater,"Bayswater School, 181 Bayswater Avenue",86,9,0,57,0,289,2,199,12,21,0,0,0,1,0,17,0,693,3
North Shore 30,Belmont,"Belmont Intermediate School, 10 Winscombe Street (Gate 2)",29,1,0,28,0,141,0,111,9,12,0,1,0,1,0,11,0,344,1
North Shore 30,Browns Bay,"East Coast Bays Service Centre, 2 Glen Road",2,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,16,0
North Shore 30,,"Progress Hall, 6 Anzac Road",1,0,0,2,0,3,0,4,0,0,0,0,0,0,0,0,0,10,0
North Shore 30,Campbells Bay,"Campbells Bay School, 77 Aberdeen Road",86,3,0,36,0,145,2,279,3,13,0,0,0,0,2,13,0,582,0
North Shore 30,Castor Bay,"Milford Bowling Club, 20 Commodore Parry Road",49,0,0,10,0,109,0,178,5,15,0,0,0,1,1,8,2,378,1
North Shore 30,Devonport,"Devonport Community House, 32 Clarence Street",74,3,1,89,0,305,1,192,5,14,2,0,0,0,0,15,0,701,1
North Shore 30,,"Devonport Yacht Club, 25 King Edward Parade",61,3,2,57,0,207,2,137,3,15,0,0,0,1,0,10,0,498,0
North Shore 30,Forrest Hill,"Forrest Hill Presbyterian Church Hall, 151 Forrest Hill Road",46,5,0,19,0,194,2,223,17,9,1,2,0,0,1,12,0,531,2
North Shore 30,,"Shore Vineyard Church, 2/252 Forrest Hill Road",14,1,0,5,0,36,0,35,2,0,0,0,0,0,0,0,0,93,1
North Shore 30,,"Westlake Boys High School, 30 Forrest Hill Road",35,1,0,17,0,93,0,96,4,4,0,0,0,0,3,3,0,256,1
North Shore 30,,"Meadowood Community House, Unsworth Heights, 55 Meadowood Drive",1,0,0,2,0,5,0,8,1,2,0,0,0,0,0,1,0,20,0
North Shore 30,,"Target Road Primary School, Totara Vale, 80 Target Road",3,0,0,1,0,11,0,5,1,0,0,0,0,0,0,0,0,21,0
North Shore 30,,"The Salvation Army Glenfield, 430 Glenfield Road (corner Glenfield & Kaipatiki Roads)",0,0,0,1,0,4,0,2,0,1,1,0,0,0,0,0,0,9,0
North Shore 30,,"Wairau Valley Special School, Glenfield, 102 Hillside Road",1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,6,0
North Shore 30,Hauraki,"Hauraki School, 82 Jutland Road",27,1,1,26,0,151,1,110,0,2,0,0,0,0,0,6,0,325,1
North Shore 30,,"Takapuna Bible Chapel Hall, 13 Jutland Road",63,1,4,40,0,223,2,212,7,12,0,0,0,0,2,9,0,575,2
North Shore 30,Mairangi Bay,"Mairangi Bay Presbyterian Church Hall, 10 Penzance Road",44,4,0,12,0,113,0,232,3,12,0,0,0,0,0,6,0,426,0
North Shore 30,,"Mairangi Bay School, Galaxy Drive",31,1,0,16,0,114,0,129,4,11,0,0,0,0,0,7,1,314,0
North Shore 30,,"Rangitoto College, 564 East Coast Road",9,1,0,3,0,31,0,19,4,2,0,0,0,0,2,1,0,72,0
North Shore 30,,"Windsor Park Baptist Church, 550 East Coast Road",15,0,1,6,0,57,1,45,6,4,0,0,0,0,0,5,0,140,0
North Shore 30,Milford,"Milford Baptist Church Hall, 3 Dodson Avenue",63,2,1,20,0,149,1,187,15,11,0,0,0,0,0,7,0,456,0
North Shore 30,,"Milford School, 34 Shakespeare Road",83,3,0,38,0,231,2,292,6,21,0,1,0,1,0,14,0,692,1
North Shore 30,Murrays Bay,"Murrays Bay Intermediate School, 37 Sunrise Avenue",8,1,0,4,0,30,0,35,5,1,0,0,0,0,0,2,0,86,0
North Shore 30,Narrow Neck,"Vauxhall School, Morrison Avenue",47,5,0,52,0,205,5,137,1,10,0,1,0,1,0,16,0,480,0
North Shore 30,Newmarket,"Newmarket Mall, S212, Level 2, 309 Broadway",2,0,0,5,0,5,0,1,0,0,0,0,0,0,0,0,0,13,0
North Shore 30,Northcote,"Northbridge Retirement Village Hall, 45 Akoranga Drive",4,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,11,0
North Shore 30,,"Northcote Intermediate, 145 Lake Road",2,0,0,1,0,3,0,2,0,2,0,0,0,0,0,0,0,10,0
North Shore 30,Stanley Bay,"Stanley Bay School, 15 Russell Street",24,0,0,33,0,124,0,71,0,6,0,0,0,0,0,5,0,263,1
North Shore 30,Sunnynook,"Sunnynook Baptist Church, 138 Sunnynook Road",13,1,1,10,0,82,1,62,7,7,0,0,0,0,0,1,0,185,2
North Shore 30,,"Sunnynook School, 27 Lyford Crescent",20,1,1,12,0,103,1,81,1,6,1,0,0,1,1,5,0,234,1
North Shore 30,,"Wairau Intermediate School, 113 Becroft Drive",47,1,0,19,0,162,2,143,11,10,0,0,0,0,0,6,0,401,2
North Shore 30,Takapuna,"St Joseph's School, 10 Dominion Street",12,1,0,12,0,68,1,56,2,7,0,0,0,0,0,6,0,165,0
North Shore 30,,"Takapuna School, 23 Auburn Street (access from Anzac Street entrance)",36,1,2,17,0,117,3,165,2,11,0,0,0,1,2,11,0,368,2
North Shore 30,,"Takapuna War Memorial Hall, 7 The Strand",56,4,0,30,0,122,2,139,4,12,0,0,0,2,3,13,0,387,1
North Shore 30,Non-place,Overseas Special Votes Including Defence Force - North Shore,93,14,1,291,0,736,1,292,13,11,3,0,0,2,0,47,0,1504,1
North Shore 30,Non-place,Overseas Votes Allowed for Party Only - North Shore,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0
North Shore 30,Non-place,Special Votes BEFORE Polling Day - North Shore,260,18,11,334,0,1446,8,984,37,61,5,5,0,3,12,76,0,3260,26
North Shore 30,Non-place,Special Votes ON Polling Day - North Shore,186,18,12,157,0,893,14,630,23,37,4,0,2,3,2,54,0,2035,18
North Shore 30,Non-place,Votes Allowed for Party Only - North Shore,14,6,3,10,0,124,8,66,6,14,0,0,0,0,0,7,0,258,3
North Shore 30,Non-place,Voting places where less than 6 votes were taken,1,0,0,4,0,12,0,6,0,0,0,0,0,0,0,0,0,23,0
North Shore 30,Non-place,North Shore Total,4172,230,66,3530,1,17498,104,14411,511,802,26,32,5,38,80,806,7,42319,178
