Party and Electorate Candidate Votes Recorded at each Voting Place
Whanganui 62,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Whenuakura,"Whenuakura School, 52 Kaharoa Road",8,3,1,0,0,8,2,35,0,2,0,0,0,0,0,0,0,59,0

,Overseas Special Votes Including Defence Force - Whanganui,17,10,1,82,0,290,7,79,11,9,0,1,2,2,0,15,0,526,0
,Overseas Votes Allowed for Party Only - Whanganui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Special Votes BEFORE Polling Day - Whanganui,143,35,31,192,2,1497,11,558,43,82,5,7,3,2,0,41,2,2654,23
,Special Votes ON Polling Day - Whanganui,119,49,35,80,0,827,14,383,38,59,5,13,0,1,1,18,1,1643,8
,Votes Allowed for Party Only - Whanganui,12,10,10,11,0,149,10,45,3,4,0,1,0,0,0,2,0,257,6
,Voting places where less than 6 votes were taken,3,0,0,2,0,5,0,2,0,0,0,1,0,0,0,0,0,13,0

,Whanganui Total,3260,531,198,2004,2,21228,222,10828,690,1368,43,189,63,24,5,390,10,41055,253

,Valid Party Votes plus Informal Party Votes,,41308

Electorate Party Valid Votes,,,Labour Party - 51.71%
ACT New Zealand,3260,7.94
Advance NZ,531,1.29
Aotearoa Legalise Cannabis Party,198,0.48
Green Party,2004,4.88
HeartlandNZ,2,0.00
Labour Party,21228,51.71
Māori Party,222,0.54
National Party,10828,26.37
New Conservative,690,1.68
New Zealand First Party,1368,3.33
NZ Outdoors Party,43,0.10
ONE Party,189,0.46
Social Credit,63,0.15
Sustainable New Zealand Party,24,0.06
TEA Party,5,0.01
The Opportunities Party (TOP),390,0.95
Vision New Zealand,10,0.02
