Party and Electorate Candidate Votes Recorded at each Voting Place
Hutt South 14,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,Valid Party Votes plus Informal Party Votes,,45880

Electorate Party Valid Votes,,,Labour Party - 55.14%
ACT New Zealand,2568,5.63
Advance NZ,309,0.68
Aotearoa Legalise Cannabis Party,112,0.25
Green Party,4301,9.43
HeartlandNZ,3,0.01
Labour Party,25159,55.14
Māori Party,201,0.44
National Party,10033,21.99
New Conservative,528,1.16
New Zealand First Party,1071,2.35
NZ Outdoors Party,38,0.08
ONE Party,201,0.44
Social Credit,9,0.02
Sustainable New Zealand Party,30,0.07
TEA Party,25,0.05
The Opportunities Party (TOP),986,2.16
Vision New Zealand,51,0.11
