Party and Electorate Candidate Votes Recorded at each Voting Place
Taupō 51,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Marotiri,"Marotiri School and Community Hall, 1569 State Highway 32",13,3,0,1,0,27,0,89,2,3,0,0,1,0,0,5,0,144,1
Matamata,"Matamata-Piako Civic and Memorial Centre, 11 Tainui Street",1,1,0,0,0,5,0,4,2,0,0,0,0,0,0,1,0,14,0
Motuoapa,"Motuoapa Fishing and Boating Association, 2 Arataha Street",12,0,0,2,0,25,0,47,0,7,2,0,0,0,0,0,0,95,0
Omori,"Omori Community Hall, 220 Omori Road",13,3,1,1,0,26,0,32,0,0,0,0,0,0,0,0,0,76,0
Puketurua,"Puketurua Hall, Corner Old Taupo, Huihuitaha & Pearson Roads",19,0,0,0,0,16,1,47,14,3,0,0,0,0,0,1,0,101,0
Putāruru,"Putaruru Baptist Church Hall, 52 Arapuni Street",21,11,3,3,0,90,0,53,5,10,0,2,0,0,0,3,0,201,0
,"Te Wharekura o Te Kaokaoroa o Pātetere, Charles Crescent",2,0,0,0,1,6,0,6,0,4,0,1,0,0,0,0,0,20,0
,"The Plaza, 50 Kensington Street",37,4,1,11,0,130,1,105,9,8,1,1,0,0,0,6,0,314,2
Rangitaiki,"Rangitaiki School, 27 Rangitaiki School Road",7,1,0,1,0,10,0,13,2,1,0,0,0,0,0,0,0,35,0
Reporoa,"Mihi School Hall, 76 Springs Road",2,2,0,1,0,5,0,2,2,1,0,0,0,0,0,0,0,15,0
,"Reporoa Settlers Hall, 3834 Broadlands Road",2,0,0,1,0,5,0,6,0,0,0,0,0,0,0,0,0,14,0
Roto-o-Rangi,"Roto-o-Rangi School, 5 Kairangi Road",34,1,1,0,0,39,0,86,3,2,0,0,0,0,0,3,0,169,1
Taupō,"Acacia Bay Community Centre, 1 Wakeman Road",56,9,0,20,0,104,0,164,6,5,0,1,0,0,2,3,0,370,1
,"Hilltop School, 90 Rokino Road",48,4,0,16,0,114,0,134,7,10,1,1,0,0,0,4,0,339,2
,"Mountview School, 31 Rangatira Street",10,3,0,3,0,91,3,36,3,14,1,4,0,0,0,2,0,170,2
,"Nukuhau Marae, 26 Pitiroi St",6,1,1,2,0,43,2,21,0,3,0,0,0,0,0,1,0,80,1
,"St Patricks School, 86 Acacia Bay Road",43,3,2,3,0,112,0,129,5,14,1,2,0,1,0,6,0,321,5
,"Summerset By The Lake, 2 Wharewaka Road",15,0,0,8,0,80,0,62,2,6,0,0,0,0,0,2,0,175,7
,"Tauhara College, 101 Invergarry Road",28,8,0,9,0,111,0,72,2,5,1,1,0,0,0,7,0,244,2
,"Taupō Baptist Church Hall, Corner Rifle Range & Taupo View Roads",54,5,5,20,0,171,2,116,11,14,3,9,1,0,0,7,0,418,4
,"Taupo-nui-a-Tia College, 122 Spa Road",44,4,1,13,0,164,1,119,4,13,2,1,0,0,0,10,0,376,4
,"Taupō Primary School, Corner Tamamutu & Ruapehu Streets",52,3,3,18,0,197,3,170,8,13,3,4,0,1,0,10,1,486,1
,"Taupō Youth Arts Centre, 98 Richmond Avenue",34,2,0,8,0,112,2,84,1,10,0,0,0,0,0,4,0,257,0
,"Waipahihi School, 20 Parata Street",42,1,1,15,0,104,0,85,1,6,2,4,0,0,0,6,0,267,2
