Party and Electorate Candidate Votes Recorded at each Voting Place
Botany 4,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,Valid Party Votes plus Informal Party Votes,,37876

Electorate Party Valid Votes,,,Labour Party - 47.59%
ACT New Zealand,2563,6.81
Advance NZ,159,0.42
Aotearoa Legalise Cannabis Party,76,0.20
Green Party,1236,3.29
HeartlandNZ,5,0.01
Labour Party,17900,47.59
Māori Party,70,0.19
National Party,13970,37.14
New Conservative,536,1.42
New Zealand First Party,541,1.44
NZ Outdoors Party,15,0.04
ONE Party,85,0.23
Social Credit,4,0.01
Sustainable New Zealand Party,26,0.07
TEA Party,152,0.40
The Opportunities Party (TOP),237,0.63
Vision New Zealand,40,0.11
