Party and Electorate Candidate Votes Recorded at each Voting Place
Rotorua 44,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Lake Rotoma,"Rotoma and Rotoehu Community Hall, 167 State Highway 30",12,3,0,2,0,32,0,15,0,5,0,0,0,0,0,1,0,70,0
Lake Tarawera,"Lake Tarawera Community Hall, 475 Spencer Road",11,1,1,2,0,11,0,15,1,1,0,0,0,0,0,1,0,44,2
Lynmore,"Lynmore Primary School Hall, 1 Iles Road",29,2,0,17,0,167,3,135,3,17,0,2,0,0,0,12,1,388,1
,"Lynmore Scout Hall, 53B Lewis Road",19,0,0,12,0,58,0,59,5,6,0,0,0,0,0,6,0,165,0
,"Shop 7 (beside Bin Inn), Redwood Shopping Centre",53,7,0,19,0,137,5,108,5,15,0,0,1,0,1,7,3,361,3
Mamaku,"Mamaku School Hall, 54 Tarena Street",22,4,2,4,0,74,1,68,9,8,0,2,0,0,0,1,0,195,2
Mangakakahi,"Sunset Primary School Hall, 150 Sunset Road",32,5,1,11,0,144,2,78,5,20,0,2,0,0,0,4,1,305,3
,"Te Wānanga o Aotearoa, Waiwhero Campus, 2-20 Depot Street",9,3,1,8,0,40,2,19,2,4,0,1,0,0,0,5,0,94,0
,"Bayfair Shopping Centre (opposite Cotton On, near Countdown), corner Girven & Maunganui Roads",2,1,1,1,0,8,0,9,0,2,0,0,0,0,0,0,0,24,0
Ngakuru,"Ngakuru School Hall, 913 Whirinaki Valley Road",29,5,1,6,0,48,1,93,4,10,1,0,0,0,1,2,0,201,2
Ngapuna,"Hinemihi Marae, 23 Hona Road",1,0,0,0,0,10,1,0,0,0,0,0,0,0,0,1,0,13,0
Ngongotahā,"Ngongotaha Community Hall, 5 School Road",68,8,2,31,0,225,4,203,24,36,1,4,0,0,0,17,0,623,2
,"Waiteti Marae, 28 Waiteti Road",6,0,0,1,0,11,4,3,0,3,0,0,0,0,0,0,0,28,0
Ohauiti,"Ohauiti Settlers Hall, 459 Ohauiti Road",11,3,1,3,0,44,0,74,11,7,0,0,0,0,0,3,0,157,2
Ohinemutu,"Tunohopu Marae, Tunohopu Street",1,2,0,1,0,14,2,3,0,2,0,0,0,0,0,2,0,27,0
Okere Falls,"Whangamarino School, 637 State Highway 33",10,3,0,5,0,33,1,30,2,3,1,0,0,0,0,4,0,92,0
Oropi,"Oropi Memorial Hall and Community Centre, 1295 Oropi Road",4,1,0,3,0,5,0,20,3,2,0,0,1,0,0,4,0,43,0
Owhata,"Rotokawa School Hall, 6 Rotokawa Road",18,0,2,12,0,80,2,61,9,11,0,0,0,1,0,5,0,201,1
,"St Mark's Anglican Church, Corner Sunrise Avenue & Te Ngae Road",15,2,2,5,0,89,1,43,1,7,0,2,0,0,0,0,0,167,0
Ōwhata,"Owhata Primary School Hall, 29-37 Brent Road",11,1,1,5,0,96,1,39,2,11,0,1,0,1,0,2,1,172,1
,"Papamoa Community Centre, 15 Gravatt Road",1,0,0,2,0,11,0,7,0,2,0,0,0,1,0,1,0,25,0
,"Papamoa Plaza, Shop 66 (Near Foodcourt), 7 Gravatt Road",1,0,0,1,0,8,0,6,0,1,0,0,0,0,0,0,0,17,0
,"Papamoa Sport and Recreation Centre, 80 Alice Way",0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,9,0
Pomare,"Westbrook Primary School Hall, 362 Malfroy Road",72,6,2,17,0,285,6,183,19,24,1,2,0,0,0,8,0,625,4
Pukehangi,"Aorangi Primary School Hall, 3 -13 Gem Street",26,3,3,8,0,197,3,74,9,21,2,2,0,0,0,1,4,353,4
,"Pyes Pā School, 978 Pyes Pa Road",27,2,0,1,0,30,0,34,3,5,0,0,0,0,0,1,0,103,0
Reporoa,"Mihi School Hall, 76 Springs Road",10,0,0,0,0,19,0,48,1,4,1,0,0,0,0,0,0,83,0
,"Reporoa Settlers Hall, 3834 Broadlands Road",27,3,2,5,0,40,1,81,5,3,0,3,0,0,0,0,0,170,1
Rerewhakaaitu,"Lake Rerewhakaaitu School Hall, 3 Ash Pit Road",34,0,0,1,0,39,0,71,6,3,1,1,0,0,0,1,0,157,0
Rotoiti Forest,"Te Puna Whakareia Marae, 1278 State Highway 30",3,0,0,1,0,12,1,6,1,4,0,0,0,0,0,2,0,30,0
Rotorua,"Rotorua Central Mall, Shop 3, 1170 Amohau Street",23,2,0,14,0,151,6,72,1,11,0,2,0,0,1,6,2,291,7
,"Rotorua Intermediate School, 83-95 Malfroy Road",9,2,1,4,0,75,0,45,4,4,0,0,0,0,0,0,1,145,1
,"Rotorua Primary School Hall, 1249 Arawa Street",8,0,2,3,0,29,2,17,2,3,0,0,0,0,0,4,1,71,1
,"Shop near Te Manawa, 1271 Tutanekai Street",12,5,1,12,0,73,3,34,1,3,0,2,0,0,0,3,3,152,0
,"St John's Ambulance Hall, 31 Pererika Street",5,1,0,8,0,72,1,38,1,13,0,1,0,0,0,3,0,143,1
Selwyn Heights,"Selwyn Heights Primary School Hall, 17 Old Quarry Road",19,4,1,12,0,173,4,40,6,11,0,1,0,0,0,2,1,274,4
Springfield,"Otonga Primary School Hall, 105 Otonga Road",73,4,3,49,0,289,5,232,21,32,2,1,0,1,0,12,0,724,4
Tauriko,"Tauranga Crossing (ground floor next to H&M), Tauranga Crossing Shopping Centre",0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,9,0
Te Puke,"Fairhaven School Hall, 120 Boucher Avenue",16,1,0,6,0,79,0,68,6,6,0,0,0,0,0,2,0,184,1
,"Te Puke High School Hall, 19 Tui Street",17,3,2,5,0,60,0,49,2,5,0,0,0,0,0,1,0,144,0
,"Te Puke War Memorial Hall, 130 Jellicoe Street",63,8,5,16,0,162,1,208,4,25,0,6,2,0,0,7,1,508,2
Te Ranga,"Te Ranga Hall, 1492 Te Matai Road",17,0,0,0,0,14,0,36,2,3,0,1,0,0,0,0,0,73,0
Upper Ātiamuri,"Upper Atiamuri School, 2613 State Highway 30",10,0,0,1,0,12,0,49,0,2,0,0,0,0,0,1,0,75,0
Utuhina,"Malfroy Primary School Hall, 196 Malfroy Road",19,2,1,8,0,106,3,50,10,14,2,0,0,0,0,6,2,223,5
Waikite Valley,"Waikite Valley School, 1090 Waikite Valley Road",48,0,2,2,0,34,0,91,2,1,0,0,0,0,0,2,0,182,1
Waitangi,"Te Kura Kaupapa Māori o Te Matai, 309 State Highway 2",1,0,0,1,0,8,0,6,0,1,0,0,0,0,0,0,0,17,0
Welcome Bay,"Welcome Bay Community Hall, 240 Welcome Bay Road",7,3,0,5,1,15,0,13,3,2,0,0,0,0,0,3,0,52,0
Western Heights,"Kaitao Middle School Hall, 30 Bell Road",6,2,0,3,0,74,1,15,4,5,0,0,0,0,0,2,1,113,0
Whakarewarewa,"Whakarewarewa School Hall, 63 Sala Street",1,0,1,0,0,12,2,6,3,0,0,0,0,0,0,2,0,27,0

,Overseas Special Votes Including Defence Force - Rotorua,20,25,3,66,0,306,2,82,6,14,1,5,0,2,1,20,9,562,0
,Overseas Votes Allowed for Party Only - Rotorua,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
,Special Votes BEFORE Polling Day - Rotorua,219,46,46,190,0,1589,36,747,64,111,5,14,3,2,0,59,16,3147,37
,Special Votes ON Polling Day - Rotorua,163,48,26,81,1,829,28,462,29,60,6,15,0,1,0,34,9,1792,13
,Votes Allowed for Party Only - Rotorua,10,6,11,14,0,200,13,45,4,7,5,5,0,0,0,3,4,327,9
,Voting places where less than 6 votes were taken,2,1,1,1,0,12,0,7,1,0,0,0,0,0,0,0,0,25,0

,Rotorua Total,3463,518,179,1816,4,17845,347,10951,703,1383,50,177,16,21,8,606,141,38228,260

,Valid Party Votes plus Informal Party Votes,,38488

Electorate Party Valid Votes,,,Labour Party - 46.68%
ACT New Zealand,3463,9.06
Advance NZ,518,1.36
Aotearoa Legalise Cannabis Party,179,0.47
Green Party,1816,4.75
HeartlandNZ,4,0.01
Labour Party,17845,46.68
Māori Party,347,0.91
National Party,10951,28.65
New Conservative,703,1.84
New Zealand First Party,1383,3.62
NZ Outdoors Party,50,0.13
ONE Party,177,0.46
Social Credit,16,0.04
Sustainable New Zealand Party,21,0.05
TEA Party,8,0.02
The Opportunities Party (TOP),606,1.59
Vision New Zealand,141,0.37
