Party and Electorate Candidate Votes Recorded at each Voting Place
Mt Roskill 25,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Three Kings,"Fickling Convention Centre, Hillsborough Room, 546 Mt Albert Road",204,11,4,309,0,1656,6,850,31,73,0,11,2,0,24,47,0,3228,16
,"Three Kings School, 944 Mt Eden Road",10,0,1,31,0,103,0,74,3,4,0,1,0,1,2,5,0,235,2

Voting Places
Avondale,"Avondale Baptist Church Hall, 1288 New North Road",1,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,13,0
Balmoral,"Mt Eden War Memorial Hall, 487-489 Dominion Road",3,0,0,11,0,25,0,23,0,0,0,0,0,0,0,0,0,62,0
Blockhouse Bay,"Blockhouse Bay Baptist Church, 504 Blockhouse Bay Road",0,1,0,2,0,23,0,15,2,0,0,0,0,0,2,0,0,45,0
,"Blockhouse Bay Community Church, 76 Dundale Avenue",9,0,0,9,0,142,0,79,8,7,0,1,0,0,0,4,0,259,5
,"Blockhouse Bay Primary School, 584 Blockhouse Bay Road",1,0,0,3,0,17,0,7,0,1,0,0,0,0,0,0,0,29,1
,"Epsom Normal School, 41 The Drive",1,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,8,0
,"Sacred Heart Parish Hall, 19 Banff Avenue",2,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,9,0
Hillsborough,"Hillsborough Primary School, 18 Belfast Street",41,1,0,28,0,179,3,148,5,20,0,2,0,0,0,12,1,440,2
,"St David's in the Fields Church, 202 Hillsborough Road",19,0,2,24,0,154,1,109,7,12,1,1,0,0,1,11,0,342,2
,"St Margaret's Anglican Church Hall, 102 Hillsborough Road",3,0,0,1,0,23,1,21,0,2,0,1,0,0,0,3,0,55,0
,"Waikowhai Primary School, 381 Hillsborough Road",20,0,0,14,0,121,1,78,2,7,0,0,0,0,1,2,0,246,1
Lynfield,"Halsey Drive Primary School, 106 Halsey Drive",22,1,0,11,0,99,0,89,2,4,0,1,0,0,2,2,0,233,1
,"Lynfield College School, 191 White Swan Road (main entrance)",13,0,0,10,0,118,0,85,2,7,0,0,0,0,1,4,1,241,3
,"Lynfield Community Church, 35 The Avenue",7,0,0,6,0,45,0,28,7,6,0,1,0,0,0,2,0,102,1
,"Lynfield Tennis Club, 18 The Avenue",21,0,0,18,0,172,0,107,2,4,0,0,1,0,0,10,1,336,0
Mt Albert,"Mt Albert Presbyterian Church Hall, 14 Mt Albert Road",2,0,0,2,0,5,0,0,0,0,0,0,0,0,1,0,0,10,0
,"Salvation Army Community Church Hall, 218 Mt Albert Road (Duncan Avenue entrance)",2,0,0,3,0,21,0,10,0,1,0,0,0,0,0,0,0,37,0
