Party and Electorate Candidate Votes Recorded at each Voting Place
Nelson 27,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,"Greenmeadows Community Centre, Corner Main Road & Songer Street",61,1,1,29,0,345,0,147,14,14,1,1,2,0,0,8,3,627,2
Tāhunanui,"Church of Christ Hall, 29 Parkers Road",20,4,2,11,0,111,0,55,5,12,1,0,0,0,0,2,1,224,3
,"St Stephen's Church, 61 Tahunanui Drive",5,0,0,6,0,55,0,34,0,2,0,0,0,0,0,8,0,110,1
,"Tahunanui School, 69 Muritai Street",27,7,3,24,0,140,3,64,6,5,0,3,0,0,1,4,0,287,1
The Wood,"Sun City Darts Hall, Guppy Park, Sovereign Street",7,4,1,12,0,35,0,16,1,4,0,0,0,0,0,9,0,89,1
Wakefield,"Wakefield School, 66 Edward Street",0,1,0,0,0,7,0,2,0,1,0,0,0,0,0,2,0,13,0

,Overseas Special Votes Including Defence Force - Nelson,41,15,0,201,0,513,0,97,4,7,3,0,2,0,0,28,2,913,0
,Overseas Votes Allowed for Party Only - Nelson,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0
,Special Votes BEFORE Polling Day - Nelson,229,39,30,339,0,1761,11,611,43,63,14,19,4,3,1,82,20,3269,28
,Special Votes ON Polling Day - Nelson,133,33,24,132,0,775,5,298,31,27,9,12,2,1,2,35,3,1522,16
,Votes Allowed for Party Only - Nelson,16,9,6,14,0,103,2,21,0,4,0,0,0,0,0,3,2,180,4
,Voting places where less than 6 votes were taken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

,Nelson Total,3639,480,144,4028,2,23943,90,9185,690,841,173,180,33,17,9,775,130,44359,276

,Valid Party Votes plus Informal Party Votes,,44635

Electorate Party Valid Votes,,,Labour Party - 53.98%
ACT New Zealand,3639,8.20
Advance NZ,480,1.08
Aotearoa Legalise Cannabis Party,144,0.32
Green Party,4028,9.08
HeartlandNZ,2,0.00
Labour Party,23943,53.98
Māori Party,90,0.20
National Party,9185,20.71
New Conservative,690,1.56
New Zealand First Party,841,1.90
NZ Outdoors Party,173,0.39
ONE Party,180,0.41
Social Credit,33,0.07
Sustainable New Zealand Party,17,0.04
TEA Party,9,0.02
The Opportunities Party (TOP),775,1.75
Vision New Zealand,130,0.29
