Party and Electorate Candidate Votes Recorded at each Voting Place
Takanini 48,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Clover Park,"Redoubt North Wesleyan Methodist Church, 51 Diorella Drive",11,4,1,17,0,215,1,73,14,16,0,1,0,0,0,4,6,363,4
East Tāmaki,"Tongan Methodist Church, 3 Ormiston Road",1,0,1,0,0,10,0,8,0,0,0,0,0,0,0,0,0,20,0
Flat Bush,"Baverstock Oaks School, 21 Baverstock Road",1,0,1,0,0,12,1,16,1,0,0,0,0,0,0,1,0,33,0
,"Dawson Primary School, 15 Haumia Way",1,0,0,1,0,52,1,7,1,2,0,1,0,0,0,0,2,68,1
,"Kia Aroha College, 51 Othello Drive",2,0,1,0,0,37,1,4,0,2,0,0,0,0,0,0,0,47,0
,"Mission Heights Primary School Hall, 103 Jeffs Road",31,1,0,10,1,274,1,315,15,8,1,0,0,0,7,1,0,665,9
,"Ormiston Senior College, Main Entrance Foyer, 275 Ormiston Road",36,1,1,17,0,309,1,345,12,10,0,0,0,0,17,5,1,755,7
,"Te Uho o te Nikau Primary School Hall, 211 Flat Bush School Road",11,0,1,7,0,93,0,122,2,2,0,0,0,0,0,1,1,240,3
Goodwood Heights,"Everglade School Hall, 64 Everglade Drive",44,3,0,19,0,409,1,260,17,26,1,1,0,0,6,5,3,795,3
Manurewa,"Hillpark School Hall, 57 Grande Vue Road",0,0,0,1,0,66,2,50,6,4,0,0,0,0,0,1,0,130,2
,"James Cook High School Hall, 12 Dr Pickering Avenue",2,0,0,3,0,24,3,3,0,2,0,0,0,0,0,0,1,38,0
,"Manurewa South School Hall, 39 Tawa Crescent",4,2,0,8,0,74,0,21,3,8,0,1,0,0,0,0,1,122,1
,"St Anne's Catholic Church, 126 Russell Road",1,0,0,2,0,30,1,8,0,3,0,0,0,0,0,0,0,45,3
,"St Luke's Anglican Church Hall, 3 Russell Road",4,0,0,1,0,93,1,22,3,7,0,2,0,0,0,0,1,134,1
Manurewa East,"Alfriston College, KTK Foyer, Alfriston Road entrance",14,4,2,21,0,335,6,162,11,12,0,0,0,0,1,4,2,574,3
,"Greenmeadows Intermediate School, Technology Block, Ferguson Street entrance",0,1,1,2,0,71,0,13,3,4,0,0,0,0,0,0,0,95,2
,"Manurewa East School Hall, 10 Scotts Road",5,0,0,2,0,83,1,19,2,3,0,0,0,1,0,0,2,118,1
Meadowlands,"Auckland Fijian Methodist Church, 128 Whitford Road",0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,6,0
