Party and Electorate Candidate Votes Recorded at each Voting Place
Rongotai 43,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Roseneath,"Roseneath School Hall, 13 Maida Vale Road",13,0,0,62,0,85,3,36,0,0,0,0,0,0,0,3,0,202,0
Seatoun,"Seatoun School Hall, 59 Burnham Street",29,1,0,44,0,143,0,75,2,1,0,0,0,0,0,1,0,296,0
Strathmore Park,"Kahurangi School Hall, 43 Strathmore Avenue",9,2,0,46,0,118,0,27,2,1,0,0,0,0,0,4,0,209,3
,"Raukawa Community Centre, 63 Raukawa Street",1,1,0,4,0,30,0,2,0,1,0,1,0,0,0,1,0,41,0
,"Strathmore Park Community Centre, 108 Strathmore Avenue",4,2,1,20,0,99,0,22,4,4,0,1,0,0,0,3,0,160,4
Tawa,"Tawa Community Centre, 5 Cambridge Street",0,0,0,3,0,9,0,1,0,0,0,0,0,0,0,1,0,14,0
Te Aro,"Advance Voting team DCM (Downtown Community Ministry) & Wellington Night Shelter, 2 Lukes Lane",0,1,0,2,0,2,1,0,0,2,0,1,0,0,0,1,0,10,0
Wellington City,"Asteron Centre Foyer, 55 Featherston Street",32,2,0,185,0,332,4,95,1,7,1,0,0,0,0,29,0,688,0
,"Kahungunu Whānau Services, Level 5, 35 Victoria Street",13,0,0,66,0,78,1,23,1,1,0,0,0,0,0,5,0,188,1
,"Pop Up Voting Place, 73 Manners Street",22,0,4,369,0,411,3,81,3,13,0,0,0,2,0,37,0,945,4
,"Pop Up Voting Place, Dukes Arcade, 105 Willis Street",35,0,1,264,0,373,2,94,1,11,0,0,0,0,0,33,0,814,3
,"Sustainability Trust Wellington, 2 Forresters Lane",1,0,0,21,0,13,1,2,0,0,0,0,0,0,0,1,0,39,0
,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",29,1,0,208,0,265,3,71,3,6,0,0,0,0,0,32,0,618,1
,"Wellington Museum Von Kohorn Room, Queens Wharf, 3 Jervois Quay",21,0,0,89,0,123,1,36,3,0,0,0,0,0,0,10,0,283,0
Worser Bay,"Worser Bay School, Mahutonga Room, 168 Seatoun Heights Road",5,0,0,23,0,93,0,38,0,1,0,0,0,0,0,3,0,163,0

Voting Places
