Party and Electorate Candidate Votes Recorded at each Voting Place
Manurewa 22,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Flat Bush,"Dawson Primary School, 15 Haumia Way",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,1
Goodwood Heights,"Everglade School Hall, 64 Everglade Drive",1,2,0,2,0,25,0,7,3,1,0,0,0,0,0,0,0,41,0
Māngere,"EFKS Magele i Sisifo Congregational Church, 43 Thomas Road",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,7,0
,"Māngere Arts & Events Centre, Corner Orly Avenue & Bader Drive",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0
,"Nga Iwi School, 60 Mascot Avenue",0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,11,0
Manukau,"Westfield Manukau Mall (Shop), Corner Great South & Manukau Station Roads",3,0,0,10,0,84,2,41,3,2,0,0,0,0,1,2,0,148,1
,"Wiri Community Hall, 15 Inverell Avenue",2,4,0,7,0,139,0,11,5,12,0,3,0,0,0,0,1,184,1
Manurewa,"Clendon Park School Hall, 145 Rowandale Avenue",0,2,3,3,0,133,0,23,5,4,0,0,0,0,0,1,0,174,1
,"Finlayson Park School Hall, 87 John Walker Drive",2,2,0,4,0,286,5,24,2,11,0,1,0,0,0,1,4,342,7
,"Hillpark School Hall, 57 Grande Vue Road",32,5,3,34,0,337,6,206,21,35,1,2,1,1,4,14,5,707,4
,"Homai Primary School Hall, 89 Browns Road",4,3,1,8,0,151,1,28,6,5,0,0,0,0,1,2,3,213,5
,"James Cook High School Hall, 12 Dr Pickering Avenue",4,3,0,5,0,140,3,16,6,6,0,0,0,0,0,2,0,185,0
,"Manurewa South School Hall, 39 Tawa Crescent",0,0,2,0,0,21,0,3,1,1,0,1,0,0,0,0,0,29,0
,"Rowandale School Hall, 73 Rowandale Avenue",8,5,1,5,0,196,1,37,5,9,0,0,1,0,0,2,1,271,5
,"St Anne's Catholic Church, 126 Russell Road",3,4,0,8,0,220,4,36,5,16,0,0,0,0,0,1,3,300,3
,"St Luke's Anglican Church Hall, 3 Russell Road",2,1,1,7,1,155,7,30,3,10,0,1,0,0,1,2,1,222,1
Manurewa East,"Alfriston College, KTK Foyer, Alfriston Road entrance",1,0,0,3,0,15,0,6,3,1,0,1,0,0,0,0,3,33,0
,"Manurewa East School Hall, 10 Scotts Road",1,0,0,2,0,13,0,4,0,1,0,0,0,0,0,1,0,22,0
Ōtara,"Te Puke o Tara Community Hall, 20 Newbury Street",0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,8,0
Papatoetoe,"Aorere College, 2 Selfs Road",1,2,0,3,0,61,0,14,1,7,0,1,0,0,0,0,0,90,1
,"Holy Cross Church School Hall, 21 Carruth Road",10,2,0,8,0,170,0,56,6,4,1,1,0,1,1,1,1,262,4
,"Hunters Plaza Shopping Centre, Pop Up Shop, 217 Great South Road",2,0,0,1,0,77,1,21,0,0,0,0,0,0,0,0,1,103,2
,"Papatoetoe Central Primary School, Corner Great South Road & Saint George Street",0,1,0,1,0,30,0,6,0,2,0,0,0,0,0,1,0,41,2
,"Papatoetoe East Primary School, 138 Tui Road",0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,7,0
,"Papatoetoe High School, 19 Nicholson Avenue",2,0,0,5,0,49,2,12,0,3,1,0,0,0,2,0,0,76,4
,"Papatoetoe South School, 58 Milan Road",5,2,0,9,2,173,3,37,2,12,0,0,0,0,0,3,2,250,4
,"Papatoetoe Town Hall, 35 Saint George Street",4,0,0,9,0,131,1,20,3,8,1,0,0,0,0,4,0,181,2
,"Papatoetoe West School, 1-3 Hillcrest Road",5,0,0,5,0,152,3,40,4,17,0,1,0,0,0,0,0,227,6
,"Puhinui Primary School Hall, 116 Puhinui Road",15,5,1,4,0,197,1,66,4,12,0,0,0,0,0,2,1,308,3
,"Wesley Methodist Church Hall, 37 Kolmar Road",0,0,0,0,0,9,0,3,0,1,0,1,0,0,0,0,0,14,0
Takanini,"Takanini School Hall, Old Park Place entrance",0,1,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,9,0
Wattle Downs,"Clayton Park School Hall, Wattle Farm Road entrance",0,0,1,1,0,17,0,5,5,0,0,0,0,0,0,0,0,29,2
Weymouth,"Weymouth Community Hall, 11 Beihlers Road",2,0,0,3,0,77,1,12,1,4,0,0,0,0,0,1,1,102,2
,"Weymouth Primary School Hall, 23 Evans Road",7,3,0,6,0,111,6,42,5,12,0,2,0,0,0,0,0,194,1
Wiri,"Vodafone Events Centre, 770 Great South Road",0,0,0,0,0,33,0,14,1,1,0,0,0,0,1,0,0,50,0

,Overseas Special Votes Including Defence Force - Manurewa,3,10,0,35,0,237,2,36,8,6,0,0,0,0,0,4,8,349,1
,Overseas Votes Allowed for Party Only - Manurewa,0,0,0,0,0,10,0,1,0,1,0,0,0,0,0,0,0,12,0
,Special Votes BEFORE Polling Day - Manurewa,46,44,38,116,2,3266,45,456,53,94,2,11,0,4,4,17,27,4225,98
,Special Votes ON Polling Day - Manurewa,24,38,26,75,0,2228,34,297,51,73,0,9,0,0,6,12,21,2894,67
,Votes Allowed for Party Only - Manurewa,2,8,14,22,2,579,26,55,6,19,0,3,2,0,1,2,16,757,19
,Voting places where less than 6 votes were taken,0,0,1,3,0,34,0,2,1,2,0,2,0,0,0,0,0,45,0

,Manurewa Total,519,250,136,907,8,22137,245,3904,505,861,9,80,6,14,37,139,196,29953,515

,Valid Party Votes plus Informal Party Votes,,30468

Electorate Party Valid Votes,,,Labour Party - 73.91%
ACT New Zealand,519,1.73
Advance NZ,250,0.83
Aotearoa Legalise Cannabis Party,136,0.45
Green Party,907,3.03
HeartlandNZ,8,0.03
Labour Party,22137,73.91
Māori Party,245,0.82
National Party,3904,13.03
New Conservative,505,1.69
New Zealand First Party,861,2.87
NZ Outdoors Party,9,0.03
ONE Party,80,0.27
Social Credit,6,0.02
Sustainable New Zealand Party,14,0.05
TEA Party,37,0.12
The Opportunities Party (TOP),139,0.46
Vision New Zealand,196,0.65
