Party and Electorate Candidate Votes Recorded at each Voting Place
Kaikōura 17,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,Mobile Team - Rural,36,4,1,11,0,72,0,85,4,6,0,1,0,0,0,0,1,221,0
,Rest Homes Team 1 - Blenheim & Picton,10,2,0,2,0,119,0,86,1,13,1,0,2,1,0,0,0,237,6
,Rest Homes Team 3 - Amberley,0,0,0,1,0,11,0,12,0,0,0,0,0,0,0,0,0,24,2

Voting Places
Amberley,"Amberley School Rewi Alley Hall, 2 Lawcocks Road (corner Douglas Road & Lawcocks Road)",40,3,1,8,0,93,0,90,11,4,0,0,0,0,0,5,0,255,1
,"Hurunui Library - RSA Room, 111 Carters Road",37,5,2,10,0,172,0,130,17,16,1,2,0,0,0,7,0,399,3
Ashley,"Ashley School, Corner Boundary Road & Fawcetts Road",56,2,0,12,0,107,1,125,8,13,0,0,0,0,0,2,0,326,2
Balcairn,"Balcairn Hall, 4 Ashbys Road",27,1,1,10,0,54,0,79,12,13,0,0,0,0,0,1,0,198,1
Blenheim,"Alzheimers Centre, 8 Wither Road",44,5,1,11,0,176,0,111,7,18,0,2,0,0,0,6,0,381,4
,"Blenheim Baptist Church Hall, 8 Beaver Road (corner Beaver Road & High Street)",20,0,0,7,0,126,1,64,8,15,2,1,1,0,0,2,0,247,1
,"Bohally Intermediate School Hall, 37-49 McLauchlan Street",26,4,1,20,0,124,0,84,6,13,2,1,0,1,0,7,0,289,1
,"Bright Centre, 2 Dillons Point Road",12,1,0,8,0,80,3,46,6,7,1,0,0,0,0,4,0,168,1
,"Market Street North Shop (next to Farmers), 19 Market Street",23,4,3,15,0,101,0,56,2,7,0,2,0,0,0,8,0,221,1
,"Marlborough Boys' College Pavilion, 6 Francis Street",28,2,2,11,0,116,0,55,2,2,2,3,0,0,0,3,0,226,1
,"Marlborough District Council, 15 Seymour Street",21,1,4,8,0,97,0,54,1,2,0,1,0,0,0,3,0,192,1
,"Mayfield School Hall, 79 Hutcheson Street",20,4,0,9,0,99,0,74,4,7,0,2,0,0,0,3,0,222,0
,"Redwoodtown School Hall, 90 Cleghorn Street",92,12,2,19,0,372,1,163,11,23,0,7,0,0,0,8,2,712,2
,"Springlands School Hall, Aston Street (off Murphys Road)",75,4,0,24,0,212,1,216,10,12,0,9,2,0,0,3,0,568,3
,"Stadium 2000 Programmes Room, 26 Redwood Street Entrance",59,4,2,21,0,179,0,119,9,15,1,4,0,0,0,14,0,427,3
,"St Marks Koru Room, 63 Main Street",15,0,0,5,0,55,1,25,0,5,1,0,1,0,0,0,0,108,1
,"St Ninians Church Hall, corner Alabama Road & Riley Crescent",29,3,0,12,0,146,0,86,16,13,0,12,0,0,1,3,0,321,0
,"Whitney Street School Hall, 9 Whitney Street",29,1,1,19,0,142,0,73,9,18,0,2,0,0,0,7,0,301,3
,"Witherlea School Hall, 216 Upper Weld Street",62,2,0,21,0,226,0,126,5,15,3,5,0,0,0,8,0,473,6
Broomfield,"Broomfield School, 115 Mount Brown Road",21,0,0,5,0,38,1,72,4,4,1,0,0,0,0,6,0,152,0
Canvastown,"Canvastown School Te Hora Room, 5044 State Highway 6",15,2,0,2,0,62,1,41,4,3,1,3,1,0,0,2,0,137,1
Cheviot,"Cheviot Area School Hall, Caverhill Road",28,1,1,1,0,19,0,56,0,4,0,0,1,1,0,0,0,112,0
,"Cheviot Knox Community Centre, 13 Reeves Street",14,2,0,2,0,20,0,59,3,2,0,0,0,0,0,1,0,103,0
Culverden,"Amuri Area School Community Room, School Road",36,4,0,4,0,68,0,177,6,3,0,3,0,0,0,3,0,304,2
