Party and Electorate Candidate Votes Recorded at each Voting Place
Palmerston North 36,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,"St Alban's Church, 339 Albert Street",26,3,0,26,0,150,0,132,18,16,0,3,0,0,0,4,0,378,1
,"Winchester School Hall, 552 Ruahine Street",38,4,0,42,0,169,2,125,7,13,1,1,0,0,0,7,2,411,3
Kairanga,"Kairanga Community Centre, 1103 Kairanga Bunnythorpe Road",2,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,8,0
Kelvin Grove,"Cornerstone Christian School, Administration Building, 119 Mihaere Drive",75,1,0,16,0,400,4,299,47,37,0,2,0,0,0,13,0,894,7
,"Kelvin Grove Community Centre, 68 Kaimanawa Street",23,6,3,13,0,208,3,72,12,21,0,3,0,0,0,3,0,367,1
Linton,"Linton Camp School, Puttick Road",1,0,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,7,0
Longburn,"Longburn Community Hall, Ngaire St",6,0,0,0,0,11,0,3,0,0,0,0,0,0,0,1,0,21,0
Marton,"St Andrew's Presbyterian Church Hall, 226 Broadway",0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0
Milson,"Milson School Hall, 7 Rutland Place",34,12,1,20,0,296,2,129,11,24,0,3,0,0,0,11,2,545,2
,"St Peter's College, 3 Holdsworth Avenue",30,3,1,17,1,197,4,99,4,9,0,0,0,0,0,6,1,372,3
Newbury,"Newbury School, 906 Rangitikei Line",3,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,17,0
Opiki,"Opiki Public Hall, 926 Opiki Road (State Highway 56)",2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,6,0
Palmerston North,"AMP Building, 36 Broadway Avenue",9,2,0,7,0,65,0,36,5,2,0,0,0,0,0,2,0,128,0
,"Awapuni Community Centre, 22 Newbury Street",8,1,0,13,0,90,0,24,9,12,0,2,0,0,0,6,0,165,0
,"Awapuni School Hall, 18 Rochester Street",28,3,0,18,0,245,2,68,14,13,1,1,0,0,0,8,0,401,2
,"Central Normal School Hall, 201 Featherston Street",40,5,1,45,0,289,2,120,12,21,3,1,0,1,0,7,0,547,4
,"Christian Church of Samoa, 39 Havelock Avenue",7,0,1,3,0,110,1,33,1,11,1,0,0,0,0,1,0,169,0
,"Cloverlea School Hall, 55 Herbert Avenue",20,5,3,8,0,179,1,55,3,8,0,3,0,0,0,2,0,287,4
,"Palmerston North Bridge Club, 3 Cook Street",26,3,1,14,0,119,3,48,6,10,0,1,0,0,0,8,0,239,5
,"Palmerston North Girls' High School, Huia Centre, 3 Huia Street",17,2,1,18,0,91,1,61,9,2,0,0,0,0,0,5,0,207,1
,"Public Hospital Education Centre Hall, Gate 12, 50 Ruahine Street",7,1,0,6,0,79,0,11,3,1,0,0,0,0,0,9,0,117,1
,"Russell Street School Hall, 19-31 Russell Street",39,1,0,33,0,260,3,132,9,17,0,1,0,0,1,11,2,509,2
,"Somerset Crescent School Hall, 45 Somerset Crescent",23,0,0,7,0,133,3,42,5,8,0,3,0,1,0,2,0,227,1
,"St Luke's Lutheran Church Hall, 250 Church Street",7,2,1,8,0,57,0,20,2,5,0,0,1,0,0,2,0,105,0
,"Summerhill Shopping Centre, Unit 2.8, 194 Ruapehu Drive",10,1,0,2,0,20,0,10,0,3,0,0,0,0,0,2,0,48,2
,"Te Manawa Museum, 326 Main Street",14,4,3,27,0,153,1,53,9,15,0,2,1,1,0,8,1,292,3
,"The Salvation Army Hall, 431 Church Street",7,1,0,15,0,72,0,38,0,4,0,0,0,0,0,3,0,140,1
Parkland,"Parkland School Hall, 41 Parkland Crescent",35,1,0,25,0,180,0,84,5,16,0,3,0,0,0,7,0,356,2
Riverdale,"Riverdale School Hall, 95 Slacks Road",48,3,0,29,0,269,2,133,8,18,0,1,0,0,0,6,1,518,2
Roslyn,"Roslyn School Hall, 38 Kipling Street",28,7,2,9,0,153,2,49,10,9,0,2,0,0,0,1,0,272,2
,"Ross Intermediate School Hall, 25 Freyberg Street",8,2,0,9,0,91,1,47,10,7,0,0,0,1,0,1,0,177,1
Takaro,"Monrad Intermediate School Hall, 228 Botanical Road",21,6,2,9,0,170,2,56,5,11,0,2,0,0,0,6,1,291,2
Taonui,"Te Arakura Taonui Hall, 170 Waughs Road",2,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,9,1
Terrace End,"Rangiora Community Centre, 98-102 Rangiora Avenue",23,1,3,16,0,166,0,50,2,13,0,1,0,0,1,1,0,277,4
,"Terrace End School Hall, 183-209 Ruahine Street",30,4,1,29,0,264,3,87,12,19,0,4,1,0,0,9,0,463,5
Tokomaru,"Tokomaru Hall, 761 Makerua Rd (SH57)",0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,10,0
West End,"West End School Hall, 395-427 Botanical Road",27,2,0,30,0,209,2,96,7,20,0,2,1,0,0,12,1,409,1
Whakarongo,"Whakarongo Community Hall, 17 Stoney Creek Road",3,0,0,4,0,21,0,21,0,4,0,0,0,0,0,0,0,53,1

,Overseas Special Votes Including Defence Force - Palmerston North,28,10,6,112,0,407,3,85,11,16,0,0,0,0,0,21,0,699,1
,Overseas Votes Allowed for Party Only - Palmerston North,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
,Special Votes BEFORE Polling Day - Palmerston North,123,26,36,184,1,1465,14,466,41,76,3,4,3,1,0,62,3,2508,31
,Special Votes ON Polling Day - Palmerston North,117,24,27,96,0,1127,17,350,34,69,2,4,0,2,2,45,4,1920,22
,Votes Allowed for Party Only - Palmerston North,34,7,14,35,0,312,7,80,3,11,0,4,0,2,0,12,0,521,9
,Voting places where less than 6 votes were taken,1,0,0,3,0,18,1,8,1,3,0,1,0,0,0,0,0,36,0

,Palmerston North Total,2626,332,157,2876,6,21315,177,8513,704,1157,21,112,13,24,10,756,30,38829,274

,Valid Party Votes plus Informal Party Votes,,39103

Electorate Party Valid Votes,,,Labour Party - 54.89%
ACT New Zealand,2626,6.76
Advance NZ,332,0.86
Aotearoa Legalise Cannabis Party,157,0.40
Green Party,2876,7.41
HeartlandNZ,6,0.02
Labour Party,21315,54.89
Māori Party,177,0.46
National Party,8513,21.92
New Conservative,704,1.81
New Zealand First Party,1157,2.98
NZ Outdoors Party,21,0.05
ONE Party,112,0.29
Social Credit,13,0.03
Sustainable New Zealand Party,24,0.06
TEA Party,10,0.03
The Opportunities Party (TOP),756,1.95
Vision New Zealand,30,0.08
