Party and Electorate Candidate Votes Recorded at each Voting Place
Ōhāriu 33,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,Overseas Votes Allowed for Party Only - Ōhāriu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Special Votes BEFORE Polling Day - Ōhāriu,176,21,26,489,0,1772,19,698,30,56,1,18,0,2,0,122,2,3432,20
,Special Votes ON Polling Day - Ōhāriu,89,6,7,142,0,688,6,310,16,31,1,1,0,2,0,49,0,1348,11
,Votes Allowed for Party Only - Ōhāriu,8,1,1,21,0,109,4,32,1,5,1,2,1,0,0,7,0,193,3
,Voting places where less than 6 votes were taken,4,0,1,9,0,16,0,8,0,0,0,0,0,0,0,2,0,40,0

,Ōhāriu Total,2662,149,80,5940,1,22282,153,9732,375,824,15,143,8,19,12,1221,17,43633,209

,Valid Party Votes plus Informal Party Votes,,43842

Electorate Party Valid Votes,,,Labour Party - 51.07%
ACT New Zealand,2662,6.10
Advance NZ,149,0.34
Aotearoa Legalise Cannabis Party,80,0.18
Green Party,5940,13.61
HeartlandNZ,1,0.00
Labour Party,22282,51.07
Māori Party,153,0.35
National Party,9732,22.30
New Conservative,375,0.86
New Zealand First Party,824,1.89
NZ Outdoors Party,15,0.03
ONE Party,143,0.33
Social Credit,8,0.02
Sustainable New Zealand Party,19,0.04
TEA Party,12,0.03
The Opportunities Party (TOP),1221,2.80
Vision New Zealand,17,0.04
