Party and Electorate Candidate Votes Recorded at each Voting Place
Tauranga 52,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Tauriko,"Hello World, Tauranga Crossing, Tauranga Crossing Shopping Centre",8,2,0,2,0,35,1,41,1,1,3,1,0,0,0,2,0,97,1
,"Tauranga Crossing (ground floor next to H&M), Tauranga Crossing Shopping Centre",5,3,0,3,0,38,1,24,2,5,0,0,0,1,0,1,0,83,0
Te Puna,"Te Puna Memorial Hall, 3 Te Puna Road",1,1,0,0,0,5,0,6,2,1,0,0,0,0,0,1,0,17,0
,"Te Puna School Hall, (corner Te Puna & Borell Roads)",0,0,0,0,0,3,0,5,1,0,0,0,0,0,0,0,0,9,0
,"Welcome Bay Community Hall, 240 Welcome Bay Road",1,1,0,1,0,6,0,3,4,0,0,1,0,0,0,0,0,17,0

,Overseas Special Votes Including Defence Force - Tauranga,39,37,4,125,0,445,5,145,8,14,4,1,0,1,0,27,0,855,0
,Overseas Votes Allowed for Party Only - Tauranga,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0
,Special Votes BEFORE Polling Day - Tauranga,251,63,27,257,0,1818,20,1093,71,111,4,12,1,3,2,92,6,3831,35
,Special Votes ON Polling Day - Tauranga,129,38,21,100,0,796,17,436,29,45,3,7,0,0,0,50,5,1676,22
,Votes Allowed for Party Only - Tauranga,18,15,7,14,0,199,3,72,3,12,1,1,0,1,0,10,6,362,7
,Voting places where less than 6 votes were taken,2,0,0,3,0,7,0,9,0,0,1,0,0,0,0,0,0,22,0

,Tauranga Total,3952,540,139,2407,3,18547,155,14347,1032,1595,53,95,11,31,9,847,51,43814,334

,Valid Party Votes plus Informal Party Votes,,44148

Electorate Party Valid Votes,,,Labour Party - 42.33%
ACT New Zealand,3952,9.02
Advance NZ,540,1.23
Aotearoa Legalise Cannabis Party,139,0.32
Green Party,2407,5.49
HeartlandNZ,3,0.01
Labour Party,18547,42.33
Māori Party,155,0.35
National Party,14347,32.75
New Conservative,1032,2.36
New Zealand First Party,1595,3.64
NZ Outdoors Party,53,0.12
ONE Party,95,0.22
Social Credit,11,0.03
Sustainable New Zealand Party,31,0.07
TEA Party,9,0.02
The Opportunities Party (TOP),847,1.93
Vision New Zealand,51,0.12
