Party and Electorate Candidate Votes Recorded at each Voting Place
Remutaka 42,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,Overseas Special Votes Including Defence Force - Remutaka,28,10,0,143,0,442,4,100,6,8,0,8,0,0,0,21,4,774,1
,Overseas Votes Allowed for Party Only - Remutaka,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
,Special Votes BEFORE Polling Day - Remutaka,154,40,25,285,0,2047,22,550,57,95,3,29,0,2,1,77,13,3400,37
,Special Votes ON Polling Day - Remutaka,98,18,12,132,1,1329,22,351,46,66,1,38,0,2,2,46,14,2178,23
,Votes Allowed for Party Only - Remutaka,8,4,10,6,0,162,6,24,0,5,0,1,0,0,0,6,0,232,5
,Voting places where less than 6 votes were taken,1,0,1,2,0,16,0,5,2,0,0,0,0,0,0,0,1,28,1

,Remutaka Total,2607,245,132,3105,2,25347,171,8274,686,1296,27,462,16,24,6,822,70,43292,283

,Valid Party Votes plus Informal Party Votes,,43575

Electorate Party Valid Votes,,,Labour Party - 58.55%
ACT New Zealand,2607,6.02
Advance NZ,245,0.57
Aotearoa Legalise Cannabis Party,132,0.30
Green Party,3105,7.17
HeartlandNZ,2,0.00
Labour Party,25347,58.55
Māori Party,171,0.39
National Party,8274,19.11
New Conservative,686,1.58
New Zealand First Party,1296,2.99
NZ Outdoors Party,27,0.06
ONE Party,462,1.07
Social Credit,16,0.04
Sustainable New Zealand Party,24,0.06
TEA Party,6,0.01
The Opportunities Party (TOP),822,1.90
Vision New Zealand,70,0.16
