Party and Electorate Candidate Votes Recorded at each Voting Place
Te Tai Hauāuru 69,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Mana
Spotswood,"Spotswood Primary School Hall, 177 South Road",0,2,2,4,0,30,6,2,0,2,0,0,0,0,0,0,1,49,0
,"Te Pihipihinga Nga Kakano mai Rangiaatea Kurakaupapa Maori, 131 South Road",0,0,0,2,0,9,5,1,0,0,0,0,0,0,0,1,0,18,0
Strandon,"New Plymouth Girls' High School, Hall foyer, 42 Mangorei Road",0,1,0,0,0,7,1,1,0,0,0,0,0,0,0,2,1,13,0
Waitara,"North Taranaki Sports & Rec Inc, 17 Princess Street",0,2,0,3,0,23,3,0,0,0,0,0,0,0,0,2,0,33,1
,"Waitara Library & Service Centre, 15 Queen Street",1,6,5,6,0,110,28,7,0,5,0,2,0,0,0,2,1,173,1
,"Waitara War Memorial Hall, Memorial Place",0,3,3,12,0,168,38,7,1,6,0,4,0,0,0,5,0,247,7
Westown,"Tui Ora, 36 Maratahu Street",0,0,0,1,0,17,6,1,0,0,0,0,0,0,0,1,0,26,0
Ōhāriu
,"Tawa Community Centre, 5 Cambridge Street",1,1,1,5,0,48,11,2,1,0,0,0,0,0,0,4,0,74,1
,"Tawa School, 6a Oxford Street",1,0,0,4,0,7,0,1,0,0,0,0,0,0,0,0,0,13,0
,Prisons Team - Taken in Ōhāriu,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,7,0
Ōtaki
,Rest Homes-Taken in Otaki,0,0,0,1,0,4,3,1,0,0,0,0,0,0,0,0,0,9,1
Foxton,"Coley Street School Hall, 53 Coley Street",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,0
,"Foxton Primary School Hall, 5 Park Street",1,0,1,4,0,33,6,0,0,1,0,0,0,0,0,0,0,46,4
,"Te Awahou Nieuwe Stroom, 92 Main Street",1,0,2,1,0,51,10,3,0,4,0,0,0,0,0,0,0,72,2
,"Te Waiora Community Health Services, 10 Ladys Mile",0,0,2,3,0,26,7,4,1,3,0,3,0,0,0,0,0,49,3
Levin,"Arohamai Literacy Centre, 19 Bristol Street",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,1
,"Fairfield School Hall, 89 MacArthur Street",1,0,0,2,0,19,0,0,0,2,0,0,0,0,0,0,1,25,0
,"Horowhenua District Council, 126 Oxford Street",3,1,1,6,0,62,14,1,0,7,0,0,0,0,0,1,1,97,1
,"Horowhenua Learning Centre, 102 Liverpool Street",0,0,0,2,0,10,4,0,0,0,0,0,0,0,0,1,2,19,0
,"Levin Baptist Church, 19 Rugby Street",0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,9,0
,"Levin East School Hall, 90 Bartholomew Road",0,0,0,1,0,10,4,1,0,1,0,0,0,0,0,0,0,17,1
,"Levin Intermediate School Hall, 20 Collingwood Street",0,0,0,1,0,33,10,1,0,3,0,0,0,0,0,0,1,49,0
,"Levin North School Hall, 148 Weraroa Road",0,0,0,1,0,13,2,0,0,1,0,0,0,0,0,0,2,19,0
,"Muaupoko Tribal Authority Inc, 306 Oxford Street",0,1,0,1,0,13,4,1,0,0,0,0,0,0,0,0,0,20,0
,"Taitoko School Hall, 38 Kinross Street",0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,11,1
,"Te Kokiri Development Consultancy Inc, 18 Hokio Beach Road",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0
,"Te Takeretanga o Kura-hau-pō (Levin Public Library), 10 Bath Street",2,4,5,28,0,260,48,11,2,17,0,3,0,1,0,2,5,388,7
Ōhau,"Ōhau School Hall, 13 Muhunoa East Road",0,0,0,2,0,6,2,1,0,2,0,0,0,0,0,0,0,13,0
Ōtaki,"Nga Purapura-Te Wānanga O Raukawa, 145 Tasman Road",0,1,1,30,0,63,45,1,1,1,0,0,0,0,0,1,0,144,0
,"Ōtaki Presbyterian Church, 249 Mill Road",3,7,0,17,0,105,44,6,0,7,1,4,0,0,0,2,4,200,4
,"Ōtaki Primary School, 123 Mill Road",0,3,0,4,0,43,15,0,0,0,0,0,0,0,0,1,0,66,1
,"Waitohu School Hall, Te Manuao Road",1,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,11,0
Paraparaumu,"Coastlands Mall, Main Road (Countdown foyer)",5,9,5,26,0,228,44,7,2,8,0,3,0,0,0,6,0,343,3
,"Kapiti Youth Support, 15 Tutanekai Street",0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0
