Party and Electorate Candidate Votes Recorded at each Voting Place
Ikaroa-Rāwhiti 67,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
East Coast
Tolaga Bay,"Tolaga Bay Area School Kahukuranui Block, Discovery Street",2,0,1,7,0,128,7,3,0,3,1,0,0,0,0,0,0,152,4
Whangara,"Whangara School, 44 Pa Road",0,0,1,0,0,13,0,1,0,1,0,0,0,0,0,0,0,16,0
Whatatutu,"Whatatutu School, 24 Te Hau Road",1,2,0,1,0,35,4,1,0,1,0,0,0,0,0,0,1,46,1
Hutt South
Belmont,"Belmont Hall, 711 Western Hutt Road",0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,1,10,0
Epuni,"Epuni School Hall, 313 Waiwhetu Road",1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,8,0
Kelson,"Kelson School, 52 Taieri Crescent",0,0,0,0,0,9,1,2,0,0,0,0,0,0,0,1,0,13,0
Lower Hutt,"Queensgate Shopping Centre, Ground Level, Shop 118 (next to Jackie E), Corner Queens Drive & Bunny Street",0,0,0,3,0,20,5,2,0,1,0,1,0,0,0,0,0,32,2
Maungaraki,"Maungaraki Baptist Church Centre, 164 Dowse Drive",0,0,0,3,0,11,0,1,0,1,0,0,0,0,0,1,0,17,0
Moera,"Randwick School, 59 Randwick Road",0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,6,0
Normandale,"St Aidan's on the Hill, Church Hall, Corner Poto Road & Stratton Street",0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0
,"Petone Working Men's Club, 47 Udy Street",0,1,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,7,0
Seaview,"Kokiri Marae, 7-9 Barnes Street",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0
Wainuiomata,"Arakura School, 209 Wellington Road",1,1,0,3,0,32,6,3,0,0,0,0,0,0,0,2,0,48,0
,"Life Impact Centre, 38 Wainuiomata Road",0,0,0,2,0,11,8,0,0,1,0,0,0,0,0,0,0,22,0
,"Wainuiomata Intermediate School, 66 Konini Street",0,0,0,5,0,20,5,1,0,2,0,1,0,0,0,0,0,34,0
,"Wainuiomata Marae, 153-201 Parkway",0,1,0,4,0,27,10,1,0,0,0,1,0,0,0,0,0,44,0
,"Wainuiomata Primary School, 1 Homedale Road",0,0,0,4,0,22,2,1,1,2,0,1,0,0,0,0,0,33,0
,"Wainuiomata War Memorial Hall, 1 Queen Street",0,5,0,8,0,47,11,1,1,11,0,0,0,0,0,1,1,86,0
Waiwhetu,"Waiwhetu Marae Meeting House, 21 Puketapu Grove",0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,10,0
Woburn,"Hutt Valley High School, 84-114 Woburn Road",0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,1,0,7,0
Napier
Ahuriri,"Port Ahuriri School, 15 Lever Street",0,0,0,4,0,7,2,2,1,2,0,0,0,0,0,0,0,18,0
Bayview,"King George Hall, 1 Hill Road",1,1,0,0,0,21,1,2,0,3,0,1,0,0,0,1,0,31,0
Bluff Hill,"Napier Central School, 32 Napier Terrace",0,2,1,1,0,2,0,2,0,0,0,1,0,0,0,0,0,9,0
Eskdale,"Eskdale School, 324 Hill Road",0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,7,0
Frasertown,"Frasertown School, 5 Russell Parade",0,3,0,0,0,10,2,2,0,1,0,0,0,0,0,0,0,18,4
,"Whetu Marama Marae, Frasertown Rd",0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,17,1
Greenmeadows,"Bay Baptist Church, 81 Gloucester Street",0,0,0,3,0,12,1,0,0,0,0,0,0,0,0,1,0,17,0
,"Girl Guides Mahoe Hall, Corner Auckland Road & York Avenue",0,0,0,0,0,17,2,1,0,0,0,0,0,0,0,0,0,20,1
,"Greenmeadows East Community Hall, 83 Tait Drive",0,1,0,0,0,20,1,3,0,2,0,0,0,0,0,2,0,29,0
Māhia,"Te Mahia School, 457 Mahia East Coast Road",0,1,1,0,0,25,2,2,1,1,0,0,0,0,0,1,0,34,2
Maraenui,"Maraenui Bilingual School, 2a Lister Crescent",0,2,0,2,0,42,7,0,1,1,1,0,0,0,0,1,1,58,0
,"Richmond School, 13a Barnard Avenue",0,0,1,2,0,15,3,0,0,1,0,0,0,0,0,0,0,22,1
,"Te Roopu a Iwi Trust, 32 Bledisloe Rd",0,0,1,0,0,50,5,0,0,0,0,0,0,0,0,1,0,57,2
Marewa,"Church of Christ Building, 19 Douglas McLean Avenue",1,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,13,0
,"Marewa School, 80 Latham Street",0,2,1,3,0,36,4,1,0,1,0,0,0,0,0,0,1,49,1
,"Marewa Shopping Centre, 126 Kennedy Road",0,1,1,0,0,41,4,0,0,3,0,0,0,0,0,0,0,50,1
Matawai,"Matawai School, 29 Raumati Street",0,1,0,1,0,5,3,0,0,0,0,0,0,0,0,0,0,10,0
Meeanee,"Meeanee School, 6 Gavin Black Street",0,0,0,2,0,5,0,3,0,1,1,2,0,0,0,0,0,14,0
Mohaka,"Mohaka School, Mohaka Coast Road",0,6,0,0,0,14,5,3,0,0,0,0,0,0,0,0,0,28,2
Muriwai,"Muriwai School, 1684 Wharerata Road",0,2,1,2,0,19,6,0,0,2,0,0,0,0,0,0,0,32,2
Napier,"Napier City Shopping Centre, 1/1 Dickens St",0,1,2,5,0,22,4,1,0,0,0,0,0,0,0,0,1,36,1
,"Napier Intermediate, 3 Jull Street",0,2,1,2,0,15,1,0,1,1,0,0,0,0,0,0,0,23,0
,"Pacific Surf Life Saving Building, 26 Marine Parade",0,0,1,1,0,7,2,0,0,0,0,0,0,0,0,0,0,11,0
Napier South,"St Luke's Church, 196 Vigor Brown Street",0,0,0,0,0,11,0,1,0,1,0,0,0,0,0,0,0,13,0
Nūhaka,"Nuhaka School, 14 Ihaka Street (Tamakahu Street entrance)",0,5,0,2,0,36,6,0,1,2,0,0,0,0,0,0,0,52,1
Onekawa,"Henry Hill School, 13a Dick Place",0,1,0,0,0,19,3,1,0,0,0,0,0,0,0,0,0,24,0
,"Onekawa Primary School, 235 Kennedy Road",0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,9,0
,"Te Kura Kaupapa Māori O Te Ara Hou, 22 Wycliffe Street",0,2,0,3,0,27,10,0,0,0,0,0,0,0,0,2,0,44,0
Opoutama,"Opoutama Community Centre, 1631 Main Rd",0,3,0,3,0,17,2,1,0,5,0,0,0,0,0,0,0,31,1
Pirimai,"Baptist Church, 69 Bill Hercock Street",1,0,1,0,0,18,2,0,1,3,0,0,0,1,0,0,0,27,1
Puketapu,"Puketapu School, 708 Puketapu Road",0,1,0,1,0,9,2,1,0,0,1,0,0,0,0,0,0,15,0
Ruakituri,"Ruakituri School, 1607 Ruakituri Road",0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,6,0
Tamatea,"Tamatea Intermediate, 15 Freyberg Avenue",0,0,1,2,0,13,9,1,0,2,0,0,0,0,0,1,0,29,0
,"Tamatea Shopping Centre, Unit 2 7 Leicester Avenue",1,2,0,1,0,37,5,0,0,2,0,0,0,0,0,2,0,50,0
Taradale,"All Saints Church, 23 Puketapu Road",0,1,0,4,0,13,2,0,0,2,0,0,0,0,0,0,0,22,0
,"Bledisloe School, 30a Meeanee Road",0,0,0,0,0,9,1,1,0,1,0,0,0,0,0,0,0,12,0
,"Taradale High School, 50 Murphy Road",0,0,0,0,0,9,2,0,1,0,0,0,0,0,0,1,0,13,0
