Party and Electorate Candidate Votes Recorded at each Voting Place
Port Waikato 39,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Port Waikato,"Port Waikato Community Hub, 1 Ocean View Road",18,0,1,9,4,69,1,34,0,2,1,0,0,0,0,0,0,139,4
Pukekawa,"Pukekawa School, 803 Highway 22",36,1,1,7,11,114,0,201,14,8,2,1,0,0,0,1,0,397,4
Pukekohe,"Franklin Baptist Church, 128-144 Victoria St West",19,2,1,6,5,88,0,88,10,3,1,1,0,0,0,2,0,226,3
,"Pukekohe East School, 137 Runciman Road",33,3,0,6,1,58,0,124,6,6,0,1,0,0,0,4,0,242,4
,"Pukekohe Hill School, Corner Ward Street & Green Lane",54,2,2,10,14,187,1,261,7,20,1,0,0,0,0,6,0,565,3
,"Pukekohe Intermediate School, 44 Queen Street",95,6,1,25,7,373,6,347,8,26,1,3,2,0,0,11,0,911,10
,"Pukekohe North School, Corner Princes Street & Beatty Road",4,4,1,3,0,171,5,23,3,9,0,2,0,0,0,2,3,230,4
,"Revive Church, 14 Belgium Road",25,1,0,5,1,66,0,111,11,5,0,2,0,0,0,1,0,228,2
,"St Joseph's Primary School, 94 Seddon Street",18,1,2,8,2,123,1,101,10,6,1,2,0,1,0,2,0,278,2
,"Valley School, 42 East Street",77,2,0,10,5,176,0,264,6,20,1,2,0,0,0,6,1,570,3
Pukeoware,"Pukeoware School, 479 Baldhill Road",25,0,1,9,4,38,2,53,5,3,0,0,0,1,0,0,0,141,0
Puni,"Puni School, 357 Waiuku Road",44,1,0,5,5,123,0,115,4,6,0,1,1,0,0,1,0,306,2
Ramarama,"Ramarama School, 126 Ararimu Road",3,0,0,0,0,8,0,8,0,2,0,0,0,0,0,0,0,21,0
Rangiriri,"Rangiriri School, 39 Rangiriri Road",5,0,0,0,3,10,0,9,0,1,0,0,0,0,0,0,0,28,0
Te Kauwhata,"Te Kauwhata College, 64/50 Waerenga Road",53,5,0,5,6,157,5,153,6,22,1,3,0,0,0,5,0,421,2
Te Kohanga,"Te Kohanga School, 976 Tuakau-Port Waikato Main Road",6,3,1,1,0,25,1,30,9,5,0,1,0,0,0,0,0,82,0
Tuakau,"Tuakau Primary School, 6 School Road",12,1,0,6,2,59,0,43,5,4,0,2,0,0,0,2,0,136,2
,"Tuakau Town Hall, 70 George Street",58,4,3,13,8,195,1,147,9,23,1,3,0,1,2,10,1,479,5
Waerenga,"Waerenga School, 1066 Taniwha Road",7,0,0,1,0,10,0,20,0,2,0,0,0,0,0,0,0,40,1
Waiau Pa,"Waiau Pa School, Events Centre, 571 Waiau Pa Road",85,1,1,11,4,183,1,258,3,15,0,0,0,0,0,2,0,564,3
Waikaretu,"Waikaretu School, 1448 Waikaretu Valley Road",9,0,0,2,1,21,0,28,0,2,0,0,0,0,0,0,0,63,0
Waipipi,"Waipipi School, 100 Creamery Road",25,3,0,7,2,58,1,64,3,13,0,0,0,0,0,0,0,176,0
Waiuku,"Sandspit Road School, 60 Sandspit Road",35,8,1,14,5,113,0,142,13,9,0,0,0,0,0,6,0,346,3
,"View Road School, 16 View Road",13,0,1,5,2,43,0,35,1,6,1,2,0,0,0,0,0,109,1
,"Waiuku College, 43 Constable Road",25,3,2,5,6,74,0,66,3,8,1,2,0,0,0,2,0,197,1
,"Waiuku Netball Centre, Kitchener Road",47,6,1,12,5,165,2,170,6,15,3,2,0,0,0,3,0,437,3
,"Waiuku Primary School, George Street",40,4,4,11,5,176,0,155,3,13,1,0,0,0,0,3,0,415,3

,Overseas Special Votes Including Defence Force - Port Waikato,38,9,0,61,1,230,3,112,5,6,1,0,0,1,2,8,0,477,1
,Overseas Votes Allowed for Party Only - Port Waikato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Special Votes BEFORE Polling Day - Port Waikato,281,35,33,150,35,1439,13,1031,44,98,1,14,0,3,1,32,3,3213,15
,Special Votes ON Polling Day - Port Waikato,211,35,21,93,19,972,17,785,47,78,8,7,0,1,4,35,2,2335,21
,Votes Allowed for Party Only - Port Waikato,21,4,9,11,4,265,16,83,3,16,0,2,0,0,0,4,2,440,6
,Voting places where less than 6 votes were taken,1,0,0,2,0,7,0,3,0,0,0,0,0,0,0,0,0,13,0

,Port Waikato Total,4343,353,147,1357,574,16369,130,14756,684,1190,49,135,7,26,17,374,22,40533,269

,Valid Party Votes plus Informal Party Votes,,40802

Electorate Party Valid Votes,,,Labour Party - 40.38%
ACT New Zealand,4343,10.71
Advance NZ,353,0.87
Aotearoa Legalise Cannabis Party,147,0.36
Green Party,1357,3.35
HeartlandNZ,574,1.42
Labour Party,16369,40.38
Māori Party,130,0.32
National Party,14756,36.40
New Conservative,684,1.69
New Zealand First Party,1190,2.94
NZ Outdoors Party,49,0.12
ONE Party,135,0.33
Social Credit,7,0.02
Sustainable New Zealand Party,26,0.06
TEA Party,17,0.04
The Opportunities Party (TOP),374,0.92
Vision New Zealand,22,0.05
