Party and Electorate Candidate Votes Recorded at each Voting Place
Taieri 47,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
,Taieri Total,3302,236,122,2440,3,26608,55,9531,501,1179,34,105,45,27,6,571,10,44775,382

,Valid Party Votes plus Informal Party Votes,,45157

Electorate Party Valid Votes,,,Labour Party - 59.43%
ACT New Zealand,3302,7.37
Advance NZ,236,0.53
Aotearoa Legalise Cannabis Party,122,0.27
Green Party,2440,5.45
HeartlandNZ,3,0.01
Labour Party,26608,59.43
Māori Party,55,0.12
National Party,9531,21.29
New Conservative,501,1.12
New Zealand First Party,1179,2.63
NZ Outdoors Party,34,0.08
ONE Party,105,0.23
Social Credit,45,0.10
Sustainable New Zealand Party,27,0.06
TEA Party,6,0.01
The Opportunities Party (TOP),571,1.28
Vision New Zealand,10,0.02
