Party and Electorate Candidate Votes Recorded at each Voting Place
Epsom 11,Party Vote Details
,,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Advance Voting Places
Auckland City,"Aotea Centre, Limelight Rooms, 50 Mayoral Drive, Auckland CBD",4,0,0,23,0,42,0,14,1,1,1,0,0,0,0,2,0,88,0
,"ASB Waterfront Theatre, 138 Halsey Street",3,0,0,10,0,15,0,22,1,0,0,0,0,0,0,3,0,54,0
,"Liston Hall, 30-32 Hobson Street",7,0,0,15,0,35,0,32,0,0,0,0,0,0,0,2,0,91,0
,"Pioneer Women's Hall, Ellen Melville Centre, 2 Freyberg Place",26,2,0,71,0,83,0,78,0,3,0,0,0,0,0,11,0,274,0
Balmoral,"Mt Eden War Memorial Hall, 487-489 Dominion Road",28,1,0,97,0,226,0,132,1,7,0,0,1,0,1,13,0,507,0
Ellerslie,"Ellerslie War Memorial Hall, 134-138 Main Highway",10,0,0,10,0,34,0,30,0,0,0,1,0,0,0,4,0,89,0
Epsom,"Epsom Girls Grammar School, Old Gym, Gate 4, Owens Road",58,1,1,59,0,236,3,254,2,10,0,0,0,0,3,7,0,634,2
,"Epsom Normal School, 41 The Drive",80,2,0,43,1,236,0,235,1,8,0,2,0,0,4,10,0,622,2
,"Jack Dickey Community Hall, 174 Green Lane West",40,3,0,35,0,164,2,154,5,8,0,0,0,0,1,15,0,427,3
,"Sacred Heart Parish Hall, 19 Banff Avenue",97,0,0,70,0,287,0,285,8,11,0,0,0,1,2,5,0,766,7
,"St Andrew's Church Upper Room, 100 St Andrews Road",147,7,1,112,0,425,6,525,13,16,0,0,1,0,3,17,2,1275,3
,"St George's Church Youth Rooms, 19 Ranfurly Road",111,3,2,88,0,349,2,370,8,22,0,3,0,2,0,13,1,974,11
