Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Ilam 15,Non-place,Rest Homes Team - Taken in Ilam,13,0,1,7,0,199,0,164,4,10,0,0,0,0,0,0,0,398,11
Ilam 15,Avonhead,"Avonhead Primary School Hall, 55 Avonhead Road",31,1,2,36,0,194,0,102,4,11,0,0,0,1,0,1,0,383,1
Ilam 15,,"Burnside Bowls Club, 330 Avonhead Road",183,9,0,160,0,859,4,733,33,35,3,2,0,1,0,19,0,2041,12
Ilam 15,,"Merrin School Hall, 41 Merrin Street",60,0,2,54,0,259,0,155,7,11,0,0,0,0,0,4,0,552,6
Ilam 15,,"Russley School Hall, 75 Cutts Road",24,5,0,31,0,212,3,125,3,4,0,0,0,0,0,4,0,411,2
Ilam 15,Bishopdale,"Cotswold School Hall, 50 Cotswold Avenue",20,0,0,16,0,173,0,69,5,2,0,0,0,0,1,2,0,288,3
Ilam 15,,"Ōrauwhata Bishopdale Library & Community Centre, 13 Bishopdale Court",238,14,1,201,0,1670,3,773,48,65,3,5,2,3,1,38,0,3065,18
Ilam 15,Bryndwr,"Wairakei School Hall, 250 Wairakei Road",27,3,1,29,0,204,0,76,4,3,0,0,0,0,0,2,0,349,6
Ilam 15,Burnside,"Burnside High School, J Block, 151 Greers Road (Memorial Avenue entrance)",25,2,0,22,0,150,0,85,0,3,0,0,0,0,0,1,0,288,0
Ilam 15,,"Roydvale School Hall, 117 Roydvale Avenue",25,0,0,20,0,130,0,79,0,2,0,0,0,0,0,0,0,256,3
Ilam 15,Central City,"Aldersgate Centre (Garden Entrance), 309 Durham Street North",18,0,0,11,0,29,0,33,1,1,1,0,0,0,0,2,0,96,0
Ilam 15,,"Ara Institute of Canterbury (Rakaia Building), 130 Madras Street",8,1,0,29,0,71,0,34,4,1,0,0,0,0,0,11,0,159,3
Ilam 15,,"Arts Centre (Maker Workshop), Corner Rolleston Ave & Hereford Street",29,1,0,69,0,127,2,110,2,0,0,0,0,0,0,11,0,351,2
Ilam 15,,"Christchurch Public Hospital Great Escape Café, Level 1, 2 Riccarton Avenue",14,0,0,32,0,122,1,55,2,2,0,0,0,0,0,5,0,233,5
Ilam 15,,"South City Shopping Mall, 555 Colombo Street",19,3,4,51,0,133,0,113,2,9,1,0,1,0,0,4,0,340,0
Ilam 15,,"Tūranga Library (Spark Place Ground floor), 60 Cathedral Square",21,1,0,51,0,121,0,60,8,2,0,1,0,0,0,9,0,274,0
Ilam 15,Cracroft,"Christchurch Adventure Park, 225 Worsleys Road",4,0,0,5,0,5,0,9,0,1,0,0,0,0,0,0,0,24,0
Ilam 15,Fendalton,"Christchurch Boys' High School, Straven Block, 71 Straven Road (Kahu Road entrance)",16,0,0,9,0,56,0,63,0,6,0,0,0,0,0,3,0,153,0
Ilam 15,,"Fendalton Community Centre, 170 Clyde Road",436,20,0,299,0,1488,6,1581,27,45,4,4,2,2,4,20,0,3938,17
Ilam 15,Harewood,"Business Park, 100 Orchard Road",26,1,0,8,0,62,0,76,3,1,0,0,0,0,0,2,0,179,0
Ilam 15,Hei Hei,"Gilberthorpe School, 163 Gilberthorpes Road",1,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,6,0
Ilam 15,Hornby,"The Hub Hornby Shop 56 (opposite Pascoes), 418 Main South Road",24,4,1,21,0,183,0,80,9,7,1,1,0,0,0,5,1,337,4
Ilam 15,Ilam,"University Canterbury, Student Association Haere-Roa, Ilam Road",24,0,2,151,0,207,2,101,5,2,0,0,0,1,0,32,0,527,1
Ilam 15,,"University of Canterbury, James Hight Library, Ilam Campus, Ilam Road",102,3,0,597,0,729,14,274,18,20,2,4,0,6,1,132,1,1903,6
Ilam 15,Lincoln,"Lincoln University, George Forbes Memorial Library, Corner Ellesmere Junction & Springs Roads",3,0,0,2,0,3,0,6,0,1,0,0,0,0,0,2,0,17,0
Ilam 15,Merivale,"Rangi Ruru Girls' School, Helen Kitson Function Centre, 59 Hewitts Road",57,0,0,46,0,173,0,198,3,1,1,0,0,1,0,5,0,485,3
Ilam 15,Northwood,"Northwood Supa Centa (old Caesars Restaurant), 1 Radcliffe Rd",5,1,0,7,0,34,0,16,2,3,0,0,0,0,0,0,0,68,0
Ilam 15,Papanui,"Casebrook Intermediate School, 90 Veitches Road",0,0,0,1,0,17,0,1,1,1,0,0,0,0,0,0,0,21,0
Ilam 15,,"North City Church Hall, 95a Sawyers Arms Road",4,1,0,5,0,35,0,20,6,2,0,1,0,0,0,0,0,74,0
Ilam 15,,"Northlands Mall, near Farmers, 55 Main North Road",62,5,3,90,0,432,4,192,11,10,1,0,0,3,0,10,2,825,4
Ilam 15,,"Northlands Mall, Sissons Road Car Park (opposite ASB), 55 Main North Road",149,14,5,159,0,1144,5,456,25,40,4,2,0,5,1,24,0,2033,12
Ilam 15,,"Paparoa Street School Hall, 120 Paparoa Street",0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,6,0
Ilam 15,,"Waimairi School Hall, 1 Tillman Avenue",46,0,0,32,0,155,2,80,1,6,0,0,1,0,0,9,0,332,0
Ilam 15,Rangiora,"East High Street Business Park (near The Warehouse), 13 High Street",4,0,0,4,0,3,0,1,0,0,0,0,0,0,0,3,0,15,0
Ilam 15,Riccarton,"Rārākau Riccarton Community Centre, 199 Clarence Street",33,0,2,46,0,155,1,113,4,6,0,0,1,0,0,5,0,366,4
Ilam 15,,"Westfield Mall Riccarton, Level 2, 129 Riccarton Road",96,5,4,148,1,566,1,402,13,19,1,1,1,1,0,21,0,1280,5
Ilam 15,,"Wharenui School Hall, 32 Matipo Street",4,0,0,1,0,11,0,6,0,1,0,0,0,0,0,0,0,23,0
Ilam 15,Sockburn,"Riccarton Primary School Hall, 1 English Street",0,1,0,1,0,4,0,1,0,1,0,0,0,0,0,1,0,9,0
Ilam 15,Sydenham,"Powell Fenwick Building, 383 Colombo Street",12,0,0,9,0,33,0,23,1,1,0,0,0,0,0,6,0,85,1
Ilam 15,Tower Junction,"Tower Junction Shop, next to EZIBUY, Whiteleigh Avenue",37,0,0,20,0,131,0,104,2,1,0,0,0,0,0,6,0,301,2
Ilam 15,Upper Riccarton,"Bush Inn Centre (Old Post Shop), Corner Riccarton & Waimairi Roads",187,6,5,257,0,1174,6,680,32,42,3,4,1,1,4,53,0,2455,13
Ilam 15,,"Upper Riccarton Community & School Library, 71 Main South Road",20,1,1,45,0,228,1,110,8,9,0,2,0,0,1,5,0,431,3
Ilam 15,Woolston,"Ara Woolston Campus, Student Services Building, Corner Ensors Road & Sullivan Avenue",2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,7,0
Ilam 15,Non-place,Postal Votes Received,0,0,0,0,0,11,0,6,0,1,0,0,0,0,0,0,0,18,0
Ilam 15,Akaroa,"Akaroa Area School Gymnasium, 141 Rue Jolie (Selwyn Avenue entrance)",5,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,11,0
Ilam 15,Avonhead,"Avonhead Kindergarten, 49 Staveley Street",28,7,1,19,0,154,2,95,7,15,0,0,0,0,0,6,0,334,5
Ilam 15,,"Avonhead Primary School Hall, 55 Avonhead Road",46,1,0,42,0,201,2,166,5,12,0,0,0,2,0,8,0,485,2
