Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
West Coast-Tasman 61,Non-place,Mobile Team - Taken West Coast-Tasman,27,4,0,0,1,101,0,15,25,1,0,0,0,0,0,0,1,175,3
West Coast-Tasman 61,Non-place,Rest Homes Team - West Coast,2,0,0,0,0,65,0,27,0,6,0,0,0,0,0,0,0,100,2
West Coast-Tasman 61,Bainham,"Bainham Hall, McKay Pass Road",3,2,0,6,0,9,1,17,0,0,1,0,0,0,0,0,0,39,0
West Coast-Tasman 61,Brightwater,"Brightwater School, 106 Ellis Street",67,6,1,28,0,238,1,139,2,9,2,0,0,0,0,4,1,498,2
West Coast-Tasman 61,Carters Beach,"Carters Beach Hall, Marine Parade",7,0,0,0,0,26,0,11,0,1,0,0,0,0,0,1,0,46,0
West Coast-Tasman 61,Cobden,"Cobden School, 53 Fox Street",6,0,0,3,0,49,0,16,0,2,0,0,0,0,0,1,0,77,1
West Coast-Tasman 61,Greymouth,"Former House of Travel Building, 109 Mackay Street",189,31,11,79,0,1243,5,699,28,64,5,2,10,2,2,16,1,2387,23
West Coast-Tasman 61,,"Greymouth High School, High Street",23,3,1,10,0,85,2,45,0,4,0,0,0,0,0,0,0,173,1
West Coast-Tasman 61,,"Tai Poutini Polytechnic, Conference Room, 73-87 Tainui Street",66,6,6,50,0,507,3,221,17,34,11,3,5,0,0,4,0,933,7
West Coast-Tasman 61,Haast,"Okuru Hall, 1350 Haast-Jackson Bay Road",1,0,1,1,0,0,0,6,2,0,0,0,0,0,0,0,0,11,0
West Coast-Tasman 61,Hokitika,"Hokitika Westland RSA, 22 Sewell Street",204,20,9,124,0,874,3,696,19,45,8,2,7,0,0,21,0,2032,12
