Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Palmerston North 36,Non-place,Rest Homes Team - Taken in Palmerston North,0,1,0,5,0,83,3,42,0,5,1,1,0,0,0,1,0,142,3
Palmerston North 36,Ashhurst,"River Church, 131 Cambridge Avenue",9,1,0,9,0,31,0,19,3,0,0,1,0,0,0,1,0,74,3
Palmerston North 36,Feilding,"Feilding Civic Centre, 84 Aorangi St",15,1,2,4,0,39,0,24,0,1,0,1,0,0,0,1,0,88,1
Palmerston North 36,Highbury,"St Michael's Church Hall, 52 Pembroke Street",51,19,5,61,0,873,9,185,17,37,1,4,1,1,0,13,1,1278,16
Palmerston North 36,Hokowhitu,"College Street Normal School Hall, 402 College Street",38,3,1,51,0,260,0,137,6,5,0,1,0,0,3,8,0,513,1
Palmerston North 36,,"Hokowhitu School Hall, 227 Albert Street",44,0,0,42,0,268,0,135,6,15,0,0,0,0,1,9,0,520,3
Palmerston North 36,,"Winchester School Hall, 552 Ruahine Street",15,2,0,48,0,214,1,99,9,6,1,0,0,0,0,5,0,400,7
Palmerston North 36,Kelvin Grove,"Cornerstone Christian School, Administration Building, 119 Mihaere Drive",71,5,1,28,0,493,0,244,17,22,0,0,0,0,0,11,0,892,6
Palmerston North 36,Linton,"Linton Camp School, Puttick Road",2,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,9,0
Palmerston North 36,Non-place,Manawatu Prison mobile team,1,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,16,0
Palmerston North 36,Longburn,"Longburn Community Hall, Ngaire St",0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,6,0
Palmerston North 36,Marton,"St Andrew's Presbyterian Church Hall, 226 Broadway",0,1,0,1,0,9,0,2,0,1,0,0,0,0,0,2,0,16,0
Palmerston North 36,Milson,"Milson School Hall, 7 Rutland Place",39,2,1,19,0,329,0,115,7,23,0,2,0,0,0,10,1,548,4
Palmerston North 36,,"St Peter's College, 3 Holdsworth Avenue",34,4,0,12,0,191,1,89,3,8,0,0,0,1,0,6,1,350,5
Palmerston North 36,Newbury,"Newbury School, 906 Rangitikei Line",1,0,0,2,0,2,0,5,0,1,0,0,0,0,0,0,0,11,0
Palmerston North 36,Palmerston North,"AMP Building, 36 Broadway Avenue",160,9,4,189,1,1325,13,539,39,56,1,5,0,2,1,47,4,2395,13
Palmerston North 36,,"Awapuni School Hall, 18 Rochester Street",6,1,0,6,0,161,2,39,5,10,0,0,0,0,0,2,0,232,4
Palmerston North 36,,"Central Normal School Hall, 201 Featherston Street",20,5,0,35,0,233,1,76,3,7,0,0,0,0,0,2,0,382,2
Palmerston North 36,,"Cloverlea School Hall, 55 Herbert Avenue",25,3,2,14,0,241,1,63,4,8,0,2,0,0,0,9,1,373,1
Palmerston North 36,,"Hearing Association Manawatu, 435 Church Street",130,18,6,139,0,906,3,403,22,51,0,8,0,2,0,38,1,1727,5
Palmerston North 36,,"MUSA Student Centre Lounge, Massey University Concourse, University Drive",72,5,2,217,0,442,5,142,17,16,0,2,0,4,0,50,0,974,2
Palmerston North 36,,"Palmerston North Bridge Club, 3 Cook Street",144,28,4,152,2,1024,2,480,29,58,0,5,1,0,1,40,2,1972,7
Palmerston North 36,,"Palmerston North Girls' High School, Huia Centre, 3 Huia Street",21,1,0,15,0,122,1,56,2,2,0,0,0,0,0,4,0,224,0
Palmerston North 36,,"Russell Street School Hall, 19-31 Russell Street",26,1,1,36,0,202,1,90,3,12,0,0,0,0,0,4,0,376,0
Palmerston North 36,,"Somerset Crescent School Hall, 45 Somerset Crescent",7,0,1,8,0,120,0,41,0,7,0,0,0,0,0,3,0,187,4
Palmerston North 36,,"St Luke's Lutheran Church Hall, 250 Church Street",2,0,0,6,0,45,2,13,3,2,0,0,0,0,0,2,0,75,0
Palmerston North 36,,"Summerhill Shopping Centre, Unit 2.8, 194 Ruapehu Drive",61,8,1,30,0,286,1,172,10,10,0,1,1,0,0,8,0,589,6
Palmerston North 36,,"Te Manawa Museum, 326 Main Street",318,33,14,535,1,3051,27,1169,108,130,2,17,1,2,0,103,1,5512,27
Palmerston North 36,Parkland,"Parkland School Hall, 41 Parkland Crescent",18,0,0,33,0,166,1,65,1,9,0,0,0,0,0,5,0,298,1
Palmerston North 36,Riverdale,"Riverdale School Hall, 95 Slacks Road",32,2,0,34,0,202,1,79,4,12,0,0,0,0,0,7,0,373,1
Palmerston North 36,Roslyn,"Roslyn School Hall, 38 Kipling Street",17,4,1,18,0,234,0,71,1,12,1,2,0,1,0,10,0,372,5
Palmerston North 36,Takaro,"Monrad Intermediate School Hall, 228 Botanical Road",19,2,0,19,0,185,2,42,5,13,2,0,0,1,0,3,0,293,2
Palmerston North 36,Terrace End,"Terrace End School Hall, 183-209 Ruahine Street",29,3,0,28,0,331,0,107,7,14,0,0,0,0,0,8,0,527,7
Palmerston North 36,West End,"West End School Hall, 395-427 Botanical Road",19,2,0,35,0,223,2,81,4,10,0,0,0,0,0,8,0,384,3
Palmerston North 36,Whakarongo,"Whakarongo Community Hall, 17 Stoney Creek Road",4,0,0,2,0,17,0,8,0,1,0,0,0,0,0,1,0,33,1
Palmerston North 36,Aokautere,"Aokautere School Hall, 169 Fitzherbert East Road",2,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,8,0
Palmerston North 36,Ashhurst,"River Church, 131 Cambridge Avenue",1,0,0,1,0,5,0,7,0,0,0,0,0,0,0,0,0,14,0
Palmerston North 36,,"Village Valley Community Centre, Corner Winchester & Guildford Streets",2,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,8,0
Palmerston North 36,Bulls,"Clifton School, 3 Clifton Street",0,1,0,2,0,4,0,1,1,0,0,0,0,0,0,1,0,10,0
Palmerston North 36,Bunnythorpe,"Bunnythorpe School, 5 Baring Street",0,0,0,2,0,2,0,2,1,0,0,0,0,0,0,0,0,7,0
Palmerston North 36,Feilding,"Feilding Civic Centre, 84 Aorangi St",4,0,0,1,0,14,0,1,0,3,0,0,0,0,0,0,0,23,0
Palmerston North 36,,"St Brigids Community Hall, 55 Derby Street",2,0,0,0,0,3,0,2,0,2,0,0,0,0,0,1,0,10,0
Palmerston North 36,Highbury,"St Michael's Church Hall, 52 Pembroke Street",10,6,0,8,0,153,2,34,14,7,0,3,0,0,0,5,0,242,3
Palmerston North 36,,"Takaro School, 24 Brighton Crescent",3,0,0,4,0,46,0,8,1,2,0,0,0,0,0,1,0,65,1
Palmerston North 36,Hokowhitu,"College Street Normal School Hall, 402 College Street",56,3,1,33,0,218,2,158,11,18,0,1,0,0,0,11,0,512,1
Palmerston North 36,,"Hokowhitu School Hall, 227 Albert Street",50,3,0,30,0,184,5,135,4,7,1,2,0,1,0,11,0,433,1
Palmerston North 36,,"Ryder-Cheshire Centre, 114 Te Awe Awe Street",16,0,1,10,0,80,1,84,2,6,0,0,2,0,0,0,0,202,1
Palmerston North 36,,"St Alban's Church, 339 Albert Street",26,3,0,26,0,150,0,132,18,16,0,3,0,0,0,4,0,378,1
Palmerston North 36,,"Winchester School Hall, 552 Ruahine Street",38,4,0,42,0,169,2,125,7,13,1,1,0,0,0,7,2,411,3
Palmerston North 36,Kairanga,"Kairanga Community Centre, 1103 Kairanga Bunnythorpe Road",2,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,8,0
Palmerston North 36,Kelvin Grove,"Cornerstone Christian School, Administration Building, 119 Mihaere Drive",75,1,0,16,0,400,4,299,47,37,0,2,0,0,0,13,0,894,7
Palmerston North 36,,"Kelvin Grove Community Centre, 68 Kaimanawa Street",23,6,3,13,0,208,3,72,12,21,0,3,0,0,0,3,0,367,1
Palmerston North 36,Linton,"Linton Camp School, Puttick Road",1,0,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,7,0
Palmerston North 36,Longburn,"Longburn Community Hall, Ngaire St",6,0,0,0,0,11,0,3,0,0,0,0,0,0,0,1,0,21,0
Palmerston North 36,Marton,"St Andrew's Presbyterian Church Hall, 226 Broadway",0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0
Palmerston North 36,Milson,"Milson School Hall, 7 Rutland Place",34,12,1,20,0,296,2,129,11,24,0,3,0,0,0,11,2,545,2
Palmerston North 36,,"St Peter's College, 3 Holdsworth Avenue",30,3,1,17,1,197,4,99,4,9,0,0,0,0,0,6,1,372,3
Palmerston North 36,Newbury,"Newbury School, 906 Rangitikei Line",3,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,17,0
Palmerston North 36,Opiki,"Opiki Public Hall, 926 Opiki Road (State Highway 56)",2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,6,0
Palmerston North 36,Palmerston North,"AMP Building, 36 Broadway Avenue",9,2,0,7,0,65,0,36,5,2,0,0,0,0,0,2,0,128,0
Palmerston North 36,,"Awapuni Community Centre, 22 Newbury Street",8,1,0,13,0,90,0,24,9,12,0,2,0,0,0,6,0,165,0
Palmerston North 36,,"Awapuni School Hall, 18 Rochester Street",28,3,0,18,0,245,2,68,14,13,1,1,0,0,0,8,0,401,2
Palmerston North 36,,"Central Normal School Hall, 201 Featherston Street",40,5,1,45,0,289,2,120,12,21,3,1,0,1,0,7,0,547,4
Palmerston North 36,,"Christian Church of Samoa, 39 Havelock Avenue",7,0,1,3,0,110,1,33,1,11,1,0,0,0,0,1,0,169,0
Palmerston North 36,,"Cloverlea School Hall, 55 Herbert Avenue",20,5,3,8,0,179,1,55,3,8,0,3,0,0,0,2,0,287,4
Palmerston North 36,,"Palmerston North Bridge Club, 3 Cook Street",26,3,1,14,0,119,3,48,6,10,0,1,0,0,0,8,0,239,5
Palmerston North 36,,"Palmerston North Girls' High School, Huia Centre, 3 Huia Street",17,2,1,18,0,91,1,61,9,2,0,0,0,0,0,5,0,207,1
Palmerston North 36,,"Public Hospital Education Centre Hall, Gate 12, 50 Ruahine Street",7,1,0,6,0,79,0,11,3,1,0,0,0,0,0,9,0,117,1
Palmerston North 36,,"Russell Street School Hall, 19-31 Russell Street",39,1,0,33,0,260,3,132,9,17,0,1,0,0,1,11,2,509,2
Palmerston North 36,,"Somerset Crescent School Hall, 45 Somerset Crescent",23,0,0,7,0,133,3,42,5,8,0,3,0,1,0,2,0,227,1
Palmerston North 36,,"St Luke's Lutheran Church Hall, 250 Church Street",7,2,1,8,0,57,0,20,2,5,0,0,1,0,0,2,0,105,0
Palmerston North 36,,"Summerhill Shopping Centre, Unit 2.8, 194 Ruapehu Drive",10,1,0,2,0,20,0,10,0,3,0,0,0,0,0,2,0,48,2
Palmerston North 36,,"Te Manawa Museum, 326 Main Street",14,4,3,27,0,153,1,53,9,15,0,2,1,1,0,8,1,292,3
Palmerston North 36,,"The Salvation Army Hall, 431 Church Street",7,1,0,15,0,72,0,38,0,4,0,0,0,0,0,3,0,140,1
Palmerston North 36,Parkland,"Parkland School Hall, 41 Parkland Crescent",35,1,0,25,0,180,0,84,5,16,0,3,0,0,0,7,0,356,2
Palmerston North 36,Riverdale,"Riverdale School Hall, 95 Slacks Road",48,3,0,29,0,269,2,133,8,18,0,1,0,0,0,6,1,518,2
Palmerston North 36,Roslyn,"Roslyn School Hall, 38 Kipling Street",28,7,2,9,0,153,2,49,10,9,0,2,0,0,0,1,0,272,2
Palmerston North 36,,"Ross Intermediate School Hall, 25 Freyberg Street",8,2,0,9,0,91,1,47,10,7,0,0,0,1,0,1,0,177,1
Palmerston North 36,Takaro,"Monrad Intermediate School Hall, 228 Botanical Road",21,6,2,9,0,170,2,56,5,11,0,2,0,0,0,6,1,291,2
Palmerston North 36,Taonui,"Te Arakura Taonui Hall, 170 Waughs Road",2,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,9,1
Palmerston North 36,Terrace End,"Rangiora Community Centre, 98-102 Rangiora Avenue",23,1,3,16,0,166,0,50,2,13,0,1,0,0,1,1,0,277,4
Palmerston North 36,,"Terrace End School Hall, 183-209 Ruahine Street",30,4,1,29,0,264,3,87,12,19,0,4,1,0,0,9,0,463,5
Palmerston North 36,Tokomaru,"Tokomaru Hall, 761 Makerua Rd (SH57)",0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,10,0
