Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Whangaparāoa 63,Albany,"Albany Community Hub, 575 Albany Highway",131,14,4,66,0,426,2,391,23,12,0,1,0,2,2,14,1,1089,8
Whangaparāoa 63,,"Albany Senior High School, 536 Albany Highway",7,2,1,0,0,20,0,24,0,0,0,0,0,0,1,0,0,55,0
Whangaparāoa 63,,"Westfield Mall, 219 Don McKinnon Drive",158,15,5,69,0,540,2,567,27,14,1,0,1,1,3,11,0,1414,3
Whangaparāoa 63,Coatesville,"Coatesville Settlers Hall, 4 Mahoenui Valley Road",42,1,1,16,0,63,0,148,2,4,1,0,0,0,0,1,0,279,1
Whangaparāoa 63,Dairy Flat,"Dairy Flat School, 1220 State Highway 17",67,1,0,19,0,113,0,187,8,12,0,2,0,0,2,4,0,415,1
Whangaparāoa 63,Gulf Harbour,"Wentworth College, 65 Gulf Harbour Drive",91,5,1,31,1,301,1,242,11,8,0,2,0,1,2,3,0,700,3
Whangaparāoa 63,Kaukapakapa,"Kaukapakapa Memorial Hall, 947 Kaipara Coast Highway",1,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,10,0
Whangaparāoa 63,Manly,"Manly Methodist Church, 945 Whangaparaoa Road",263,28,3,100,0,997,4,883,49,56,2,5,1,6,0,9,0,2406,10
Whangaparāoa 63,,"Whangaparāoa Primary School, 39 Ladies Mile",20,1,0,11,0,130,0,66,3,3,0,1,0,2,0,7,0,244,0
Whangaparāoa 63,Milford,"Milford Shopping Centre, Shop next to Whitcoulls, 24 Milford Road",9,2,0,4,0,30,0,36,0,1,0,0,0,0,0,0,0,82,0
Whangaparāoa 63,Northcote,"AUT North Campus, AF113A, 90 Akoranga Drive",1,0,0,1,0,5,0,3,0,0,0,0,0,1,0,1,0,12,0
Whangaparāoa 63,Orewa,"Hibiscus Coast Youth Centre, 214D Hibiscus Coast Highway",52,2,1,29,0,187,0,151,18,6,1,0,0,0,0,3,0,450,2
Whangaparāoa 63,,"Orewa Beach School, 280 Centreway Road",40,8,1,28,2,149,0,161,6,3,0,0,0,0,0,2,0,400,1
Whangaparāoa 63,,"Orewa College, 76 Riverside Road",23,0,1,3,0,73,0,55,5,5,0,0,0,0,0,0,0,165,0
Whangaparāoa 63,,"Orewa Community Centre, 40-46 Orewa Square",678,65,12,237,0,2555,6,2400,125,169,5,6,2,6,2,42,1,6311,25
Whangaparāoa 63,,"Orewa Primary School, 86 Maire Road",11,1,1,6,0,74,0,97,3,3,0,0,0,1,1,1,0,199,0
Whangaparāoa 63,Paremoremo,"Ridgeview School, 1 Cutts Crescent",20,0,0,8,0,60,1,48,1,1,0,0,0,0,0,3,0,142,0
Whangaparāoa 63,Red Beach,"Red Beach Methodist Church, 76 Red Beach Road",218,18,3,85,0,1037,4,931,59,68,0,6,2,3,0,23,0,2457,7
Whangaparāoa 63,Silverdale,"Millwater Your Place Childcare, 165 Wainui Road",24,0,0,5,0,82,0,116,13,1,1,0,0,0,0,3,0,245,1
Whangaparāoa 63,,"Northgate Baptist Church, 6 Hibiscus Coast Highway",81,10,0,29,0,199,0,283,19,16,1,0,0,4,0,10,0,652,2
Whangaparāoa 63,,"Silverdale Centre, Shop 12, 61 Silverdale Street",534,42,12,213,0,1787,8,1908,115,50,3,9,0,3,11,60,0,4755,11
Whangaparāoa 63,,"Silverdale Primary School, 4 Longmore Lane",37,0,0,16,0,81,0,106,10,2,0,0,0,0,0,0,0,252,1
Whangaparāoa 63,Stanmore Bay,"Stanmore Bay Pool and Leisure Centre, 159 Brightside Road",20,0,0,14,0,134,0,57,2,6,0,0,0,4,0,3,0,240,1
Whangaparāoa 63,,"Stanmore Bay School, 30 Waiora Road",44,8,0,10,0,166,0,115,11,6,0,0,0,1,0,8,0,369,0
Whangaparāoa 63,Stillwater,"Stillwater Community Hall, 1A Duck Creek Road",12,0,0,8,0,73,0,34,2,2,0,0,0,0,0,2,0,133,0
Whangaparāoa 63,Takapuna,"Takapuna War Memorial Hall, 7 The Strand",3,0,0,5,0,14,0,12,1,0,0,0,0,0,0,0,0,35,0
Whangaparāoa 63,Whangaparāoa,"Coast Plaza Whangaparāoa, Shop 308, 719 Whangaparaoa Road",587,74,9,315,0,2710,5,1849,137,134,5,6,1,8,1,63,2,5906,36
Whangaparāoa 63,Albany,"Albany Community Hall, Corner Albany Highway & Library Lane",35,6,0,12,0,102,2,106,8,5,1,0,0,0,1,7,0,285,0
Whangaparāoa 63,,"Albany Community Hub, 575 Albany Highway",15,4,0,9,0,63,0,56,3,5,0,0,0,0,0,7,0,162,0
Whangaparāoa 63,,"Albany Senior High School, 536 Albany Highway",3,1,0,4,0,10,1,12,0,0,0,0,0,0,0,0,0,31,0
Whangaparāoa 63,,"Westfield Mall, 219 Don McKinnon Drive",22,1,2,6,0,40,0,52,2,4,1,0,0,0,0,2,0,132,1
Whangaparāoa 63,Coatesville,"Coatesville Settlers Hall, 4 Mahoenui Valley Road",54,1,1,14,0,77,1,185,6,3,0,0,1,0,0,5,0,348,1
Whangaparāoa 63,Dairy Flat,"Dairy Flat School, 1220 State Highway 17",38,4,0,9,0,111,2,153,8,8,0,0,0,1,0,3,0,337,0
Whangaparāoa 63,Gulf Harbour,"Wentworth College, 65 Gulf Harbour Drive",89,3,0,27,0,215,0,240,18,17,0,0,0,0,2,7,1,619,2
Whangaparāoa 63,Kaukapakapa,"Kaukapakapa Memorial Hall, 947 Kaipara Coast Highway",0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,7,0
Whangaparāoa 63,Manly,"Manly Methodist Church, 945 Whangaparaoa Road",57,4,0,18,0,149,2,191,11,24,2,2,0,0,0,5,0,465,1
Whangaparāoa 63,,"Whangaparāoa Primary School, 39 Ladies Mile",40,9,0,11,0,118,0,110,8,13,0,0,0,0,0,7,0,316,2
Whangaparāoa 63,Orewa,"Hibiscus Coast Youth Centre, 214D Hibiscus Coast Highway",25,3,1,14,0,39,0,40,4,1,0,0,0,1,2,5,0,135,0
Whangaparāoa 63,,"Orewa Beach School, 280 Centreway Road",41,4,0,25,0,116,3,137,6,16,0,1,0,0,0,2,0,351,0
Whangaparāoa 63,,"Orewa College, 76 Riverside Road",26,3,1,12,0,85,0,100,10,8,0,0,0,0,0,2,0,247,3
Whangaparāoa 63,,"Orewa Community Centre, 40-46 Orewa Square",64,9,1,21,0,222,1,213,16,30,0,0,0,0,0,10,0,587,2
Whangaparāoa 63,,"Orewa Primary School, 86 Maire Road",25,2,1,7,0,72,0,99,2,4,0,1,0,2,0,4,0,219,2
Whangaparāoa 63,Paremoremo,"Ridgeview School, 1 Cutts Crescent",32,1,1,14,0,81,1,90,6,4,0,0,1,1,0,6,0,238,1
Whangaparāoa 63,Red Beach,"Red Beach Methodist Church, 76 Red Beach Road",64,2,1,17,0,193,1,241,13,14,1,0,0,0,0,10,0,557,0
Whangaparāoa 63,,"Red Beach School, 20 Albert Hall Drive",31,4,0,15,0,105,1,112,11,8,0,0,1,0,0,6,0,294,1
