Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Upper Harbour 55,Albany,"Pinehurst School, 75 Bush Road",5,0,0,2,0,19,0,12,0,0,0,0,0,0,0,0,0,38,0
Upper Harbour 55,,"Westfield Mall, 219 Don McKinnon Drive",51,8,2,33,0,266,2,222,14,15,1,1,0,2,2,6,0,625,1
Upper Harbour 55,Auckland City,"Liston Hall, 30-32 Hobson Street",3,0,0,4,0,2,0,7,0,1,0,0,0,0,0,1,0,18,0
Upper Harbour 55,Birkenhead,"Shop T30 Highbury Mall, Corner Highbury Bypass & Birkenhead Avenue",6,0,0,3,0,31,0,17,0,2,0,0,0,0,0,1,0,60,0
Upper Harbour 55,Glenfield,"Bayview Primary School, 60 Bayview Road",72,4,3,82,0,605,0,219,19,11,0,1,0,0,3,18,0,1037,8
Upper Harbour 55,,"Girl Guides Glenfield (next to Glenfield War Memorial Hall), Hall Road",59,2,2,41,0,392,2,215,14,17,0,1,0,0,1,9,0,755,3
Upper Harbour 55,,"Glenfield College, 52-60 Kaipatiki Road",7,0,0,7,0,42,0,18,0,1,0,0,0,1,0,1,0,77,0
Upper Harbour 55,,"Glenfield Primary School, 101 Chivalry Road",11,0,1,8,0,74,0,46,3,2,0,0,0,0,0,0,1,146,2
Upper Harbour 55,,"Glenfield War Memorial Hall, Hall Road",8,1,0,7,0,46,0,26,4,1,0,0,0,0,0,0,0,93,1
Upper Harbour 55,,"Meadowood Community House, Unsworth Heights, 55 Meadowood Drive",101,5,2,41,0,645,1,485,30,19,1,0,2,3,7,22,0,1364,10
Upper Harbour 55,,"St Thomas More Catholic Church Hall, Glenfield, 4 St Thomas More Lane",62,4,3,55,0,518,1,315,50,24,1,1,0,0,1,18,1,1054,8
Upper Harbour 55,,"Target Road Primary School, Totara Vale, 80 Target Road",59,3,2,61,0,511,0,273,35,36,1,5,0,1,2,10,0,999,6
Upper Harbour 55,,"The Salvation Army Glenfield, 430 Glenfield Road (corner Glenfield & Kaipatiki Roads)",51,3,8,49,0,511,4,245,29,18,1,0,0,1,7,16,0,943,6
Upper Harbour 55,,"Westminster Christian School, Unsworth Heights, 31 Westminster Gardens",8,0,0,7,0,69,0,60,8,1,0,2,0,0,1,1,0,157,0
Upper Harbour 55,Greenhithe,"Greenhithe Community Hall, 7 Greenhithe Road",143,5,2,64,0,407,2,429,7,11,0,2,0,1,1,11,0,1085,5
Upper Harbour 55,,"Greenhithe School Hall, Sunnyview Road Entrance (next to 6 Sunnyview Road)",94,1,1,39,0,258,0,283,8,10,0,0,1,2,7,9,0,713,1
Upper Harbour 55,,"St Michael's Anglican Church Hall, Greenhithe, 12 Greenhithe Road",55,3,0,17,0,157,1,208,4,8,1,5,0,1,0,8,0,468,3
Upper Harbour 55,,"Upper Harbour Primary School, Schnapper Rock, 140 Kyle Road",30,4,0,12,0,106,0,158,5,2,1,1,0,1,3,6,0,329,4
Upper Harbour 55,Henderson,"Te Pai Centre Waitākere Netball, 31-35 Te Pai Place",5,0,0,5,0,56,0,15,0,3,0,0,0,0,0,1,0,85,1
Upper Harbour 55,,"Waitākere Central Library, 3 Ratanui Street",0,0,1,5,0,17,0,5,1,0,0,0,0,0,0,0,1,30,0
Upper Harbour 55,,"West City Mall, Level 1 (former Life Pharmacy shop), 7 Catherine Street",8,3,4,12,0,148,5,60,0,2,0,1,0,0,0,0,1,244,9
Upper Harbour 55,Hobsonville,"Hobsonville School, 104 Hobsonville Road",9,0,0,7,0,60,0,51,0,6,0,0,0,0,1,1,0,135,0
Upper Harbour 55,Hobsonville Point,"Catalina Bay (building opposite Farmers Market), Hobsonville Point, Hudson Bay Road Extension",91,7,0,97,0,363,1,342,8,8,1,0,0,1,2,19,0,940,2
Upper Harbour 55,,"Hobsonville Point Primary School, 18 De Havilland Road",63,1,0,52,0,257,3,247,3,6,0,1,0,1,3,17,0,654,1
Upper Harbour 55,,"Hobsonville Point Secondary School, 70 Hobsonville Point Road",147,7,0,85,1,617,1,562,15,6,0,4,0,4,3,23,0,1475,10
Upper Harbour 55,,"Sunderland Lounge, Hobsonville Point, 27 Hudson Bay Road",24,0,0,23,0,131,1,127,4,2,0,0,0,1,0,4,0,317,0
Upper Harbour 55,Mairangi Bay,"Mairangi Bay Community Church, 49 Maxwelton Drive",7,0,0,4,0,21,0,17,3,1,0,0,0,0,0,1,0,54,0
Upper Harbour 55,Massey,"Colwill School, Royal Heights, Massey East, Kintara Drive",9,0,0,6,0,117,0,48,3,6,0,0,0,0,0,2,0,191,0
Upper Harbour 55,,"Lincoln Heights School, Massey West, 16 Keegan Drive",5,0,0,12,0,95,0,17,2,2,0,0,0,0,0,0,0,133,2
Upper Harbour 55,,"Massey Community Hub Massey Matters, Massey West, 385 Don Buck Road",21,4,0,22,0,310,5,74,8,14,0,1,0,1,2,4,1,467,4
Upper Harbour 55,,"Massey High School, Massey West, 274 Don Buck Road",52,5,2,29,0,553,3,189,14,21,0,5,0,1,1,17,0,892,9
Upper Harbour 55,,"Massey Methodist Church, Massey West, 112 Waimumu Road",39,6,5,54,0,561,2,185,21,21,1,8,0,0,1,14,0,918,5
Upper Harbour 55,,"Westgate Shopping Centre, Shop F18 (former Sierra Cafe), 6 Maki Street",144,13,10,118,0,1339,7,551,34,44,0,4,1,1,5,26,3,2300,9
Upper Harbour 55,Milford,"Milford Shopping Centre, Shop next to Whitcoulls, 24 Milford Road",12,2,0,16,0,97,0,63,4,3,0,1,0,0,0,2,0,200,1
