Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Waikato 56,Cambridge,"Cambridge East School, Corner Bowen & Williams Streets",10,0,0,7,0,18,0,15,0,1,0,0,0,0,0,0,0,51,0
Waikato 56,,"Cambridge High School, 25 Swayne Road",19,0,0,1,0,33,0,23,0,1,0,0,2,0,0,0,0,79,0
Waikato 56,,"Cambridge Primary School, 3 Wilson Street",14,0,1,0,0,21,0,23,3,0,0,0,0,0,0,1,0,63,0
Waikato 56,,"Hautapu Rugby Club, 211 Victoria St",111,4,1,23,0,211,1,363,11,20,0,1,1,0,0,13,0,760,2
Waikato 56,,"Leamington Primary School, Corner Lamb & Scott Streets",1,0,0,1,0,8,0,4,1,0,0,0,0,0,0,0,0,15,0
Waikato 56,,"Victoria Room, Cambridge Town Hall, Corner Queen & Victoria Streets",97,3,0,42,0,316,1,380,16,25,2,0,1,0,0,7,0,890,3
Waikato 56,Chartwell,"Chartwell Shopping Centre, Second Floor, opposite customer services desk, 201 Hukanui Road",55,2,1,20,0,186,3,233,10,7,0,3,0,0,0,5,2,527,4
Waikato 56,,"Life & Light Community Centre, 703 Wairere Drive",5,0,0,0,0,16,0,18,3,1,0,0,0,0,0,0,0,43,1
Waikato 56,,"Lynden Court, 7/13 Lynden Court",20,1,0,6,0,85,2,93,8,5,0,0,0,0,0,1,0,221,1
Waikato 56,Claudelands,"Claudelands, The Grandstand, Gate 2, 800 Heaphy Terrace",30,2,0,12,0,69,3,57,3,4,0,0,0,0,0,4,0,184,3
Waikato 56,Flagstaff,"Te Ao Mārama, 33 Hare Puke Drive",7,0,0,2,0,44,0,45,3,0,0,0,0,0,0,0,0,101,0
Waikato 56,Gordonton,"Gordonton School, 50 Woodlands Road",12,0,0,5,0,27,3,57,5,2,0,2,0,0,0,5,0,118,0
Waikato 56,Hamilton Central,"311 Victoria Street, (formerly WINZ Community Hub)",26,0,0,11,0,91,0,85,2,0,0,0,0,0,0,11,0,226,2
Waikato 56,Hamilton East,"St John's Methodist Church Centre, 20 Wellington Street",44,0,1,16,0,101,0,115,3,5,0,2,0,0,0,1,0,288,2
