Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Bay of Plenty 3,,"University of Waikato - Tauranga Campus, Durham Street",3,0,0,5,0,21,0,12,1,1,0,0,0,0,0,4,0,47,0
Bay of Plenty 3,Arataki,"Arataki School, 4 Kaimanawa Street",7,4,1,5,0,80,0,29,0,6,0,0,0,0,0,0,0,132,1
Bay of Plenty 3,Bethlehem,"Bethlehem Primary School Hall, 66 Carmichael Road",2,1,0,0,0,6,0,7,0,0,0,0,0,0,0,2,0,18,0
Bay of Plenty 3,,"Bethlehem Town Centre #3, 19 Bethlehem Road",17,2,1,6,0,44,0,77,5,5,0,1,0,0,0,2,1,161,2
Bay of Plenty 3,,"Bethlehem Town Centre (between The Coffee Club & Columbus Coffee), 19 Bethlehem Road",39,5,0,8,0,128,1,141,8,12,0,0,0,0,0,7,0,349,1
Bay of Plenty 3,,"Bethlehem Town Centre (by Hammer Hardware), 19 Bethlehem Rd",53,14,2,12,0,191,0,163,12,15,1,2,0,0,0,10,1,476,2
Bay of Plenty 3,Gate Pa,"Gate Pa School, 900 Cameron Rd",6,1,0,0,0,8,0,2,1,0,0,0,0,0,0,0,0,18,0
Bay of Plenty 3,Greerton,"Church of Christ, 1400 Cameron Road",60,10,1,15,0,222,0,202,15,10,0,3,1,0,2,6,1,548,2
Bay of Plenty 3,,"Greenpark School, 13 Lumsden Street",11,1,0,2,0,24,0,24,0,1,0,0,0,0,0,2,0,65,0
Bay of Plenty 3,,"Greerton Community Hall, 1247 Cameron Road",21,7,3,10,0,102,1,92,3,9,0,0,0,0,0,3,1,252,3
Bay of Plenty 3,,"Western Bay District Council, 1484 Cameron Rd",70,10,1,21,0,148,0,114,11,13,1,0,0,0,0,1,0,390,2
Bay of Plenty 3,Hairini,"Baden Powell Centre, Ila Park, 46 Harrisfield Drive",124,22,6,38,1,576,3,446,44,49,2,2,0,0,0,14,0,1327,2
Bay of Plenty 3,Katikati,"Pātuki Manawa - The Hub, 21 Main Road",2,0,0,0,0,17,0,3,0,0,0,0,0,0,0,0,0,22,0
Bay of Plenty 3,Lower Kaimai,"Kaimai School, 1853 State Highway 29",8,1,0,3,0,22,0,15,1,2,0,0,0,0,0,0,0,52,0
Bay of Plenty 3,Maungatapu,"Maungatapu School, 164 Maungatapu Road",55,0,1,27,1,235,0,179,7,26,0,3,0,0,0,4,0,538,4
Bay of Plenty 3,Merivale,"Fraser Cove Centre ex Toyworld, 221 Fraser St",90,21,2,41,0,403,9,250,23,26,1,2,1,0,0,8,4,881,2
Bay of Plenty 3,Mount Maunganui,"Arataki Community Centre, Zambuk Way (off Grenada Street)",162,25,6,85,0,775,3,650,29,55,2,6,1,0,1,17,1,1818,12
Bay of Plenty 3,,"Bayfair Shopping Centre (opposite Cotton On, near Countdown), corner Girven & Maunganui Roads",321,42,14,186,2,1480,18,1064,43,115,1,6,0,1,0,62,1,3356,17
Bay of Plenty 3,,"Harbourside Netball Centre, Opposite 476 Maunganui Rd",25,4,1,4,0,86,3,76,0,0,0,0,0,0,0,6,0,205,1
Bay of Plenty 3,,"HomeZone Shopping Centre - former Fruit and Vegetable shop, Unit 2B 2-10 Owens Place",128,8,3,36,0,507,4,406,15,44,1,1,0,1,0,21,1,1176,6
Bay of Plenty 3,,"Mount Maunganui Intermediate School, 21 Lodge Avenue",11,0,1,7,0,51,0,28,1,3,3,0,0,0,0,1,0,106,2
