Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Rongotai 43,Aro Valley,"Aro Valley Community Centre, 48 Aro Street",3,1,1,31,0,17,0,5,0,1,0,0,0,0,0,4,0,63,0
Rongotai 43,Berhampore,"Berhampore Centennial Community Centre, 493 Adelaide Road",7,2,0,114,0,176,1,18,2,3,0,0,0,0,0,10,0,333,1
Rongotai 43,,"Berhampore School, Room One, 105 Britomart Street",3,0,0,98,0,132,0,17,0,1,0,1,0,0,0,6,0,258,2
Rongotai 43,,"South Wellington Intermediate School Hall, 165 Rintoul Street",3,0,0,47,0,67,0,10,0,4,0,0,0,0,0,1,0,132,1
Rongotai 43,Brooklyn,"St Matthew's Church Hall, 96 Washington Avenue",14,3,0,153,0,280,2,57,2,6,0,0,0,0,0,11,0,528,2
Rongotai 43,Chatham Islands,"Chatham Islands Council Building, 9 Tuku Road, Waitangi",11,1,3,7,0,63,0,22,1,6,1,0,0,0,1,1,0,117,0
Rongotai 43,Hataitai,"Hataitai Community House, 112 Waipapa Road",60,7,1,320,0,565,4,168,7,10,0,0,0,1,0,48,0,1191,0
Rongotai 43,,"Hataitai School Hall, 2 Arawa Road",15,1,1,69,0,122,1,45,0,2,0,0,0,0,0,12,0,268,1
Rongotai 43,,"Kilbirnie School Hall, 72 Hamilton Road",12,2,0,56,0,108,1,35,0,4,0,0,0,0,0,5,0,223,1
Rongotai 43,Hutt Central,"St James Anglican Church Hall, 71 Woburn Road",1,0,0,3,0,4,0,1,0,0,0,0,0,0,0,1,0,10,0
Rongotai 43,Island Bay,"Island Bay Presbyterian Church Lounges, 88 The Parade",86,10,3,599,0,1515,7,379,15,65,1,5,1,3,0,40,2,2731,5
Rongotai 43,,"Island Bay School Hall, 6 Thames Street",11,1,1,66,0,129,0,25,0,5,0,0,0,0,0,5,0,243,1
Rongotai 43,,"St Hilda's Church Parish Centre, 311 The Parade",5,1,0,53,0,165,2,32,2,10,0,3,0,0,0,9,0,282,1
Rongotai 43,Johnsonville,"Johnsonville Shopping Centre, Shop 12 (was Paper Plus), 16 Broderick Road",3,0,0,10,0,31,0,5,0,0,0,0,1,0,0,1,0,51,1
Rongotai 43,,"Johnsonville Shopping Centre, Shop 31 (beside Food Court), 16 Broderick Road",2,0,0,6,0,29,0,11,0,1,0,0,0,0,1,1,0,51,0
Rongotai 43,Kelburn,"Victoria University, Student Union Building Memorial Theatre Foyer, 1 Kelburn Parade",12,0,0,222,0,137,2,22,3,2,0,0,0,0,0,14,0,414,2
Rongotai 43,Kilbirnie,"ASB Sports Centre, 72 Kemp Street",20,1,0,143,0,398,2,107,3,6,0,0,0,0,0,26,0,706,6
Rongotai 43,,"Evans Bay Intermediate School Hall, 14 Kemp Street",2,0,0,15,0,24,0,8,1,1,0,0,0,0,0,1,0,52,0
Rongotai 43,,"Kilbirnie/Lyall Bay Community Centre, 56-58 Bay Road",118,16,1,546,0,2040,8,483,23,92,3,6,2,0,1,64,0,3403,22
Rongotai 43,,"St Patrick's College Staff Room, 581 Evans Bay Parade",2,0,0,19,0,47,1,6,1,0,0,0,0,0,0,3,0,79,0
Rongotai 43,,"Wellington Islamic Centre, 7-11 Queens Drive",14,1,1,142,0,244,1,30,3,5,1,0,0,0,0,21,0,463,1
Rongotai 43,Lower Hutt,"Queensgate Shopping Centre, Ground Level, Shop 118 (next to Jackie E), Corner Queens Drive & Bunny Street",3,0,0,23,0,76,1,25,0,0,0,1,0,0,0,3,0,132,4
Rongotai 43,Lyall Bay,"Lyall Bay School Hall, 2 Freyberg Street",17,0,0,79,0,212,1,25,0,3,0,0,0,0,0,8,0,345,2
Rongotai 43,Miramar,"Miramar and Maupuia Community Centre, 27 Chelsea Street",175,7,4,499,0,2191,11,740,19,81,0,3,1,4,0,70,1,3806,19
Rongotai 43,,"Miramar Central School Hall, 38 Park Road",16,2,0,75,0,292,0,82,7,4,1,0,0,0,0,15,0,494,5
Rongotai 43,,"Miramar Christian School, Room One, 41 Camperdown Road",5,3,0,48,0,118,1,21,0,2,0,0,0,0,0,7,0,205,1
Rongotai 43,Mornington,"Ridgway School Hall, 120 Mornington Road",3,0,1,57,0,109,1,15,3,1,0,0,0,0,0,1,0,191,2
Rongotai 43,,"Vogelmorn Hall, 13 Vennell Street",2,0,0,62,0,81,0,8,0,2,0,0,0,0,0,1,0,156,0
Rongotai 43,Mt Cook,"Massey University, Flax and Fern Room, Block 9, Wallace Street",11,0,1,186,0,115,5,24,1,1,1,0,0,0,0,12,0,357,0
Rongotai 43,,"Mount Cook School, 160 Tory Street",1,0,0,9,0,17,0,7,0,2,0,0,0,0,0,0,0,36,0
Rongotai 43,,"Wellington High School Cafe, 249 Taranaki Street",1,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,18,0
Rongotai 43,Mt Victoria,"Clyde Quay School, 27 Elizabeth Street",0,0,0,9,0,12,0,2,0,0,0,0,0,0,0,0,0,23,0
Rongotai 43,Newtown,"Newtown Community Hall, 71 Daniell Street",11,1,2,135,0,221,1,39,2,8,0,1,1,0,0,14,0,436,2
Rongotai 43,,"Newtown School Hall, Corner Riddiford & Mein Streets",6,1,0,117,0,173,0,35,0,4,0,2,0,0,0,15,0,353,1
Rongotai 43,,"Pop Up Voting Place, 199 Riddiford Street, next to New World",91,11,5,1334,1,2208,15,286,13,76,1,2,0,3,0,105,2,4153,35
Rongotai 43,,"Te Whaea: National Dance and Drama Centre, 11 Hutchison Road",0,1,0,33,0,33,0,8,0,1,0,0,0,0,0,0,0,76,0
Rongotai 43,,"Wellington Chinese Baptist Church Hall, 24 Donald McLean Street",2,0,0,17,0,46,0,3,0,1,0,0,0,0,0,2,0,71,0
Rongotai 43,Ōwhiro Bay,"Owhiro Bay School Hall, 100 Happy Valley Road",7,0,1,52,0,103,1,16,5,4,0,0,0,0,0,5,0,194,0
Rongotai 43,,"Petone Library and Heritage Centre, 7 Britannia Street",1,0,0,5,0,13,0,3,1,0,0,0,0,0,0,1,0,24,0
Rongotai 43,,"Petone Working Men's Club, 47 Udy Street",1,0,0,1,0,5,0,3,0,0,0,0,0,0,0,0,0,10,0
Rongotai 43,Porirua,"North City Shopping Centre, Shop 112 (next to Silvermoon), 2 Titahi Bay Road",1,0,0,13,0,40,0,13,0,3,0,0,0,0,0,5,0,75,0
Rongotai 43,,"Pātaka Art + Museum, Performing Arts Studio, Corner Norrie Street & Parumoana Street",0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,6,0
Rongotai 43,Rongotai,"Rongotai College Hall, 170 Coutts Street",9,0,1,35,0,141,2,31,1,2,0,1,0,0,0,5,0,228,4
Rongotai 43,Roseneath,"Roseneath School Hall, 13 Maida Vale Road",13,0,0,62,0,85,3,36,0,0,0,0,0,0,0,3,0,202,0
Rongotai 43,Seatoun,"Seatoun School Hall, 59 Burnham Street",29,1,0,44,0,143,0,75,2,1,0,0,0,0,0,1,0,296,0
Rongotai 43,Strathmore Park,"Kahurangi School Hall, 43 Strathmore Avenue",9,2,0,46,0,118,0,27,2,1,0,0,0,0,0,4,0,209,3
Rongotai 43,,"Raukawa Community Centre, 63 Raukawa Street",1,1,0,4,0,30,0,2,0,1,0,1,0,0,0,1,0,41,0
Rongotai 43,,"Strathmore Park Community Centre, 108 Strathmore Avenue",4,2,1,20,0,99,0,22,4,4,0,1,0,0,0,3,0,160,4
Rongotai 43,Tawa,"Tawa Community Centre, 5 Cambridge Street",0,0,0,3,0,9,0,1,0,0,0,0,0,0,0,1,0,14,0
Rongotai 43,Te Aro,"Advance Voting team DCM (Downtown Community Ministry) & Wellington Night Shelter, 2 Lukes Lane",0,1,0,2,0,2,1,0,0,2,0,1,0,0,0,1,0,10,0
Rongotai 43,Wellington City,"Asteron Centre Foyer, 55 Featherston Street",32,2,0,185,0,332,4,95,1,7,1,0,0,0,0,29,0,688,0
Rongotai 43,,"Kahungunu Whānau Services, Level 5, 35 Victoria Street",13,0,0,66,0,78,1,23,1,1,0,0,0,0,0,5,0,188,1
Rongotai 43,,"Pop Up Voting Place, 73 Manners Street",22,0,4,369,0,411,3,81,3,13,0,0,0,2,0,37,0,945,4
Rongotai 43,,"Pop Up Voting Place, Dukes Arcade, 105 Willis Street",35,0,1,264,0,373,2,94,1,11,0,0,0,0,0,33,0,814,3
Rongotai 43,,"Sustainability Trust Wellington, 2 Forresters Lane",1,0,0,21,0,13,1,2,0,0,0,0,0,0,0,1,0,39,0
Rongotai 43,,"Te Puni Kōkiri House, Nau Mai Room, 143 Lambton Quay",29,1,0,208,0,265,3,71,3,6,0,0,0,0,0,32,0,618,1
Rongotai 43,,"Wellington Museum Von Kohorn Room, Queens Wharf, 3 Jervois Quay",21,0,0,89,0,123,1,36,3,0,0,0,0,0,0,10,0,283,0
Rongotai 43,Worser Bay,"Worser Bay School, Mahutonga Room, 168 Seatoun Heights Road",5,0,0,23,0,93,0,38,0,1,0,0,0,0,0,3,0,163,0
Rongotai 43,Aro Valley,"Aro Valley Community Centre, 48 Aro Street",0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,2,0,14,0
Rongotai 43,Berhampore,"Berhampore School, Room One, 105 Britomart Street",13,0,0,108,0,114,4,21,3,3,0,0,0,0,0,14,0,280,0
Rongotai 43,,"South Wellington Intermediate School Hall, 165 Rintoul Street",7,2,0,52,0,77,1,17,1,3,1,0,0,0,1,5,0,167,0
Rongotai 43,Breaker Bay,"Breaker Bay Hall, 150 Breaker Bay Road",6,1,1,24,0,48,2,17,1,2,0,0,0,0,0,0,0,102,0
Rongotai 43,Brooklyn,"Brooklyn Community Centre, 18 Harrison Street",2,0,0,16,0,21,0,4,0,2,0,0,0,0,0,1,0,46,0
Rongotai 43,,"St Matthew's Church Hall, 96 Washington Avenue",2,0,0,16,0,36,1,6,1,3,0,0,0,0,0,3,0,68,2
Rongotai 43,Chatham Islands,"Chatham Islands Council Building, 9 Tuku Road, Waitangi",2,0,0,7,0,20,0,11,0,4,0,0,1,0,0,2,0,47,1
Rongotai 43,Hataitai,"Hataitai Community House, 112 Waipapa Road",7,1,0,47,0,98,1,30,3,5,0,0,0,0,0,7,0,199,1
Rongotai 43,,"Hataitai School Hall, 2 Arawa Road",39,2,0,89,0,236,2,85,1,10,1,0,0,0,0,9,1,475,2
Rongotai 43,,"Kilbirnie School Hall, 72 Hamilton Road",14,3,0,58,0,149,3,48,0,2,0,0,0,0,0,9,0,286,1
Rongotai 43,Houghton Bay,"Houghton Valley School Hall, 110 Houghton Bay Road",5,0,0,54,0,109,3,15,1,5,0,0,0,1,0,7,0,200,1
Rongotai 43,Island Bay,"Island Bay Presbyterian Church Lounges, 88 The Parade",26,5,2,74,0,248,1,80,3,14,0,2,0,1,0,18,1,475,2
Rongotai 43,,"Island Bay School Hall, 6 Thames Street",16,0,0,66,0,154,2,35,4,2,0,0,1,0,0,6,0,286,1
Rongotai 43,,"St Hilda's Church Parish Centre, 311 The Parade",22,4,0,109,0,280,4,78,9,15,0,1,0,0,0,7,0,529,3
Rongotai 43,Kelburn,"Victoria University, Student Union Building Memorial Theatre Foyer, 1 Kelburn Parade",1,0,0,6,0,4,0,0,1,0,0,0,0,0,1,1,0,14,0
Rongotai 43,Kilbirnie,"ASB Sports Centre, 72 Kemp Street",10,1,0,22,0,85,5,26,0,4,0,1,0,0,0,0,0,154,1
Rongotai 43,,"Evans Bay Intermediate School Hall, 14 Kemp Street",2,1,0,13,0,31,1,14,1,3,0,1,0,0,0,2,0,69,0
Rongotai 43,,"Evans Bay Yacht Club, 447 Evans Bay Parade",5,0,0,28,0,33,0,24,0,1,0,0,0,0,0,4,0,95,0
Rongotai 43,,"Kilbirnie/Lyall Bay Community Centre, 56-58 Bay Road",9,1,0,51,0,130,1,42,3,13,0,0,0,0,0,13,0,263,1
Rongotai 43,,"St Patrick's College Staff Room, 581 Evans Bay Parade",8,2,0,14,0,38,3,14,2,4,0,0,0,0,0,2,0,87,1
Rongotai 43,,"Wellington Islamic Centre, 7-11 Queens Drive",4,1,0,53,0,71,0,10,0,1,0,0,0,0,0,6,0,146,0
Rongotai 43,Kingston,"Capital Montessori School, Kahikatea Room, 14 Camrose Grove",6,1,0,17,0,64,0,14,0,8,0,0,0,0,0,3,0,113,1
Rongotai 43,Lower Hutt,"Queensgate Shopping Centre, Ground Level, Shop 118 (next to Jackie E), Corner Queens Drive & Bunny Street",0,0,0,2,0,5,0,10,1,0,0,0,0,0,0,1,0,19,0
Rongotai 43,Lyall Bay,"Lyall Bay School Hall, 2 Freyberg Street",34,1,1,84,0,242,3,59,3,12,0,0,0,0,0,20,1,460,0
