Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Port Waikato 39,Bombay,"Bombay School, 35 Paparata Road",5,0,0,2,0,10,0,12,2,0,0,0,0,0,0,0,0,31,0
Port Waikato 39,Drury,"Drury School Hall, Young Crescent",2,0,1,1,0,10,0,20,0,0,0,0,0,0,0,0,0,34,0
Port Waikato 39,Huntly,"Huntly Central (next to Colourplus), 102A Main Street",1,1,0,2,1,5,0,10,3,0,0,0,0,0,0,0,0,23,1
Port Waikato 39,,"Huntly Civic Centre, Riverside Room, 148 Main Street",6,0,0,2,0,13,0,13,1,0,1,1,0,0,0,0,0,37,0
Port Waikato 39,Papakura,"Accent Point Building, Level 3, Library Foyer, 28 East Street",14,0,0,11,0,28,1,39,1,3,0,0,0,0,0,2,0,99,0
Port Waikato 39,,"Harvest Christian Church, 3 Beach Road",4,0,0,1,0,7,0,11,0,1,0,0,0,0,0,0,0,24,0
Port Waikato 39,,"NZ Bloodstock Centre, 10 Hinau Road",19,0,1,3,4,31,0,43,0,5,0,0,0,0,0,1,0,107,0
Port Waikato 39,Pōkeno,"Pokeno Community Hall, 19 Market St",200,15,3,45,24,756,5,588,22,43,2,6,0,0,0,12,1,1722,7
Port Waikato 39,Pukekohe,"Auckland Council Mayoral Chambers, 82 Manukau Rd",293,26,4,76,38,1133,8,952,39,65,2,6,1,0,0,10,0,2653,14
Port Waikato 39,,"Harrington Hall, 2 Harrington Ave",265,17,9,114,39,1131,10,899,68,72,0,6,0,0,0,34,1,2665,22
Port Waikato 39,,"Old Post Office Building, 7 Hall St",203,9,4,51,34,763,1,824,24,40,0,6,1,2,0,16,0,1978,13
Port Waikato 39,,"PIA Event Centre, 55 Ward St",363,9,5,89,71,1194,3,1291,39,80,0,9,0,2,4,23,1,3183,30
