Electorate,Address 1, Address 2,ACT New Zealand,Advance NZ,Aotearoa Legalise Cannabis Party,Green Party,HeartlandNZ,Labour Party,Māori Party,National Party,New Conservative,New Zealand First Party,NZ Outdoors Party,ONE Party,Social Credit,Sustainable New Zealand Party,TEA Party,The Opportunities Party (TOP),Vision New Zealand,Total Valid Party Votes,Informal Party Votes
Invercargill 16,Non-place,Rest Homes Team 1 - Taken in Invercargill,5,0,0,0,0,112,0,124,3,4,1,1,2,0,0,1,1,254,5
Invercargill 16,Non-place,Team 1 - Prison - Taken in Invercargill,1,0,1,0,0,20,1,5,1,1,0,0,0,0,0,0,0,30,0
Invercargill 16,Bluff,"Bluff School, 39 Bradshaw Street",9,3,0,2,0,69,0,12,0,2,0,0,1,0,0,0,0,98,1
Invercargill 16,,"Bluff Senior Citizens Centre, 10 Onslow Street",18,6,0,8,0,143,1,34,6,14,0,0,1,0,0,0,0,231,4
Invercargill 16,,"St Teresa's School, 181 Foyle Street",2,0,1,5,0,64,0,11,1,0,0,0,1,1,0,0,0,86,0
Invercargill 16,Dunedin,"University of Otago, ISB Link East, 660 Cumberland Street",5,0,0,8,0,18,2,14,1,0,0,0,0,0,0,4,0,52,0
Invercargill 16,Edendale,"Edendale School, 24 Salford Street",15,0,0,0,0,39,0,51,9,0,0,0,0,0,0,0,0,114,0
Invercargill 16,Gore,"Gore Town and Country Club, Esplin Room, 2 Bury Street",11,0,0,3,0,40,0,51,4,0,0,0,0,0,0,1,0,110,1
Invercargill 16,Invercargill,"Ascot Community School Hall, 580 Tay Street",12,1,3,2,0,119,0,51,6,9,1,0,0,0,0,1,0,205,2
Invercargill 16,,"Donovan Primary School, 200 Drury Lane",21,2,1,6,0,120,0,46,1,9,1,1,1,1,1,3,0,214,2
Invercargill 16,,"Eastside Baptist Church, 2 Glengarry Crescent",43,9,3,12,0,299,0,130,14,25,0,4,0,0,0,4,0,543,3
Invercargill 16,,"Fernworth Primary School Hall, 288 Pomona Street",24,1,2,14,0,256,0,46,9,12,1,1,1,0,0,1,0,368,7
Invercargill 16,,"ILT Stadium Southland, 18 Surrey Park Road",338,32,17,139,0,2038,2,942,65,77,4,10,5,1,3,55,0,3728,13
